,試合日,節,大会,ホーム,スコア,アウェイ,スタジアム
14991,20150606,１７,Ｊ２,岡山,0-1,東京Ｖ,Ｃスタ
14992,20150614,１８,Ｊ２,愛媛,2-1,東京Ｖ,ニンスタ
14993,20150621,１９,Ｊ２,東京Ｖ,0-2,熊本,駒沢
14995,20150704,２１,Ｊ２,東京Ｖ,1-1,福岡,味スタ
14996,20150708,２２,Ｊ２,岐阜,0-2,東京Ｖ,長良川
14997,20150712,２３,Ｊ２,東京Ｖ,1-2,大分,味スタ
14998,20150718,２４,Ｊ２,北九州,0-1,東京Ｖ,本城
14999,20150722,２５,Ｊ２,熊本,0-1,東京Ｖ,うまスタ
15000,20150726,２６,Ｊ２,東京Ｖ,1-0,京都,味スタ
15001,20150801,２７,Ｊ２,東京Ｖ,2-0,讃岐,味スタ
15002,20150808,２８,Ｊ２,横浜FC,1-6,東京Ｖ,ニッパツ
15003,20150815,２９,Ｊ２,徳島,1-0,東京Ｖ,鳴門大塚
15004,20150823,３０,Ｊ２,東京Ｖ,0-1,愛媛,味スタ
15006,20150920,３２,Ｊ２,東京Ｖ,0-1,長崎,味フィ西
15008,20150927,３４,Ｊ２,福岡,0-0,東京Ｖ,レベスタ
15010,20151010,３６,Ｊ２,東京Ｖ,1-1,岡山,味スタ
15013,20151101,３９,Ｊ２,東京Ｖ,0-3,磐田,味スタ
15015,20151114,４１,Ｊ２,東京Ｖ,1-1,金沢,味スタ
15016,20151123,４２,Ｊ２,Ｃ大阪,2-0,東京Ｖ,金鳥スタ
15018,20160306,２,Ｊ２,讃岐,2-1,東京Ｖ,ピカスタ
15019,20160313,３,Ｊ２,熊本,1-0,東京Ｖ,うまスタ
15020,20160320,４,Ｊ２,東京Ｖ,1-0,徳島,味スタ
15021,20160326,５,Ｊ２,東京Ｖ,0-1,町田,味スタ
15022,20160403,６,Ｊ２,岡山,1-1,東京Ｖ,Ｃスタ
15023,20160410,７,Ｊ２,東京Ｖ,0-0,長崎,駒沢
15024,20160417,８,Ｊ２,横浜FC,1-1,東京Ｖ,ニッパツ
15028,20160507,１２,Ｊ２,東京Ｖ,0-4,松本,味スタ
15029,20160515,１３,Ｊ２,金沢,1-1,東京Ｖ,石川西部
15030,20160522,１４,Ｊ２,東京Ｖ,2-1,清水,味スタ
15031,20160529,１５,Ｊ２,愛媛,0-0,東京Ｖ,ニンスタ
15032,20160604,１６,Ｊ２,山口,3-1,東京Ｖ,維新公園
15033,20160608,１７,Ｊ２,東京Ｖ,1-1,岐阜,味フィ西
15035,20160619,１９,Ｊ２,東京Ｖ,2-1,京都,味スタ
15036,20160626,２０,Ｊ２,Ｃ大阪,1-0,東京Ｖ,金鳥スタ
15037,20160703,２１,Ｊ２,北九州,2-1,東京Ｖ,本城
15038,20160710,２２,Ｊ２,東京Ｖ,2-1,岡山,味スタ
15039,20160716,２３,Ｊ２,長崎,2-1,東京Ｖ,長崎県立
15040,20160720,２４,Ｊ２,清水,0-1,東京Ｖ,アイスタ
15042,20160731,２６,Ｊ２,東京Ｖ,1-0,熊本,味スタ
15043,20160807,２７,Ｊ２,京都,2-0,東京Ｖ,西京極
15044,20160811,２８,Ｊ２,東京Ｖ,4-1,金沢,味スタ
15045,20160814,２９,Ｊ２,東京Ｖ,0-2,横浜FC,味スタ
15046,20160821,３０,Ｊ２,徳島,3-1,東京Ｖ,鳴門大塚
15048,20160918,３２,Ｊ２,東京Ｖ,3-2,讃岐,味フィ西
15050,20161002,３４,Ｊ２,町田,2-1,東京Ｖ,町田
15051,20161008,３５,Ｊ２,東京Ｖ,1-1,北九州,味スタ
15054,20161030,３８,Ｊ２,東京Ｖ,1-1,愛媛,味スタ
15055,20161103,３９,Ｊ２,東京Ｖ,2-2,山口,味スタ
15056,20161106,４０,Ｊ２,松本,2-0,東京Ｖ,松本
15057,20161112,４１,Ｊ２,東京Ｖ,1-2,Ｃ大阪,味スタ
15058,20161120,４２,Ｊ２,岐阜,4-2,東京Ｖ,長良川
15059,20170226,１,Ｊ２,徳島,1-0,東京Ｖ,鳴門大塚
15060,20170305,２,Ｊ２,東京Ｖ,1-0,大分,味スタ
15062,20170319,４,Ｊ２,山口,0-2,東京Ｖ,維新公園
15063,20170325,５,Ｊ２,東京Ｖ,1-0,岐阜,味スタ
15064,20170402,６,Ｊ２,岡山,0-1,東京Ｖ,Ｃスタ
15065,20170409,７,Ｊ２,東京Ｖ,2-3,湘南,駒沢
15068,20170429,１０,Ｊ２,福岡,1-0,東京Ｖ,レベスタ
15069,20170503,１１,Ｊ２,東京Ｖ,2-1,金沢,味フィ西
15070,20170507,１２,Ｊ２,東京Ｖ,1-1,横浜FC,味スタ
15071,20170513,１３,Ｊ２,讃岐,0-0,東京Ｖ,ピカスタ
15073,20170521,１５,Ｊ２,東京Ｖ,1-2,京都,味スタ
15074,20170527,１６,Ｊ２,長崎,1-0,東京Ｖ,トラスタ
15075,20170604,１７,Ｊ２,松本,1-1,東京Ｖ,松本
15076,20170610,１８,Ｊ２,東京Ｖ,2-1,名古屋,味スタ
15077,20170617,１９,Ｊ２,東京Ｖ,3-3,愛媛,味スタ
15078,20170625,２０,Ｊ２,町田,2-4,東京Ｖ,町田
15079,20170701,２１,Ｊ２,熊本,4-0,東京Ｖ,えがおＳ
15080,20170709,２２,Ｊ２,東京Ｖ,1-1,岡山,味スタ
15081,20170716,２３,Ｊ２,湘南,2-0,東京Ｖ,ＢＭＷス
15082,20170722,２４,Ｊ２,東京Ｖ,3-3,讃岐,味スタ
15084,20170805,２６,Ｊ２,金沢,0-0,東京Ｖ,石川西部
15085,20170811,２７,Ｊ２,東京Ｖ,1-0,熊本,味スタ
15086,20170816,２８,Ｊ２,大分,0-2,東京Ｖ,大銀ド
15087,20170820,２９,Ｊ２,東京Ｖ,2-1,長崎,味スタ
15088,20170827,３０,Ｊ２,愛媛,0-3,東京Ｖ,ニンスタ
15090,20170910,３２,Ｊ２,東京Ｖ,1-2,松本,味スタ
15091,20170916,３３,Ｊ２,横浜FC,1-1,東京Ｖ,ニッパツ
15092,20170924,３４,Ｊ２,名古屋,4-1,東京Ｖ,パロ瑞穂
15093,20171001,３５,Ｊ２,東京Ｖ,3-1,町田,味スタ
15096,20171021,３８,Ｊ２,岐阜,1-2,東京Ｖ,長良川
15097,20171028,３９,Ｊ２,東京Ｖ,0-0,福岡,味スタ
15098,20171105,４０,Ｊ２,東京Ｖ,1-2,山口,味スタ
15099,20171111,４１,Ｊ２,京都,0-1,東京Ｖ,西京極
15100,20171119,４２,Ｊ２,東京Ｖ,2-1,徳島,味スタ
15101,20171126,0,Ｊ１昇格ＰＯ,福岡,1-0,東京Ｖ,えがおＳ
15103,20180303,２,Ｊ２,甲府,0-0,東京Ｖ,中銀スタ
15104,20180311,３,Ｊ２,東京Ｖ,2-1,松本,味スタ
15105,20180317,４,Ｊ２,大分,0-0,東京Ｖ,大銀ド
15106,20180321,５,Ｊ２,東京Ｖ,1-1,福岡,味スタ
15108,20180401,７,Ｊ２,徳島,0-4,東京Ｖ,鳴門大塚
15109,20180407,８,Ｊ２,東京Ｖ,0-0,岐阜,味スタ
15110,20180415,９,Ｊ２,熊本,0-0,東京Ｖ,えがおＳ
15113,20180503,１２,Ｊ２,東京Ｖ,1-4,町田,味スタ
15114,20180506,１３,Ｊ２,東京Ｖ,0-1,金沢,味スタ
15115,20180512,１４,Ｊ２,山口,4-3,東京Ｖ,みらスタ
15116,20180526,１６,Ｊ２,東京Ｖ,0-0,愛媛,味スタ
15117,20180603,１７,Ｊ２,横浜FC,2-2,東京Ｖ,ニッパツ
15118,20180610,１８,Ｊ２,新潟,1-2,東京Ｖ,デンカＳ
15119,20180616,１９,Ｊ２,東京Ｖ,3-1,京都,味スタ
15121,20180627,１５,Ｊ２,岡山,0-1,東京Ｖ,Ｃスタ
15122,20180630,２１,Ｊ２,讃岐,3-1,東京Ｖ,ピカスタ
15123,20180707,２２,Ｊ２,東京Ｖ,0-1,岡山,味スタ
15124,20180715,２３,Ｊ２,東京Ｖ,3-1,山口,味スタ
15125,20180721,２４,Ｊ２,福岡,0-0,東京Ｖ,レベスタ
15126,20180725,２５,Ｊ２,東京Ｖ,4-3,新潟,味スタ
15127,20180729,２６,Ｊ２,京都,0-1,東京Ｖ,西京極
15130,20180818,２９,Ｊ２,東京Ｖ,0-0,大分,味スタ
15132,20180901,３１,Ｊ２,金沢,0-1,東京Ｖ,石川西部
15133,20180908,３２,Ｊ２,東京Ｖ,2-1,横浜FC,味スタ
15134,20180916,３３,Ｊ２,東京Ｖ,2-2,熊本,味スタ
15135,20180923,３４,Ｊ２,岐阜,1-1,東京Ｖ,長良川
15137,20181006,３６,Ｊ２,東京Ｖ,0-1,甲府,味スタ
15139,20181021,３８,Ｊ２,東京Ｖ,2-1,徳島,味スタ
15140,20181028,３９,Ｊ２,愛媛,2-2,東京Ｖ,ニンスタ
15141,20181104,４０,Ｊ２,松本,1-0,東京Ｖ,サンアル
15142,20181111,４１,Ｊ２,東京Ｖ,1-0,讃岐,味スタ
15143,20181117,４２,Ｊ２,町田,1-1,東京Ｖ,町田
15145,20181202,0,Ｊ１参入ＰＯ,横浜FC,0-1,東京Ｖ,ニッパツ
15146,20181208,0,Ｊ１参入ＰＯ,磐田,2-0,東京Ｖ,ヤマハ
15147,20190224,１,Ｊ２,町田,1-0,東京Ｖ,町田
15148,20190303,２,Ｊ２,愛媛,1-0,東京Ｖ,ニンスタ
15149,20190309,３,Ｊ２,東京Ｖ,2-1,金沢,味スタ
15151,20190324,５,Ｊ２,徳島,1-1,東京Ｖ,鳴門大塚
15155,20190413,９,Ｊ２,東京Ｖ,1-1,琉球,味スタ
15156,20190420,１０,Ｊ２,東京Ｖ,1-1,新潟,味スタ
15157,20190428,１１,Ｊ２,岡山,1-1,東京Ｖ,Ｃスタ
15158,20190505,１２,Ｊ２,東京Ｖ,2-1,長崎,味スタ
15159,20190511,１３,Ｊ２,東京Ｖ,3-2,福岡,味スタ
15160,20190519,１４,Ｊ２,山口,2-3,東京Ｖ,みらスタ
15162,20190602,１６,Ｊ２,東京Ｖ,1-4,京都,味スタ
15163,20190609,１７,Ｊ２,鹿児島,3-1,東京Ｖ,白波スタ
15164,20190615,１８,Ｊ２,甲府,0-2,東京Ｖ,中銀スタ
15166,20190630,２０,Ｊ２,岐阜,1-2,東京Ｖ,長良川
15167,20190706,２１,Ｊ２,東京Ｖ,2-3,横浜FC,味スタ
15168,20190714,２２,Ｊ２,金沢,1-1,東京Ｖ,石川西部
15169,20190720,２３,Ｊ２,東京Ｖ,3-2,愛媛,味スタ
15170,20190727,２４,Ｊ２,東京Ｖ,1-0,町田,味スタ
15172,20190804,２６,Ｊ２,京都,4-0,東京Ｖ,たけびし
15173,20190811,２７,Ｊ２,東京Ｖ,3-3,鹿児島,味スタ
15176,20190831,３０,Ｊ２,長崎,2-1,東京Ｖ,トラスタ
15177,20190908,３１,Ｊ２,東京Ｖ,4-0,山口,味フィ西
15178,20190914,３２,Ｊ２,新潟,1-1,東京Ｖ,デンカＳ
15181,20191005,３５,Ｊ２,東京Ｖ,1-2,岡山,駒沢
15182,20191012,３６,Ｊ２,琉球,1-5,東京Ｖ,タピスタ
15183,20191019,３７,Ｊ２,東京Ｖ,2-1,甲府,味フィ西
15184,20191027,３８,Ｊ２,横浜FC,2-1,東京Ｖ,ニッパツ
15185,20191102,３９,Ｊ２,福岡,2-0,東京Ｖ,レベスタ
15187,20191116,４１,Ｊ２,東京Ｖ,1-2,徳島,味スタ
15188,20191124,４２,Ｊ２,東京Ｖ,5-1,岐阜,味スタ
15189,20200223,１,Ｊ２,徳島,3-0,東京Ｖ,鳴門大塚
15190,20200627,２,Ｊ２,東京Ｖ,1-1,町田,味スタ
15193,20200715,５,Ｊ２,東京Ｖ,4-2,甲府,味スタ
15196,20200729,８,Ｊ２,東京Ｖ,1-1,新潟,味スタ
15197,20200802,９,Ｊ２,長崎,0-0,東京Ｖ,トラスタ
15198,20200808,１０,Ｊ２,東京Ｖ,0-1,琉球,味スタ
15199,20200812,１１,Ｊ２,福岡,1-3,東京Ｖ,ベススタ
15201,20200819,１３,Ｊ２,東京Ｖ,3-0,松本,味スタ
15202,20200823,１４,Ｊ２,北九州,2-1,東京Ｖ,ミクスタ
15203,20200829,１５,Ｊ２,東京Ｖ,2-0,京都,味スタ
15204,20200902,１６,Ｊ２,磐田,2-2,東京Ｖ,ヤマハ
15205,20200905,１７,Ｊ２,東京Ｖ,0-1,愛媛,味スタ
15206,20200909,１８,Ｊ２,岡山,0-1,東京Ｖ,Ｃスタ
15208,20200919,２０,Ｊ２,山口,2-1,東京Ｖ,みらスタ
15209,20200923,２１,Ｊ２,金沢,0-0,東京Ｖ,石川西部
15210,20200927,２２,Ｊ２,東京Ｖ,1-0,北九州,味フィ西
15211,20200930,２３,Ｊ２,甲府,0-0,東京Ｖ,中銀スタ
15213,20201011,２５,Ｊ２,東京Ｖ,0-1,岡山,味スタ
15214,20201014,２６,Ｊ２,愛媛,1-4,東京Ｖ,ニンスタ
15216,20201021,２８,Ｊ２,東京Ｖ,0-0,磐田,味スタ
15218,20201101,３０,Ｊ２,新潟,2-2,東京Ｖ,デンカＳ
15219,20201104,３１,Ｊ２,東京Ｖ,2-2,金沢,味フィ西
15220,20201107,３２,Ｊ２,東京Ｖ,1-2,徳島,味スタ
15221,20201111,３３,Ｊ２,京都,1-2,東京Ｖ,サンガＳ
15223,20201122,３５,Ｊ２,東京Ｖ,2-1,山口,味スタ
15224,20201125,３６,Ｊ２,東京Ｖ,1-1,福岡,味フィ西
15225,20201129,３７,Ｊ２,琉球,4-0,東京Ｖ,タピスタ
15227,20201206,３９,Ｊ２,町田,1-0,東京Ｖ,Ｇスタ
15228,20201213,４０,Ｊ２,東京Ｖ,0-2,長崎,味スタ
15229,20201216,４１,Ｊ２,松本,1-1,東京Ｖ,サンアル
15231,20210228,１,Ｊ２,東京Ｖ,3-0,愛媛,味スタ
15233,20210314,３,Ｊ２,町田,2-2,東京Ｖ,Ｇスタ
15234,20210320,４,Ｊ２,東京Ｖ,2-4,金沢,味スタ
15235,20210327,５,Ｊ２,新潟,7-0,東京Ｖ,デンカＳ
15237,20210410,７,Ｊ２,東京Ｖ,vs,山口,味スタ
15238,20210417,８,Ｊ２,琉球,vs,東京Ｖ,タピスタ
15239,20210421,９,Ｊ２,東京Ｖ,vs,京都,味フィ西
15240,20210425,１０,Ｊ２,長崎,vs,東京Ｖ,トラスタ
15243,20210509,１３,Ｊ２,甲府,vs,東京Ｖ,ＪＩＴス
15244,20210516,１４,Ｊ２,東京Ｖ,vs,北九州,味スタ
15245,20210523,１５,Ｊ２,東京Ｖ,vs,磐田,味スタ
15247,20210605,１７,Ｊ２,岡山,vs,東京Ｖ,Ｃスタ
15249,20210620,１９,Ｊ２,相模原,vs,東京Ｖ,ギオンス
15251,20210703,２１,Ｊ２,松本,vs,東京Ｖ,サンアル
15253,20210718,２３,Ｊ２,愛媛,vs,東京Ｖ,ニンスタ
15255,20210814,２５,Ｊ２,磐田,vs,東京Ｖ,ヤマハ
15257,20210828,２７,Ｊ２,京都,vs,東京Ｖ,サンガＳ
15259,20210911,２９,Ｊ２,東京Ｖ,vs,松本,味スタ
15260,20210919,３０,Ｊ２,東京Ｖ,vs,新潟,味スタ
15261,20210926,３１,Ｊ２,東京Ｖ,vs,町田,味スタ
15262,20211003,３２,Ｊ２,山口,vs,東京Ｖ,みらスタ
15263,20211009,３３,Ｊ２,東京Ｖ,vs,岡山,味スタ
15264,20211016,３４,Ｊ２,北九州,vs,東京Ｖ,ミクスタ
15266,20211030,３６,Ｊ２,東京Ｖ,vs,甲府,味スタ
15268,20211107,３８,Ｊ２,東京Ｖ,vs,長崎,味スタ
15269,20211114,３９,Ｊ２,金沢,vs,東京Ｖ,石川西部
15270,20211121,４０,Ｊ２,東京Ｖ,vs,琉球,味スタ
15272,20211205,４２,Ｊ２,東京Ｖ,vs,相模原,味スタ
15273,20120304,１,Ｊ２,愛媛,2-0,町田,ニンスタ
15274,20120311,２,Ｊ２,町田,0-1,福岡,駒沢
15275,20120317,３,Ｊ２,鳥取,0-3,町田,とりスタ
15276,20120320,４,Ｊ２,町田,1-0,熊本,町田
15277,20120325,５,Ｊ２,京都,2-1,町田,西京極
15279,20120408,７,Ｊ２,湘南,2-0,町田,ＢＭＷス
15281,20120422,９,Ｊ２,甲府,1-1,町田,中銀スタ
15282,20120427,１０,Ｊ２,町田,0-1,松本,町田
15283,20120430,１１,Ｊ２,横浜FC,2-4,町田,ニッパ球
15284,20120503,１２,Ｊ２,町田,0-1,北九州,町田
15285,20120506,１３,Ｊ２,富山,1-1,町田,富山
15287,20120520,１５,Ｊ２,大分,2-1,町田,大銀ド
15289,20120601,１７,Ｊ２,徳島,1-0,町田,鳴門大塚
15291,20120613,１９,Ｊ２,岡山,2-1,町田,カンスタ
15293,20120624,２１,Ｊ２,岐阜,1-0,町田,長良川
15294,20120701,２２,Ｊ２,町田,0-4,横浜FC,町田
15295,20120708,２３,Ｊ２,町田,0-1,甲府,町田
15298,20120729,２６,Ｊ２,町田,1-2,京都,町田
15299,20120805,２７,Ｊ２,北九州,1-1,町田,本城
15301,20120819,２９,Ｊ２,町田,1-0,徳島,町田
15302,20120822,３０,Ｊ２,町田,0-0,鳥取,町田
15304,20120902,３２,Ｊ２,町田,2-2,岡山,町田
15305,20120914,３３,Ｊ２,松本,3-0,町田,松本
15306,20120917,３４,Ｊ２,福岡,1-1,町田,レベスタ
15307,20120923,３５,Ｊ２,町田,3-2,富山,町田
15308,20120930,３６,Ｊ２,町田,1-3,大分,町田
15310,20121014,３８,Ｊ２,熊本,2-1,町田,熊本
15311,20121021,３９,Ｊ２,町田,2-4,愛媛,町田
15312,20121028,４０,Ｊ２,町田,1-0,岐阜,町田
15314,20121111,４２,Ｊ２,町田,0-3,湘南,町田
15315,20140309,１,Ｊ３,町田,3-0,藤枝,町田
15316,20140316,２,Ｊ３,町田,0-0,長野,町田
15317,20140323,３,Ｊ３,YS横浜,1-1,町田,ニッパ球
15318,20140330,４,Ｊ３,町田,2-0,相模原,町田
15320,20140413,６,Ｊ３,町田,0-0,金沢,町田
15321,20140420,７,Ｊ３,琉球,1-7,町田,沖縄市陸
15322,20140426,８,Ｊ３,町田,4-0,J-22,町田
15323,20140429,９,Ｊ３,鳥取,0-1,町田,チュスタ
15327,20140524,１３,Ｊ３,金沢,0-1,町田,石川西部
15328,20140601,１４,Ｊ３,YS横浜,0-1,町田,ニッパ球
15329,20140608,１５,Ｊ３,町田,2-1,相模原,町田
15331,20140622,１７,Ｊ３,町田,1-0,長野,町田
15333,20140727,１９,Ｊ３,町田,1-1,J-22,町田
15334,20140803,２０,Ｊ３,藤枝,1-2,町田,藤枝サ
15335,20140810,２１,Ｊ３,町田,1-1,鳥取,町田
15336,20140824,２２,Ｊ３,町田,0-1,琉球,町田
15337,20140831,２３,Ｊ３,長野,2-0,町田,長野
15338,20140907,２４,Ｊ３,町田,3-0,J-22,町田
15340,20140921,２６,Ｊ３,相模原,1-2,町田,ギオンス
15341,20141005,２７,Ｊ３,町田,1-2,鳥取,町田
15342,20141012,２８,Ｊ３,町田,0-0,金沢,町田
15344,20141102,３０,Ｊ３,町田,2-1,YS横浜,町田
15345,20141109,３１,Ｊ３,町田,4-1,琉球,町田
15347,20141123,３３,Ｊ３,藤枝,0-1,町田,藤枝サ
15348,20150315,１,Ｊ３,町田,0-0,長野,町田
15349,20150321,２,Ｊ３,YS横浜,0-1,町田,ニッパツ
15351,20150405,４,Ｊ３,富山,1-2,町田,富山
15352,20150412,５,Ｊ３,町田,2-0,鳥取,町田
15353,20150419,６,Ｊ３,相模原,2-1,町田,ギオンス
15354,20150426,７,Ｊ３,町田,6-0,J-22,町田
15356,20150503,９,Ｊ３,町田,1-0,琉球,町田
15358,20150517,１２,Ｊ３,藤枝,1-1,町田,藤枝サ
15359,20150524,１３,Ｊ３,町田,1-0,山口,町田
15361,20150607,１５,Ｊ３,町田,2-0,長野,町田
15362,20150614,１６,Ｊ３,山口,1-2,町田,下関
15364,20150628,１８,Ｊ３,町田,2-1,YS横浜,町田
15365,20150705,１９,Ｊ３,鳥取,0-0,町田,チュスタ
15366,20150712,２０,Ｊ３,町田,2-0,琉球,町田
15367,20150719,２１,Ｊ３,町田,3-1,J-22,町田
15369,20150802,２４,Ｊ３,町田,1-0,富山,町田
15370,20150809,２５,Ｊ３,相模原,0-1,町田,ギオンス
15371,20150816,２６,Ｊ３,町田,4-0,藤枝,町田
15372,20150905,２７,Ｊ３,YS横浜,0-2,町田,ニッパツ
15374,20150920,２９,Ｊ３,町田,1-3,山口,町田
15375,20150923,３０,Ｊ３,町田,1-0,J-22,町田
15376,20150927,３１,Ｊ３,藤枝,1-2,町田,エコパ
15377,20151011,３３,Ｊ３,町田,2-0,富山,町田
15378,20151018,３４,Ｊ３,町田,1-0,相模原,町田
15379,20151025,３５,Ｊ３,琉球,0-2,町田,沖縄県陸
15381,20151108,３７,Ｊ３,鳥取,1-1,町田,とりスタ
15383,20151123,３９,Ｊ３,長野,1-1,町田,南長野
15384,20151129,0,Ｊ２・Ｊ３入替,町田,2-1,大分,町田
15385,20151206,0,Ｊ２・Ｊ３入替,大分,0-1,町田,大銀ド
15386,20160228,１,Ｊ２,町田,0-1,Ｃ大阪,町田
15387,20160306,２,Ｊ２,町田,1-1,京都,町田
15388,20160313,３,Ｊ２,山口,0-2,町田,維新公園
15389,20160320,４,Ｊ２,町田,2-1,金沢,町田
15394,20160423,９,Ｊ２,町田,1-0,長崎,町田
15395,20160429,１０,Ｊ２,岡山,2-2,町田,Ｃスタ
15396,20160503,１１,Ｊ２,町田,1-1,岐阜,町田
15397,20160507,１２,Ｊ２,讃岐,0-1,町田,ピカスタ
15398,20160515,１３,Ｊ２,町田,0-1,北九州,町田
15399,20160522,１４,Ｊ２,松本,1-0,町田,松本
15400,20160528,１５,Ｊ２,熊本,0-2,町田,ノエスタ
15401,20160604,１６,Ｊ２,町田,1-0,徳島,町田
15402,20160608,１７,Ｊ２,町田,1-2,清水,町田
15404,20160619,１９,Ｊ２,町田,0-1,愛媛,町田
15405,20160626,２０,Ｊ２,横浜FC,1-0,町田,ニッパツ
15409,20160720,２４,Ｊ２,Ｃ大阪,1-3,町田,金鳥スタ
15411,20160731,２６,Ｊ２,長崎,1-0,町田,長崎県立
15412,20160807,２７,Ｊ２,町田,2-3,山口,町田
15413,20160811,２８,Ｊ２,徳島,1-1,町田,鳴門大塚
15414,20160814,２９,Ｊ２,京都,1-0,町田,西京極
15416,20160911,３１,Ｊ２,町田,1-1,横浜FC,町田
15417,20160918,３２,Ｊ２,金沢,1-2,町田,石川西部
15420,20161008,３５,Ｊ２,清水,2-0,町田,アイスタ
15421,20161016,３６,Ｊ２,町田,1-0,熊本,町田
15422,20161022,３７,Ｊ２,岐阜,1-2,町田,長良川
15423,20161030,３８,Ｊ２,町田,0-1,讃岐,町田
15424,20161103,３９,Ｊ２,町田,1-1,岡山,町田
15425,20161106,４０,Ｊ２,北九州,1-3,町田,本城
15426,20161112,４１,Ｊ２,町田,2-1,松本,町田
15427,20161120,４２,Ｊ２,愛媛,0-1,町田,ニンスタ
15429,20170305,２,Ｊ２,讃岐,2-2,町田,ピカスタ
15430,20170312,３,Ｊ２,町田,1-1,岡山,町田
15432,20170326,５,Ｊ２,金沢,2-2,町田,石川西部
15433,20170401,６,Ｊ２,町田,0-1,岐阜,町田
15434,20170408,７,Ｊ２,福岡,1-3,町田,レベスタ
15435,20170415,８,Ｊ２,町田,1-0,横浜FC,町田
15436,20170422,９,Ｊ２,町田,0-1,徳島,町田
15438,20170503,１１,Ｊ２,町田,2-1,熊本,町田
15439,20170507,１２,Ｊ２,町田,0-0,湘南,町田
15440,20170513,１３,Ｊ２,松本,1-1,町田,松本
15441,20170517,１４,Ｊ２,名古屋,2-1,町田,パロ瑞穂
15442,20170521,１５,Ｊ２,町田,2-2,大分,町田
15443,20170527,１６,Ｊ２,山口,0-1,町田,下関
15444,20170604,１７,Ｊ２,町田,1-2,愛媛,町田
15445,20170611,１８,Ｊ２,京都,2-2,町田,西京極
15446,20170617,１９,Ｊ２,長崎,0-0,町田,トラスタ
15451,20170722,２４,Ｊ２,岐阜,0-2,町田,長良川
15452,20170729,２５,Ｊ２,町田,0-2,京都,町田
15453,20170805,２６,Ｊ２,町田,0-1,福岡,町田
15454,20170811,２７,Ｊ２,大分,1-3,町田,大銀ド
15455,20170816,２８,Ｊ２,町田,3-4,名古屋,町田
15456,20170820,２９,Ｊ２,愛媛,1-1,町田,ニンスタ
15457,20170826,３０,Ｊ２,町田,1-2,松本,町田
15458,20170902,３１,Ｊ２,熊本,0-1,町田,えがおＳ
15459,20170910,３２,Ｊ２,岡山,1-1,町田,Ｃスタ
15461,20170923,３４,Ｊ２,徳島,2-2,町田,鳴門大塚
15463,20171007,３６,Ｊ２,町田,1-1,長崎,町田
15464,20171015,３７,Ｊ２,町田,1-1,金沢,町田
15465,20171020,３８,Ｊ２,横浜FC,2-2,町田,等々力
15466,20171029,３９,Ｊ２,町田,1-1,讃岐,町田
15468,20171112,４１,Ｊ２,町田,0-1,山口,町田
15469,20171119,４２,Ｊ２,湘南,1-1,町田,ＢＭＷス
15470,20180225,１,Ｊ２,京都,0-2,町田,西京極
15472,20180311,３,Ｊ２,町田,0-0,甲府,町田
15474,20180321,５,Ｊ２,町田,2-1,松本,町田
15475,20180325,６,Ｊ２,金沢,1-1,町田,石川西部
15477,20180408,８,Ｊ２,町田,2-2,熊本,町田
15479,20180422,１０,Ｊ２,町田,1-2,山口,町田
15480,20180428,１１,Ｊ２,大分,4-3,町田,大銀ド
15482,20180506,１３,Ｊ２,町田,1-0,横浜FC,町田
15483,20180513,１４,Ｊ２,町田,3-0,讃岐,町田
15485,20180527,１６,Ｊ２,町田,1-3,岡山,町田
15486,20180602,１７,Ｊ２,町田,2-1,愛媛,町田
15487,20180610,１８,Ｊ２,徳島,1-2,町田,鳴門大塚
15488,20180617,１９,Ｊ２,岐阜,0-1,町田,長良川
15489,20180624,２０,Ｊ２,町田,0-0,新潟,町田
15490,20180630,２１,Ｊ２,福岡,2-2,町田,レベスタ
15492,20180716,２３,Ｊ２,熊本,2-3,町田,えがおＳ
15493,20180721,２４,Ｊ２,町田,1-0,金沢,町田
15494,20180725,２５,Ｊ２,町田,2-1,京都,町田
15495,20180804,２７,Ｊ２,横浜FC,2-3,町田,ニッパツ
15497,20180818,２９,Ｊ２,松本,0-1,町田,松本
15498,20180826,３０,Ｊ２,町田,1-0,岐阜,町田
15499,20180901,３１,Ｊ２,甲府,0-2,町田,中銀スタ
15502,20180922,３４,Ｊ２,町田,1-1,徳島,町田
15504,20181014,３７,Ｊ２,町田,3-2,大分,町田
15505,20181017,２６,Ｊ２,山口,0-1,町田,みらスタ
15506,20181021,３８,Ｊ２,岡山,1-0,町田,Ｃスタ
15507,20181028,３９,Ｊ２,新潟,2-0,町田,デンカＳ
15508,20181031,３５,Ｊ２,讃岐,1-1,町田,ピカスタ
15509,20181104,４０,Ｊ２,町田,2-1,福岡,町田
15510,20181111,４１,Ｊ２,愛媛,0-2,町田,ニンスタ
15515,20190317,４,Ｊ２,金沢,6-1,町田,石川西部
15516,20190324,５,Ｊ２,鹿児島,0-1,町田,白波スタ
15517,20190330,６,Ｊ２,町田,1-0,愛媛,町田
15518,20190403,７,Ｊ２,新潟,1-0,町田,デンカＳ
15519,20190407,８,Ｊ２,町田,1-1,甲府,町田
15520,20190413,９,Ｊ２,福岡,0-2,町田,博多陸
15522,20190427,１１,Ｊ２,琉球,1-1,町田,タピスタ
15524,20190512,１３,Ｊ２,横浜FC,1-1,町田,ニッパツ
