,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_ゴール期待値,H_ゴール期待値
339,16,0713,相模原,3-3,A,ギオンス,雨,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
340,17,0720,讃岐,1-1,H,味フィ西,曇,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
341,18,0727,藤枝,0-3,A,藤枝サ,曇,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
342,19,0804,鳥取,2-2,H,味フィ西,晴,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
343,20,0811,長野,0-1,A,長野Ｕ,晴,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
344,21,0831,岩手,1-1,A,いわスタ,晴,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
345,22,0907,北九州,0-2,H,味フィ西,曇,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
346,23,0914,群馬,2-4,H,味フィ西,晴,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
347,24,0929,八戸,0-1,A,ダイスタ,晴,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
348,25,1006,熊本,2-0,H,生目の杜,晴,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
349,26,1013,沼津,2-2,A,愛鷹,晴,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
350,27,1020,相模原,1-1,H,Ｊスタ,晴,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
351,28,1027,福島,2-1,H,Ｊスタ,曇一時晴,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
352,29,1103,讃岐,3-1,A,ピカスタ,曇,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
353,30,1109,秋田,2-3,H,夢の島,晴,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
354,31,1117,YS横浜,2-0,H,味フィ西,晴,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
355,32,1124,Ｃ大23,0-2,A,ヤンマー,曇,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
356,33,1130,富山,0-2,A,長野Ｕ,晴,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
357,34,1208,Ｇ大23,5-1,H,駒沢,晴,ＦＣ東京U-23,2021,fct,長澤　徹,25,10,0,408,23,12,0,6,12,15,36,20,0,0,2,0,34,24,124,20.2%,44.1%,(20.0%),(77.0%),(39.1%),(100.0%),(60.0%),(61.1%),15,4,0,607,9,13,0,5,23,21,12,28,1,0,0,0,62,19,129,11.6%,55.9%,(6.7%),(85.2%),(11.1%),(87.0%),(38.1%),(75.0%),0.867,2.322
358,1,0313,盛岡,2-0,H,金鳥スタ,曇,セレッソ大阪U-23,2016,c-23,,14,5,0,456,16,10,3,5,29,8,33,16,3,5,2,0,41,12,148,9.5%,52.2%,(14.3%),(66.7%),(12.5%),(65.5%),(50.0%),(84.8%),15,3,0,490,19,13,6,14,34,14,10,7,0,3,0,0,43,29,164,9.1%,47.8%,(0.0%),(67.6%),(15.8%),(94.1%),(50.0%),(90.0%),,
359,2,0320,藤枝,0-1,A,藤枝サ,曇,セレッソ大阪U-23,2016,c-23,,16,5,0,481,23,12,4,6,37,18,20,28,6,3,0,0,55,16,174,9.2%,49%,(6.3%),(66.7%),(17.4%),(62.2%),(38.9%),(90.0%),5,0,0,461,24,15,3,3,32,12,24,37,5,4,0,0,40,10,163,3.1%,51%,(0.0%),(65.3%),(12.5%),(59.4%),(33.3%),(79.2%),,
360,3,0402,琉球,2-1,H,金鳥スタ,曇,セレッソ大阪U-23,2016,c-23,,13,3,0,505,18,15,3,9,35,14,30,15,1,1,2,1,52,16,158,8.2%,55.8%,(15.4%),(78.0%),(33.3%),(80.0%),(28.6%),(70.0%),11,6,0,471,6,13,1,2,31,18,36,25,1,2,0,0,33,11,150,7.3%,44.2%,(9.1%),(74.3%),(50.0%),(83.9%),(38.9%),(86.1%),,
361,4,0410,Ｇ大23,1-2,A,吹田Ｓ,曇のち晴,セレッソ大阪U-23,2016,c-23,,14,5,1,438,15,10,0,7,13,13,15,19,3,0,1,1,29,13,116,12.1%,45.8%,(14.3%),(78.3%),(26.7%),(76.9%),(46.2%),(53.3%),20,7,0,526,22,13,0,9,15,16,18,19,0,0,1,1,54,15,117,17.1%,54.2%,(5.0%),(83.5%),(27.3%),(86.7%),(50.0%),(72.2%),,
362,5,0416,長野,0-0,H,ヤンマー,晴,セレッソ大阪U-23,2016,c-23,,12,4,0,533,14,14,3,5,22,6,25,22,5,2,0,0,44,8,125,9.6%,57.9%,(0.0%),(77.1%),(14.3%),(90.9%),(83.3%),(84.0%),9,4,0,360,6,13,2,3,25,13,27,28,2,3,2,1,31,9,134,6.7%,42.1%,(0.0%),(68.6%),(33.3%),(52.0%),(23.1%),(66.7%),,
363,6,0424,相模原,1-3,A,ギオンス,曇,セレッソ大阪U-23,2016,c-23,,14,5,0,438,12,9,0,5,24,9,12,8,1,3,2,0,40,11,134,10.4%,44.3%,(21.4%),(71.7%),(16.7%),(91.7%),(66.7%),(83.3%),10,4,0,592,12,11,3,7,24,6,9,8,1,0,2,0,33,11,127,7.9%,55.7%,(0.0%),(77.4%),(16.7%),(83.3%),(50.0%),(88.9%),,
364,7,0501,YS横浜,1-1,H,金鳥スタ,晴,セレッソ大阪U-23,2016,c-23,,8,4,0,522,13,8,1,2,38,11,22,19,1,8,2,0,34,9,154,5.2%,55.5%,(12.5%),(69.5%),(15.4%),(86.8%),(18.2%),(63.6%),10,2,0,408,15,8,8,4,28,14,29,37,1,1,0,0,42,11,151,6.6%,44.5%,(10.0%),(63.2%),(13.3%),(71.4%),(57.1%),(86.2%),,
365,8,0508,福島,2-2,A,とうスタ,晴,セレッソ大阪U-23,2016,c-23,,16,4,0,383,13,11,0,6,42,20,15,36,2,2,1,0,40,12,145,11.0%,49.2%,(12.5%),(64.2%),(15.4%),(76.2%),(35.0%),(73.3%),13,5,0,408,14,6,2,11,32,10,28,28,1,0,0,0,31,11,149,8.7%,50.8%,(15.4%),(64.2%),(21.4%),(68.8%),(60.0%),(78.6%),,
366,9,0515,鹿児島,1-3,A,鴨池,曇,セレッソ大阪U-23,2016,c-23,,16,5,0,330,10,12,5,5,43,11,23,14,5,3,1,0,31,17,152,10.5%,41.3%,(18.8%),(66.7%),(30.0%),(81.4%),(72.7%),(65.2%),13,3,0,516,12,11,3,3,30,9,26,18,5,4,2,0,34,6,142,9.2%,58.7%,(7.7%),(76.2%),(16.7%),(76.7%),(55.6%),(80.8%),,
367,10,0522,大分,2-1,H,金鳥スタ,晴,セレッソ大阪U-23,2016,c-23,,10,4,0,364,12,10,1,1,22,12,26,53,0,1,1,0,39,7,138,7.2%,44.5%,(20.0%),(73.6%),(8.3%),(59.1%),(50.0%),(84.6%),19,6,0,590,25,15,1,3,37,11,27,26,1,1,2,0,59,18,147,12.9%,55.5%,(5.3%),(80.5%),(28.0%),(91.9%),(63.6%),(70.4%),,
368,11,0529,栃木,0-1,A,栃木グ,晴,セレッソ大阪U-23,2016,c-23,,17,4,0,388,21,12,0,4,28,15,20,39,2,2,0,0,43,17,145,11.7%,45.9%,(5.9%),(63.9%),(9.5%),(67.9%),(40.0%),(80.0%),11,1,0,439,23,10,2,3,34,17,14,22,1,0,2,0,38,11,140,7.9%,54.1%,(0.0%),(67.4%),(21.7%),(76.5%),(58.8%),(78.6%),,
369,12,0612,富山,1-2,A,富山,曇,セレッソ大阪U-23,2016,c-23,,22,7,0,504,20,23,0,5,24,19,19,15,3,5,1,0,37,15,137,16.1%,52%,(9.1%),(79.6%),(15.0%),(83.3%),(42.1%),(73.7%),7,3,0,388,11,4,5,6,21,13,32,17,2,0,3,0,43,8,112,6.3%,48%,(0.0%),(77.1%),(9.1%),(76.2%),(61.5%),(75.0%),,
370,13,0618,Ｆ東23,2-1,H,金鳥スタ,晴,セレッソ大阪U-23,2016,c-23,,12,4,0,412,8,10,1,5,29,14,29,23,1,5,2,0,40,9,158,7.6%,53.6%,(16.7%),(66.5%),(0.0%),(62.1%),(35.7%),(75.9%),9,3,0,410,11,8,5,3,35,22,26,22,2,1,1,0,26,10,150,6.0%,46.4%,(11.1%),(65.6%),(27.3%),(80.0%),(45.5%),(76.9%),,
371,14,0625,鳥取,2-2,H,金鳥スタ,雨,セレッソ大阪U-23,2016,c-23,,9,3,0,414,20,7,1,2,28,4,22,21,0,3,3,0,39,10,129,7.0%,48.6%,(22.2%),(67.9%),(15.0%),(67.9%),(50.0%),(86.4%),12,3,0,464,18,20,3,4,37,12,16,14,2,1,1,0,56,15,143,8.4%,51.4%,(16.7%),(71.3%),(16.7%),(83.8%),(33.3%),(87.5%),,
372,15,0703,秋田,1-1,A,Ａ‐スタ,晴,セレッソ大阪U-23,2016,c-23,,6,4,0,484,25,14,0,4,19,8,15,27,1,0,0,0,39,13,127,4.7%,51.1%,(16.7%),(72.3%),(16.0%),(84.2%),(62.5%),(80.0%),10,5,0,411,17,12,1,6,26,13,19,16,1,0,3,0,31,10,136,7.4%,48.9%,(10.0%),(69.6%),(35.3%),(73.1%),(38.5%),(84.2%),,
373,16,0710,Ｇ大23,1-2,H,金鳥スタ,晴,セレッソ大阪U-23,2016,c-23,,13,4,0,275,3,12,2,2,27,4,30,18,1,0,0,0,26,6,124,10.5%,36.6%,(7.7%),(65.8%),(33.3%),(85.2%),(25.0%),(80.0%),16,3,0,584,21,5,0,9,30,23,20,14,3,2,1,0,59,15,134,11.9%,63.4%,(12.5%),(81.5%),(19.0%),(93.3%),(43.5%),(70.0%),,
374,17,0716,盛岡,0-1,A,いわスタ,曇,セレッソ大阪U-23,2016,c-23,,23,5,0,484,22,12,0,7,39,17,14,21,1,2,0,0,46,18,141,16.3%,55.9%,(4.3%),(75.2%),(18.2%),(82.1%),(41.2%),(57.1%),8,4,0,281,13,10,2,6,34,6,34,29,2,0,3,0,30,10,144,5.6%,44.1%,(0.0%),(56.9%),(23.1%),(61.8%),(83.3%),(70.6%),,
375,18,0724,相模原,2-2,H,金鳥スタ,曇,セレッソ大阪U-23,2016,c-23,,23,7,0,544,17,8,3,11,28,7,17,12,2,2,0,0,43,22,128,18.0%,57.4%,(8.7%),(78.3%),(35.3%),(85.7%),(28.6%),(76.5%),10,4,0,358,8,10,2,5,19,7,26,22,1,3,1,0,23,11,120,8.3%,42.6%,(20.0%),(70.1%),(12.5%),(78.9%),(57.1%),(80.8%),,
376,19,0731,琉球,3-0,A,沖縄県陸,晴,セレッソ大阪U-23,2016,c-23,,21,4,0,449,20,10,0,9,28,27,11,13,0,2,1,0,55,19,117,17.9%,51.2%,(0.0%),(77.5%),(5.0%),(89.3%),(74.1%),(81.8%),13,4,0,332,6,9,3,4,18,7,19,34,3,0,2,0,34,10,110,11.8%,48.8%,(23.1%),(74.1%),(50.0%),(77.8%),(28.6%),(57.9%),,
377,20,0806,鹿児島,0-2,H,金鳥スタ,曇,セレッソ大阪U-23,2016,c-23,,10,3,1,399,8,7,0,2,21,6,16,14,1,4,1,1,28,12,119,8.4%,47.4%,(0.0%),(74.7%),(25.0%),(66.7%),(50.0%),(87.5%),21,8,0,447,11,9,4,7,26,16,12,15,2,0,4,0,35,16,125,16.8%,52.6%,(9.5%),(77.9%),(36.4%),(92.3%),(75.0%),(66.7%),,
378,21,0910,栃木,0-3,H,金鳥スタ,晴,セレッソ大阪U-23,2016,c-23,,9,3,0,463,15,12,2,2,26,12,19,27,0,2,1,0,29,6,126,7.1%,52.4%,(0.0%),(78.8%),(13.3%),(88.5%),(41.7%),(68.4%),21,10,0,415,22,10,2,6,23,14,27,22,1,2,1,0,43,19,131,16.0%,47.6%,(14.3%),(74.2%),(22.7%),(91.3%),(64.3%),(81.5%),,
379,22,0919,大分,0-2,A,大銀ド,屋内,セレッソ大阪U-23,2016,c-23,,10,2,0,419,15,10,2,7,34,13,26,22,1,2,3,0,36,14,134,7.5%,50.9%,(20.0%),(70.4%),(26.7%),(88.2%),(53.8%),(69.2%),9,2,0,337,10,17,2,6,18,10,24,18,2,2,0,0,28,11,128,7.0%,49.1%,(0.0%),(69.4%),(0.0%),(77.8%),(40.0%),(83.3%),,
380,23,0925,長野,3-1,A,南長野,晴,セレッソ大阪U-23,2016,c-23,,9,2,0,370,21,10,3,2,45,13,30,18,1,2,2,0,50,13,137,6.6%,48.6%,(11.1%),(63.8%),(19.0%),(60.0%),(23.1%),(80.0%),8,3,0,356,7,15,2,3,28,6,25,39,1,3,3,0,23,7,141,5.7%,51.4%,(37.5%),(63.2%),(28.6%),(71.4%),(33.3%),(64.0%),,
381,24,1001,藤枝,2-1,H,ヤンマー,曇のち晴,セレッソ大阪U-23,2016,c-23,,18,8,0,344,7,12,2,3,25,13,25,29,3,2,1,0,35,14,132,13.6%,46.4%,(11.1%),(69.2%),(14.3%),(72.0%),(53.8%),(64.0%),16,4,0,536,24,12,2,5,25,6,22,7,2,2,1,0,42,16,137,11.7%,53.6%,(6.3%),(73.3%),(20.8%),(80.0%),(50.0%),(63.6%),,
382,25,1016,鳥取,2-1,A,とりスタ,曇,セレッソ大阪U-23,2016,c-23,,14,4,0,416,16,9,1,7,29,24,22,17,4,1,1,0,46,13,134,10.4%,53.5%,(7.1%),(71.9%),(18.8%),(82.8%),(37.5%),(86.4%),26,11,0,312,10,9,1,13,20,9,35,24,5,1,1,0,32,14,132,19.7%,46.5%,(7.7%),(66.3%),(20.0%),(85.0%),(33.3%),(77.1%),,
383,26,1022,秋田,1-2,H,金鳥スタ,曇,セレッソ大阪U-23,2016,c-23,,13,7,0,521,16,14,0,5,40,17,17,13,2,3,0,0,37,12,147,8.8%,52.9%,(7.7%),(75.8%),(18.8%),(92.5%),(35.3%),(94.1%),14,5,0,451,11,12,3,2,23,8,32,22,1,0,0,0,38,14,133,10.5%,47.1%,(14.3%),(74.3%),(72.7%),(73.9%),(62.5%),(81.3%),,
384,27,1029,福島,2-2,H,金鳥スタ,晴,セレッソ大阪U-23,2016,c-23,,10,3,0,498,10,14,1,6,38,7,23,17,1,1,0,0,26,10,145,6.9%,56.4%,(20.0%),(73.3%),(20.0%),(84.2%),(71.4%),(69.6%),12,4,0,398,15,17,1,3,14,4,26,15,1,1,2,0,25,12,122,9.8%,43.6%,(16.7%),(69.3%),(33.3%),(71.4%),(50.0%),(73.1%),,
385,28,1106,YS横浜,2-2,A,ニッパツ,晴,セレッソ大阪U-23,2016,c-23,,16,5,0,431,31,11,4,3,32,16,35,22,6,1,1,0,46,21,152,10.5%,51.1%,(12.5%),(64.0%),(22.6%),(84.4%),(81.3%),(91.4%),12,3,0,374,13,12,1,6,34,18,26,26,6,4,1,0,30,16,159,7.5%,48.9%,(16.7%),(65.0%),(15.4%),(67.6%),(33.3%),(80.8%),,
386,29,1113,富山,2-3,H,金鳥スタ,晴,セレッソ大阪U-23,2016,c-23,,12,3,0,321,11,12,2,5,15,12,26,25,4,1,1,0,28,15,124,9.7%,38.3%,(16.7%),(72.6%),(45.5%),(73.3%),(58.3%),(73.1%),19,8,0,793,18,12,1,5,30,6,16,13,2,2,3,0,40,21,135,14.1%,61.7%,(15.8%),(84.9%),(55.6%),(100.0%),(83.3%),(93.8%),,
387,30,1120,Ｆ東23,0-2,A,夢の島,曇時々晴,セレッソ大阪U-23,2016,c-23,,18,6,0,453,13,12,3,1,34,20,30,17,2,3,1,0,48,14,142,12.7%,52.3%,(11.1%),(75.3%),(38.5%),(91.2%),(25.0%),(70.0%),4,0,0,415,8,21,3,2,31,7,35,21,1,3,0,0,26,11,145,2.8%,47.7%,(0.0%),(69.4%),(12.5%),(87.1%),(42.9%),(74.3%),,
388,1,0312,盛岡,2-2,H,金鳥スタ,晴,セレッソ大阪U-23,2017,c-23,,12,5,0,375,13,15,2,3,36,22,37,24,2,4,0,0,38,11,170,7.1%,42.9%,(16.7%),(63.7%),(7.7%),(77.8%),(50.0%),(75.7%),16,3,0,655,14,5,4,5,26,14,37,34,3,1,2,0,61,19,154,10.4%,57.1%,(12.5%),(78.2%),(28.6%),(92.3%),(50.0%),(83.8%),,
389,2,0319,秋田,1-3,H,金鳥スタ,晴,セレッソ大阪U-23,2017,c-23,,9,3,0,471,13,10,3,2,39,9,20,23,0,2,0,0,40,7,162,5.6%,49.3%,(11.1%),(66.2%),(0.0%),(69.2%),(66.7%),(70.0%),16,8,0,451,14,9,2,9,20,15,19,30,3,3,1,0,37,12,160,10.0%,50.7%,(18.8%),(65.2%),(14.3%),(80.0%),(33.3%),(84.2%),,
390,3,0326,北九州,0-1,A,ミクスタ,晴,セレッソ大阪U-23,2017,c-23,,10,4,0,419,26,12,1,9,36,16,19,17,4,5,0,0,49,16,140,7.1%,55.1%,(10.0%),(70.2%),(15.4%),(58.3%),(43.8%),(84.2%),9,1,0,338,14,11,5,4,22,8,21,23,1,1,3,0,31,10,125,7.2%,44.9%,(0.0%),(65.1%),(21.4%),(90.9%),(37.5%),(81.0%),,
391,4,0401,YS横浜,2-2,A,ニッパツ,曇一時雨,セレッソ大阪U-23,2017,c-23,,11,2,0,530,15,14,6,4,35,12,27,26,1,2,1,0,24,12,153,7.2%,56%,(18.2%),(71.5%),(20.0%),(91.4%),(75.0%),(66.7%),10,4,0,371,11,8,2,7,18,13,23,19,5,5,3,0,36,9,137,7.3%,44%,(20.0%),(61.7%),(18.2%),(88.9%),(30.8%),(78.3%),,
392,5,0415,Ｆ東23,0-1,H,ヤンマー,晴のち曇一時雨,セレッソ大阪U-23,2017,c-23,,12,4,0,439,16,15,0,3,33,20,28,19,1,0,0,0,34,10,148,8.1%,49.4%,(0.0%),(67.4%),(6.3%),(81.8%),(60.0%),(75.0%),14,5,0,512,3,9,0,7,35,16,27,28,4,0,0,0,34,16,150,9.3%,50.6%,(7.1%),(70.1%),(33.3%),(82.9%),(25.0%),(66.7%),,
393,6,0429,栃木,0-1,H,ヤンマー,晴一時曇,セレッソ大阪U-23,2017,c-23,,13,2,0,414,14,15,0,3,19,5,24,33,3,2,3,0,36,5,125,10.4%,52.3%,(0.0%),(71.5%),(14.3%),(84.2%),(100.0%),(62.5%),14,2,0,348,26,15,2,3,33,9,24,32,3,0,2,0,43,18,136,10.3%,47.7%,(7.1%),(62.6%),(15.4%),(90.9%),(33.3%),(66.7%),,
394,7,0506,鹿児島,1-0,A,鴨池,晴,セレッソ大阪U-23,2017,c-23,,14,4,0,587,15,10,1,6,30,12,15,14,1,1,4,1,37,13,120,11.7%,57.3%,(0.0%),(81.6%),(13.3%),(96.7%),(50.0%),(80.0%),11,4,0,390,8,17,1,0,19,8,16,35,3,1,1,0,32,6,118,9.3%,42.7%,(9.1%),(74.6%),(0.0%),(78.9%),(62.5%),(87.5%),,
395,8,0513,富山,1-1,H,金鳥スタ,曇,セレッソ大阪U-23,2017,c-23,,10,2,1,382,12,9,6,4,22,11,14,25,2,0,2,0,32,10,146,6.8%,44.7%,(10.0%),(67.8%),(33.3%),(72.7%),(45.5%),(78.6%),12,1,0,533,20,10,0,3,39,7,21,25,2,6,1,0,38,11,147,8.2%,55.3%,(0.0%),(72.0%),(10.0%),(94.9%),(85.7%),(81.0%),,
396,9,0521,鳥取,3-1,A,とりスタ,晴,セレッソ大阪U-23,2017,c-23,,14,3,0,758,23,9,2,9,26,17,18,14,3,2,2,0,53,19,132,10.6%,62.6%,(7.1%),(82.5%),(17.4%),(100.0%),(41.2%),(100.0%),11,5,0,326,5,8,2,1,16,11,20,28,4,2,2,0,20,10,120,9.2%,37.4%,(27.3%),(69.6%),(40.0%),(81.3%),(54.5%),(70.0%),,
397,10,0528,Ｇ大23,0-0,A,吹田Ｓ,晴,セレッソ大阪U-23,2017,c-23,,20,6,0,693,12,7,1,6,27,16,22,13,4,0,1,0,63,18,123,16.3%,60.6%,(0.0%),(82.7%),(50.0%),(96.3%),(62.5%),(68.2%),5,1,0,367,8,13,0,4,17,6,17,22,1,1,0,0,25,6,126,4.0%,39.4%,(0.0%),(69.2%),(12.5%),(70.6%),(33.3%),(76.5%),,
398,11,0603,琉球,1-2,H,金鳥スタ,晴,セレッソ大阪U-23,2017,c-23,,8,2,0,518,12,10,0,3,34,14,20,26,2,4,1,0,37,7,133,6.0%,52.9%,(12.5%),(75.9%),(16.7%),(88.2%),(28.6%),(80.0%),22,9,0,475,11,11,4,4,24,18,29,26,7,0,1,0,50,20,125,17.6%,47.1%,(9.1%),(75.4%),(36.4%),(66.7%),(55.6%),(86.2%),,
