,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_ゴール期待値,H_ゴール期待値
22,23,0925,栃木,2-0,A,栃木グ,晴,ガンバ大阪U-23,2016,g-23,,11,2,0,401,20,8,1,3,31,16,18,18,4,3,2,0,37,9,123,8.9%,43.4%,(0.0%),(66.6%),(10.0%),(87.1%),(68.8%),(77.8%),15,4,0,613,15,12,3,6,21,17,12,32,3,1,1,0,41,14,131,11.5%,56.6%,(13.3%),(82.2%),(6.7%),(85.7%),(41.2%),(66.7%),,
23,24,1002,富山,3-0,H,万博,晴,ガンバ大阪U-23,2016,g-23,,23,5,1,559,10,13,2,8,9,14,23,17,4,2,1,0,33,13,114,20.2%,48.7%,(13.0%),(86.2%),(40.0%),(88.9%),(64.3%),(82.6%),14,1,0,605,11,9,2,6,17,10,20,16,1,2,2,0,42,12,105,13.3%,51.3%,(0.0%),(84.5%),(18.2%),(100.0%),(30.0%),(80.0%),,
24,25,1016,藤枝,0-4,A,エコパ,晴,ガンバ大阪U-23,2016,g-23,,18,8,1,466,21,7,2,7,20,11,36,12,10,1,0,0,44,24,142,12.7%,45.1%,(22.2%),(74.5%),(19.0%),(75.0%),(63.6%),(77.8%),12,4,0,640,11,13,1,2,19,17,27,18,5,2,0,0,42,11,133,9.0%,54.9%,(0.0%),(80.9%),(18.2%),(84.2%),(47.1%),(81.5%),,
25,26,1023,Ｆ東23,1-1,H,万博,曇一時晴,ガンバ大阪U-23,2016,g-23,,13,3,0,549,12,14,0,6,32,17,25,10,1,2,1,0,41,11,143,9.1%,50.7%,(7.7%),(79.1%),(16.7%),(84.4%),(47.1%),(68.0%),15,9,0,530,13,12,2,3,27,17,41,21,0,0,2,0,48,9,137,10.9%,49.3%,(6.7%),(77.7%),(15.4%),(92.6%),(58.8%),(73.2%),,
26,27,1030,鳥取,1-2,H,万博,晴,ガンバ大阪U-23,2016,g-23,,11,4,0,577,20,12,2,4,30,17,21,14,3,3,3,0,59,17,119,9.2%,55.4%,(9.1%),(82.8%),(10.0%),(93.3%),(47.1%),(61.9%),12,8,0,374,7,12,4,3,22,19,30,29,0,1,1,0,31,10,128,9.4%,44.6%,(16.7%),(77.5%),(14.3%),(86.4%),(42.1%),(80.0%),,
27,28,1106,大分,0-1,A,大銀ド,晴時々曇,ガンバ大阪U-23,2016,g-23,,18,5,0,410,18,14,2,8,19,14,27,28,0,0,1,0,38,14,131,13.7%,43.4%,(5.6%),(72.9%),(22.2%),(73.7%),(28.6%),(74.1%),12,1,0,584,13,4,0,5,34,12,24,24,3,1,3,0,53,11,127,9.4%,56.6%,(0.0%),(78.4%),(23.1%),(94.1%),(25.0%),(79.2%),,
28,29,1113,秋田,2-2,H,吹田Ｓ,晴,ガンバ大阪U-23,2016,g-23,,22,5,0,506,15,15,2,11,29,26,23,13,5,2,4,0,54,16,142,15.5%,52.8%,(9.1%),(81.0%),(33.3%),(75.9%),(38.5%),(87.0%),21,3,0,406,11,13,2,6,16,12,36,18,7,2,1,0,29,18,123,17.1%,47.2%,(9.5%),(77.3%),(27.3%),(75.0%),(58.3%),(72.2%),,
29,30,1120,YS横浜,0-2,A,三ツ沢陸,晴,ガンバ大阪U-23,2016,g-23,,9,6,0,304,8,9,3,2,17,6,18,23,4,2,2,0,24,11,126,7.1%,35.7%,(22.2%),(66.4%),(25.0%),(70.6%),(66.7%),(83.3%),13,3,0,746,20,15,2,2,24,22,21,11,4,3,2,0,55,12,132,9.8%,64.3%,(0.0%),(82.7%),(15.0%),(83.3%),(50.0%),(76.2%),,
30,1,0312,鳥取,0-2,H,吹田Ｓ,晴,ガンバ大阪U-23,2017,g-23,,14,5,0,451,9,12,2,5,33,10,24,21,6,1,1,0,42,12,134,10.4%,45.8%,(0.0%),(74.1%),(11.1%),(78.8%),(50.0%),(62.5%),7,3,0,574,11,9,1,4,37,12,23,30,5,2,0,0,42,7,138,5.1%,54.2%,(28.6%),(77.9%),(9.1%),(83.8%),(16.7%),(69.6%),,
31,2,0320,相模原,0-1,H,吹田Ｓ,晴,ガンバ大阪U-23,2017,g-23,,9,2,0,594,9,12,4,2,29,21,20,11,3,2,5,2,39,7,129,7.0%,54.4%,(0.0%),(79.5%),(22.2%),(96.6%),(52.4%),(85.0%),12,6,0,505,4,16,2,2,26,8,27,16,2,3,0,0,32,10,137,8.8%,45.6%,(8.3%),(79.4%),(0.0%),(76.9%),(50.0%),(77.8%),,
32,3,0325,鹿児島,0-1,A,鴨池,雨,ガンバ大阪U-23,2017,g-23,,11,5,1,395,14,8,2,6,22,19,29,18,6,2,1,0,28,15,134,8.2%,41.4%,(9.1%),(68.9%),(35.7%),(77.3%),(31.6%),(69.0%),7,0,0,618,16,17,2,4,28,6,29,20,4,2,0,0,39,14,135,5.2%,58.6%,(0.0%),(80.3%),(31.3%),(92.9%),(33.3%),(79.3%),,
33,4,0401,琉球,0-3,A,沖縄県陸,曇,ガンバ大阪U-23,2017,g-23,,17,9,0,506,11,12,3,7,32,18,23,23,3,2,1,0,55,18,163,10.4%,52.7%,(17.6%),(75.9%),(18.2%),(81.3%),(61.1%),(91.3%),9,1,0,432,14,10,2,8,20,12,27,8,5,3,2,0,28,7,145,6.2%,47.3%,(0.0%),(67.6%),(14.3%),(95.0%),(58.3%),(85.2%),,
34,5,0415,長野,0-2,H,吹田Ｓ,晴のち曇,ガンバ大阪U-23,2017,g-23,,14,3,0,529,13,15,2,7,23,10,10,26,2,1,1,0,30,11,126,11.1%,56.3%,(0.0%),(77.1%),(15.4%),(95.7%),(50.0%),(60.0%),11,1,0,431,12,15,1,3,27,4,17,21,1,2,2,0,35,15,128,8.6%,43.7%,(9.1%),(71.5%),(25.0%),(74.1%),(75.0%),(82.4%),,
35,6,0430,福島,1-0,A,とうスタ,晴,ガンバ大阪U-23,2017,g-23,,15,4,0,438,8,11,0,3,38,14,13,15,4,2,0,0,32,12,151,9.9%,47.5%,(0.0%),(66.2%),(62.5%),(86.8%),(28.6%),(61.5%),13,4,0,435,15,6,2,2,27,12,24,24,4,0,1,0,30,14,140,9.3%,52.5%,(7.7%),(66.2%),(20.0%),(66.7%),(66.7%),(75.0%),,
36,8,0514,YS横浜,1-2,H,吹田Ｓ,晴,ガンバ大阪U-23,2017,g-23,,15,3,0,504,11,11,0,0,32,13,20,17,6,0,2,0,43,9,133,11.3%,52.7%,(6.7%),(74.2%),(36.4%),(78.1%),(76.9%),(75.0%),13,5,0,463,11,12,0,2,26,14,15,17,3,0,0,0,34,13,142,9.2%,47.3%,(15.4%),(71.7%),(9.1%),(76.9%),(50.0%),(66.7%),,
37,9,0521,沼津,0-4,A,愛鷹,晴,ガンバ大阪U-23,2017,g-23,,21,10,0,420,20,10,0,7,22,8,24,20,2,2,0,0,38,19,132,15.9%,41.7%,(19.0%),(72.6%),(35.0%),(81.8%),(87.5%),(83.3%),11,5,0,637,13,6,2,2,23,13,20,20,2,0,2,0,62,14,127,8.7%,58.3%,(0.0%),(82.4%),(23.1%),(87.0%),(38.5%),(75.0%),,
