,節,開催日,相手,スコア,HomeAway,会場,天候,指揮官,自チーム,年度,team_id,H_ゴール期待値,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_ゴール期待値,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率
922,25,0929,Ｃ大23,0-2,A,ヤンマー,雨,阪倉　裕二,ＡＣ長野パルセイロ,2018,naga,,18,5,0,468,20,20,2,3,27,17,17,30,0,2,0,0,57,16,140,12.9%,50.6%,(5.6%),(72.2%),(25.0%),(74.1%),(64.7%),(76.5%),,6,1,0,511,15,11,2,1,27,3,18,22,1,2,1,0,32,4,140,4.3%,49.4%,(0.0%),(71.6%),(13.3%),(74.1%),(66.7%),(72.2%)
923,26,1007,鹿児島,1-1,H,長野Ｕ,曇,阪倉　裕二,ＡＣ長野パルセイロ,2018,naga,,9,3,0,353,15,17,2,3,24,9,18,30,3,5,1,0,35,10,138,6.5%,45.1%,(11.1%),(63.2%),(26.7%),(62.5%),(55.6%),(66.7%),,12,4,0,441,19,16,5,4,26,15,20,24,3,2,1,0,44,18,137,8.8%,54.9%,(8.3%),(68.9%),(15.8%),(73.1%),(46.7%),(75.0%)
924,27,1014,YS横浜,0-1,H,長野Ｕ,晴,阪倉　裕二,ＡＣ長野パルセイロ,2018,naga,,11,3,0,356,16,13,1,8,25,12,17,30,2,2,0,1,31,13,145,7.6%,43.2%,(0.0%),(67.1%),(12.5%),(56.0%),(41.7%),(70.6%),,17,5,0,554,19,9,2,5,31,13,18,34,1,1,0,0,50,15,137,12.4%,56.8%,(5.9%),(78.5%),(15.8%),(87.1%),(69.2%),(72.2%)
925,28,1021,富山,1-1,A,富山,晴,阪倉　裕二,ＡＣ長野パルセイロ,2018,naga,,23,3,0,525,22,5,0,5,19,11,16,25,0,1,1,0,48,17,107,21.5%,49.4%,(4.3%),(80.8%),(13.6%),(73.7%),(36.4%),(43.8%),,13,4,0,538,13,8,1,4,24,6,20,25,2,0,1,0,43,17,113,11.5%,50.6%,(7.7%),(80.5%),(30.8%),(62.5%),(33.3%),(75.0%)
926,29,1028,琉球,1-1,H,長野Ｕ,晴,阪倉　裕二,ＡＣ長野パルセイロ,2018,naga,,13,5,0,456,22,11,0,5,24,13,27,12,1,2,1,0,45,11,133,9.8%,46.5%,(7.7%),(71.9%),(18.2%),(66.7%),(61.5%),(77.8%),,14,3,0,503,9,14,2,6,21,14,15,26,2,0,0,0,47,8,131,10.7%,53.5%,(7.1%),(79.7%),(11.1%),(85.7%),(42.9%),(86.7%)
927,30,1104,沼津,3-2,A,愛鷹,曇,阪倉　裕二,ＡＣ長野パルセイロ,2018,naga,,19,6,0,382,8,13,4,9,39,9,15,18,1,0,0,0,35,19,152,12.5%,46.4%,(10.5%),(62.6%),(12.5%),(84.6%),(33.3%),(73.3%),,11,5,0,440,13,11,0,7,20,5,26,29,2,4,2,0,36,15,136,8.1%,53.6%,(27.3%),(67.3%),(7.7%),(55.0%),(20.0%),(96.2%)
928,31,1111,Ｇ大23,2-1,H,長野Ｕ,晴,阪倉　裕二,ＡＣ長野パルセイロ,2018,naga,,17,6,0,276,11,14,1,5,16,8,20,37,5,2,0,0,30,16,119,14.3%,29.8%,(11.8%),(67.0%),(36.4%),(56.3%),(50.0%),(60.0%),,23,8,0,841,23,10,2,7,27,21,13,14,2,1,1,0,61,17,116,19.8%,70.2%,(4.3%),(86.2%),(26.1%),(100.0%),(66.7%),(69.2%)
929,32,1118,鳥取,0-1,A,とりスタ,曇,阪倉　裕二,ＡＣ長野パルセイロ,2018,naga,,19,4,0,490,17,10,5,8,22,13,16,31,1,1,1,0,50,20,124,15.3%,53.2%,(5.3%),(76.9%),(17.6%),(95.5%),(30.8%),(87.5%),,13,0,0,449,17,3,1,4,23,17,18,21,1,5,1,0,40,15,118,11.0%,46.8%,(0.0%),(75.7%),(17.6%),(91.3%),(52.9%),(72.2%)
930,33,1123,Ｆ東23,1-0,A,味フィ西,晴,阪倉　裕二,ＡＣ長野パルセイロ,2018,naga,,9,1,0,489,13,6,0,4,30,21,22,17,0,1,2,0,37,9,123,7.3%,56%,(0.0%),(80.0%),(15.4%),(80.0%),(33.3%),(86.4%),,13,3,0,363,11,11,1,7,18,6,23,26,4,0,0,0,33,16,130,10.0%,44%,(7.7%),(77.1%),(18.2%),(61.1%),(33.3%),(78.3%)
931,34,1202,盛岡,0-1,H,長野Ｕ,晴,阪倉　裕二,ＡＣ長野パルセイロ,2018,naga,,6,1,0,509,21,12,0,9,36,17,23,20,2,2,1,0,51,22,151,4.0%,57.3%,(0.0%),(71.9%),(14.3%),(69.4%),(41.2%),(78.3%),,10,4,1,366,7,14,2,4,26,10,27,42,1,0,0,0,28,9,144,6.9%,42.7%,(10.0%),(65.3%),(14.3%),(73.1%),(60.0%),(77.8%)
