,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_ゴール期待値,H_ゴール期待値,A_スプリント,A_総走行距離,H_スプリント,H_総走行距離
4501,4,0320,町田,1-2,A,町田,晴,ツエーゲン金沢,2016,kana,,11,5,0,391,21,8,4,1,29,10,25,27,2,3,2,0,29,11,139,7.9%,48.1%,(18.2%),(63.4%),(19.0%),(75.9%),(70.0%),(68.0%),10,5,0,429,14,12,4,5,32,16,19,29,6,3,2,0,32,12,145,6.9%,51.9%,(10.0%),(68.3%),(14.3%),(68.8%),(43.8%),(63.2%),,,,,,
4502,5,0326,Ｃ大阪,2-2,A,金鳥スタ,晴,ツエーゲン金沢,2016,kana,,15,4,0,449,14,10,0,1,22,10,39,22,1,2,1,0,34,8,120,12.5%,49.8%,(13.3%),(74.4%),(14.3%),(72.7%),(80.0%),(87.2%),17,7,1,509,14,6,2,5,26,20,14,25,3,0,0,0,41,14,122,13.9%,50.2%,(11.8%),(81.9%),(21.4%),(88.5%),(20.0%),(71.4%),,,,,,
4503,6,0403,横浜FC,1-2,H,石川西部,曇,ツエーゲン金沢,2016,kana,,18,7,1,662,20,13,0,6,32,9,13,13,2,1,2,0,53,16,129,14.0%,62.8%,(5.6%),(84.1%),(35.0%),(87.5%),(33.3%),(92.3%),7,6,0,270,14,5,1,2,31,11,20,32,3,0,2,0,23,7,116,6.0%,37.2%,(28.6%),(66.7%),(7.1%),(80.6%),(54.5%),(55.0%),,,,,,
4504,7,0409,千葉,0-1,A,フクアリ,曇,ツエーゲン金沢,2016,kana,,18,5,0,553,19,10,2,6,31,4,16,21,2,4,0,0,40,20,125,14.4%,55.1%,(5.6%),(78.8%),(15.8%),(96.8%),(75.0%),(75.0%),10,2,0,448,19,4,4,8,28,9,16,36,1,1,0,0,32,12,120,8.3%,44.9%,(0.0%),(75.4%),(26.3%),(96.4%),(33.3%),(81.3%),,,,,,
4505,9,0423,岐阜,1-2,H,石川西部,曇,ツエーゲン金沢,2016,kana,,18,4,0,472,13,8,7,10,39,14,15,32,0,3,2,0,32,12,137,13.1%,59.5%,(5.6%),(70.3%),(15.4%),(74.4%),(42.9%),(60.0%),14,5,0,260,14,10,4,4,34,10,25,36,1,7,1,0,30,14,129,10.9%,40.5%,(14.3%),(50.4%),(21.4%),(61.8%),(50.0%),(60.0%),,,,,,
4506,10,0429,清水,1-4,A,アイスタ,晴,ツエーゲン金沢,2016,kana,,19,8,0,730,36,13,1,4,28,13,18,12,6,5,0,0,87,22,133,14.3%,65.4%,(21.1%),(82.9%),(27.8%),(85.7%),(61.5%),(88.9%),4,2,0,310,2,11,5,0,32,9,25,35,5,1,2,0,23,7,134,3.0%,34.6%,(25.0%),(63.9%),(0.0%),(78.1%),(44.4%),(80.0%),,,,,,
4507,11,0503,札幌,0-1,H,石川西部,曇,ツエーゲン金沢,2016,kana,,10,2,0,363,9,10,5,2,31,7,23,20,4,0,1,0,28,6,125,8.0%,40.7%,(0.0%),(68.9%),(22.2%),(74.2%),(42.9%),(78.3%),9,2,0,553,12,9,0,2,24,8,13,22,1,5,2,0,27,13,127,7.1%,59.3%,(11.1%),(79.6%),(33.3%),(100.0%),(62.5%),(76.9%),,,,,,
4508,12,0507,山口,1-0,A,維新公園,晴,ツエーゲン金沢,2016,kana,,13,4,0,440,17,16,2,2,35,11,26,21,1,5,2,0,28,14,145,9.0%,55.4%,(0.0%),(65.9%),(23.5%),(74.3%),(54.5%),(76.9%),9,4,0,277,13,10,6,3,27,15,19,39,4,1,2,0,31,11,139,6.5%,44.6%,(11.1%),(54.9%),(7.7%),(70.4%),(26.7%),(78.9%),,,,,,
4509,13,0515,東京Ｖ,1-1,H,石川西部,晴,ツエーゲン金沢,2016,kana,,11,4,0,367,17,29,6,5,19,9,7,16,2,0,0,0,29,12,139,7.9%,47.2%,(9.1%),(59.4%),(23.5%),(89.5%),(55.6%),(100.0%),11,3,0,445,12,12,0,1,27,7,10,23,0,6,2,0,39,12,140,7.9%,52.8%,(9.1%),(64.3%),(41.7%),(74.1%),(42.9%),(80.0%),,,,,,
4510,8,0518,愛媛,2-1,H,石川西部,晴,ツエーゲン金沢,2016,kana,,6,3,0,251,5,11,6,2,21,3,14,46,1,2,5,0,16,9,136,4.4%,36.6%,(33.3%),(55.4%),(20.0%),(57.1%),(33.3%),(85.7%),20,6,0,635,29,15,2,15,23,12,8,4,0,6,0,0,57,21,148,13.5%,63.4%,(5.0%),(76.7%),(20.7%),(87.0%),(66.7%),(87.5%),,,,,,
4511,14,0522,山形,0-0,A,ＮＤスタ,晴,ツエーゲン金沢,2016,kana,,18,5,0,463,12,7,1,9,28,13,19,16,1,2,0,0,40,14,131,13.7%,58.3%,(0.0%),(70.8%),(8.3%),(82.1%),(53.8%),(78.9%),14,4,0,287,14,11,2,5,29,8,19,24,2,1,0,0,34,16,125,11.2%,41.7%,(0.0%),(56.1%),(21.4%),(69.0%),(37.5%),(78.9%),,,,,,
4512,15,0529,松本,0-2,H,石川西部,雨,ツエーゲン金沢,2016,kana,,6,0,0,348,18,12,3,3,31,5,16,31,6,1,2,0,22,2,127,4.7%,46.2%,(0.0%),(64.1%),(0.0%),(77.4%),(80.0%),(93.8%),16,6,0,439,14,14,1,7,28,11,18,25,2,3,0,0,45,10,137,11.7%,53.8%,(12.5%),(70.8%),(7.1%),(82.1%),(54.5%),(55.6%),,,,,,
4513,16,0604,京都,1-1,H,石川西部,曇,ツエーゲン金沢,2016,kana,,13,4,0,434,24,8,4,5,17,5,14,28,1,3,2,0,32,16,121,10.7%,43.4%,(7.7%),(73.0%),(29.2%),(70.6%),(60.0%),(85.7%),10,3,0,580,9,14,3,4,26,13,11,15,2,4,0,0,36,14,136,7.4%,56.6%,(10.0%),(78.6%),(33.3%),(88.5%),(53.8%),(81.8%),,,,,,
4514,17,0608,熊本,2-5,A,ベアスタ,晴,ツエーゲン金沢,2016,kana,,12,6,0,379,17,13,1,5,23,13,19,40,3,4,3,0,28,8,142,8.5%,48%,(41.7%),(62.0%),(23.5%),(87.0%),(30.8%),(68.4%),14,8,1,454,12,15,4,7,30,11,14,11,4,1,3,0,38,12,145,9.7%,52%,(14.3%),(66.3%),(0.0%),(70.0%),(54.5%),(71.4%),,,,,,
4515,18,0612,北九州,2-3,A,本城,雨,ツエーゲン金沢,2016,kana,,8,4,0,483,11,12,0,1,20,5,22,25,2,4,0,0,32,8,125,6.4%,50.4%,(25.0%),(73.5%),(9.1%),(80.0%),(60.0%),(86.4%),16,5,0,470,16,11,4,5,40,9,12,10,1,0,2,0,51,18,135,11.9%,49.6%,(12.5%),(70.6%),(37.5%),(77.5%),(33.3%),(58.3%),,,,,,
4516,19,0620,岡山,1-1,H,石川西部,曇,ツエーゲン金沢,2016,kana,,16,4,0,292,12,14,0,4,20,6,20,39,2,1,0,0,24,12,114,14.0%,39.8%,(6.3%),(63.4%),(16.7%),(85.0%),(16.7%),(70.0%),20,5,1,506,24,12,2,9,27,13,13,14,0,0,0,0,44,21,124,16.1%,60.2%,(5.0%),(72.7%),(20.8%),(74.1%),(53.8%),(61.5%),,,,,,
4517,20,0626,徳島,1-0,A,鳴門大塚,晴,ツエーゲン金沢,2016,kana,,4,1,0,578,15,8,4,0,20,8,16,22,3,5,0,0,38,8,111,3.6%,56.5%,(0.0%),(77.7%),(20.0%),(80.0%),(37.5%),(87.5%),9,2,0,404,14,8,7,6,27,7,12,11,1,4,0,0,36,8,129,7.0%,43.5%,(11.1%),(66.8%),(14.3%),(85.2%),(42.9%),(83.3%),,,,,,
4518,21,0703,讃岐,0-0,H,石川西部,曇,ツエーゲン金沢,2016,kana,,15,2,0,396,28,11,5,4,37,10,8,18,4,0,1,0,55,16,120,12.5%,45%,(0.0%),(72.2%),(17.9%),(78.4%),(70.0%),(75.0%),5,1,0,425,9,11,0,2,24,5,15,30,2,5,2,0,20,8,109,4.6%,55%,(0.0%),(74.8%),(0.0%),(70.8%),(60.0%),(66.7%),,,,,,
4519,22,0710,松本,2-4,A,松本,晴,ツエーゲン金沢,2016,kana,,15,5,0,367,15,12,0,5,26,10,12,26,4,3,2,0,35,17,124,12.1%,54.5%,(26.7%),(73.6%),(26.7%),(80.8%),(30.0%),(75.0%),10,2,0,277,16,11,3,5,20,10,20,27,3,0,2,0,30,8,109,9.2%,45.5%,(20.0%),(63.9%),(6.3%),(85.0%),(40.0%),(85.0%),,,,,,
4520,23,0716,山形,1-0,H,石川西部,曇,ツエーゲン金沢,2016,kana,,10,4,0,300,8,11,3,3,27,5,15,38,4,1,1,0,33,9,133,7.5%,40.6%,(10.0%),(67.0%),(12.5%),(70.4%),(40.0%),(66.7%),15,4,0,547,15,6,1,6,34,11,15,24,4,3,2,0,35,14,134,11.2%,59.4%,(0.0%),(74.4%),(13.3%),(79.4%),(18.2%),(73.3%),,,,,,
4521,24,0720,岐阜,1-0,A,長良川,晴,ツエーゲン金沢,2016,kana,,12,2,0,523,11,11,0,5,42,11,20,13,0,4,2,0,46,7,120,10.0%,60.9%,(0.0%),(77.1%),(0.0%),(88.1%),(27.3%),(60.0%),7,3,0,256,9,15,3,4,24,6,22,28,2,0,2,0,22,8,109,6.4%,39.1%,(14.3%),(68.0%),(33.3%),(54.2%),(16.7%),(68.2%),,,,,,
4522,25,0724,熊本,0-0,H,石川西部,晴,ツエーゲン金沢,2016,kana,,20,7,0,403,24,19,5,7,25,9,11,20,1,3,2,0,47,30,132,15.2%,51.8%,(0.0%),(69.7%),(41.7%),(84.0%),(55.6%),(63.6%),10,1,0,338,16,11,3,4,25,5,19,24,0,5,3,0,27,10,128,7.8%,48.2%,(0.0%),(59.8%),(25.0%),(80.0%),(60.0%),(84.2%),,,,,,
4523,26,0731,水戸,0-3,A,Ｋｓスタ,曇,ツエーゲン金沢,2016,kana,,12,5,0,326,6,9,2,3,28,12,12,24,6,6,1,0,35,7,134,9.0%,52.4%,(25.0%),(61.7%),(16.7%),(64.3%),(50.0%),(75.0%),12,4,0,358,11,15,6,3,27,7,19,13,4,2,2,0,31,12,131,9.2%,47.6%,(0.0%),(61.7%),(27.3%),(81.5%),(71.4%),(78.9%),,,,,,
4524,27,0807,北九州,1-1,H,石川西部,晴,ツエーゲン金沢,2016,kana,,10,4,0,278,7,14,2,2,22,5,12,27,3,2,4,0,27,12,104,9.6%,36.2%,(10.0%),(70.5%),(28.6%),(68.2%),(20.0%),(91.7%),14,5,0,545,19,16,2,3,23,14,12,17,0,2,2,0,48,15,111,12.6%,63.8%,(7.1%),(80.4%),(10.5%),(91.3%),(64.3%),(100.0%),,,,,,
4525,28,0811,東京Ｖ,1-4,A,味スタ,晴,ツエーゲン金沢,2016,kana,,23,10,0,424,13,20,1,6,39,16,23,28,3,2,2,0,41,15,143,16.1%,58.2%,(17.4%),(70.8%),(30.8%),(84.6%),(25.0%),(65.2%),11,4,0,270,13,12,2,5,35,11,21,20,5,1,1,0,18,9,148,7.4%,41.8%,(9.1%),(53.3%),(30.8%),(62.9%),(54.5%),(81.0%),,,,,,
4526,29,0814,長崎,0-0,A,トラスタ,晴,ツエーゲン金沢,2016,kana,,12,2,0,558,17,11,0,4,19,3,13,19,1,3,2,0,51,11,124,9.7%,53.7%,(0.0%),(78.9%),(5.9%),(94.7%),(0.0%),(92.3%),12,4,0,387,14,9,3,5,23,9,18,13,2,0,1,0,41,14,134,9.0%,46.3%,(0.0%),(73.9%),(21.4%),(73.9%),(44.4%),(61.1%),,,,,,
4527,30,0821,Ｃ大阪,1-3,H,石川西部,晴,ツエーゲン金沢,2016,kana,,12,3,0,464,19,6,4,4,22,10,17,10,3,2,2,0,33,11,108,11.1%,46.5%,(8.3%),(76.5%),(15.8%),(86.4%),(60.0%),(76.5%),13,7,0,491,11,15,2,1,24,9,7,23,1,4,1,0,35,12,107,12.1%,53.5%,(23.1%),(81.9%),(27.3%),(75.0%),(55.6%),(100.0%),,,,,,
4528,31,0911,讃岐,1-1,A,ピカスタ,晴,ツエーゲン金沢,2016,kana,,2,1,0,239,8,9,4,2,14,6,13,43,5,5,0,1,14,3,94,2.1%,34.2%,(50.0%),(67.4%),(12.5%),(78.6%),(50.0%),(92.3%),27,7,0,756,20,13,5,8,26,10,10,13,2,3,1,0,97,32,97,27.8%,65.8%,(3.7%),(87.0%),(30.0%),(100.0%),(50.0%),(70.0%),,,,,,
4529,32,0918,町田,1-2,H,石川西部,曇,ツエーゲン金沢,2016,kana,,8,1,1,338,16,22,2,4,40,19,30,30,3,6,2,0,32,7,136,5.9%,54.8%,(12.5%),(65.4%),(0.0%),(75.0%),(47.4%),(73.3%),9,3,0,264,10,14,5,11,28,9,29,19,5,2,0,0,21,8,140,6.4%,45.2%,(22.2%),(58.3%),(10.0%),(71.4%),(33.3%),(79.3%),,,,,,
4530,33,0925,群馬,3-1,H,石川西部,曇,ツエーゲン金沢,2016,kana,,16,8,0,427,14,14,4,5,33,14,27,26,12,4,1,1,44,19,148,10.8%,48.5%,(18.8%),(68.1%),(21.4%),(72.7%),(57.1%),(77.8%),12,3,1,460,13,12,4,3,28,18,24,26,5,4,2,0,33,14,132,9.1%,51.5%,(8.3%),(68.9%),(38.5%),(71.4%),(44.4%),(66.7%),,,,,,
4531,34,1002,京都,0-0,A,西京極,曇,ツエーゲン金沢,2016,kana,,11,4,0,543,24,12,0,5,25,13,21,17,3,3,3,0,49,15,119,9.2%,57%,(0.0%),(78.6%),(8.3%),(84.0%),(30.8%),(52.4%),9,3,0,404,9,11,3,2,15,11,19,27,2,0,1,0,30,12,114,7.9%,43%,(0.0%),(75.5%),(11.1%),(93.3%),(36.4%),(68.4%),,,,,,
4532,35,1008,山口,1-0,H,石川西部,曇,ツエーゲン金沢,2016,kana,,6,2,0,328,3,7,5,5,28,7,19,42,3,1,4,1,23,9,137,4.4%,42.5%,(16.7%),(63.4%),(33.3%),(89.3%),(28.6%),(78.9%),17,4,0,546,25,21,1,7,39,18,16,22,0,4,0,0,51,24,150,11.3%,57.5%,(0.0%),(74.5%),(16.0%),(92.3%),(44.4%),(68.8%),,,,,,
4533,36,1016,清水,0-3,H,石川西部,曇,ツエーゲン金沢,2016,kana,,12,3,0,594,11,7,3,1,22,13,25,21,7,0,0,0,44,15,110,10.9%,50.2%,(0.0%),(83.0%),(27.3%),(68.2%),(61.5%),(76.0%),16,6,0,581,19,5,0,5,27,13,14,14,6,3,1,0,43,17,118,13.6%,49.8%,(18.8%),(78.3%),(31.6%),(77.8%),(61.5%),(92.9%),,,,,,
4534,37,1023,岡山,2-1,A,Ｃスタ,曇,ツエーゲン金沢,2016,kana,,7,2,0,305,6,8,3,1,22,3,21,31,0,5,3,1,22,7,116,6.0%,41.1%,(14.3%),(70.5%),(16.7%),(63.6%),(66.7%),(66.7%),17,4,0,569,20,16,5,12,29,13,16,8,0,3,3,0,64,23,134,12.7%,58.9%,(11.8%),(81.0%),(20.0%),(89.7%),(69.2%),(87.5%),,,,,,
4535,38,1030,徳島,0-0,H,石川西部,晴,ツエーゲン金沢,2016,kana,,7,3,1,384,12,9,2,5,20,11,19,27,3,1,1,0,45,13,120,5.8%,44.1%,(0.0%),(74.7%),(16.7%),(90.0%),(45.5%),(94.7%),14,2,0,543,17,13,1,8,35,5,20,19,5,2,3,0,49,18,130,10.8%,55.9%,(0.0%),(78.3%),(35.3%),(85.7%),(60.0%),(95.0%),,,,,,
4536,39,1103,愛媛,1-3,A,ニンスタ,晴,ツエーゲン金沢,2016,kana,,17,8,0,382,15,14,2,6,31,14,21,29,5,2,1,0,37,15,149,11.4%,43.8%,(17.6%),(64.4%),(26.7%),(67.7%),(42.9%),(71.4%),13,3,0,540,20,15,2,6,23,11,28,21,5,2,1,0,41,18,138,9.4%,56.2%,(7.7%),(74.8%),(25.0%),(82.6%),(45.5%),(82.1%),,,,,,
4537,40,1106,千葉,1-2,H,石川西部,晴,ツエーゲン金沢,2016,kana,,14,3,0,334,17,12,3,12,24,12,16,25,3,2,1,0,33,19,134,10.4%,42.6%,(7.1%),(66.2%),(17.6%),(79.2%),(58.3%),(62.5%),10,3,0,552,17,9,2,1,25,6,17,28,3,3,3,0,31,8,114,8.8%,57.4%,(20.0%),(75.7%),(29.4%),(92.0%),(66.7%),(76.5%),,,,,,
4538,41,1112,横浜FC,0-0,A,ニッパツ,晴,ツエーゲン金沢,2016,kana,,13,2,0,410,15,21,1,9,28,15,14,26,2,8,1,0,34,15,141,9.2%,53.4%,(0.0%),(69.8%),(0.0%),(78.6%),(53.3%),(71.4%),10,6,1,387,14,8,8,4,25,13,19,31,0,1,1,0,36,14,123,8.1%,46.6%,(0.0%),(71.6%),(7.1%),(84.0%),(61.5%),(73.7%),,,,,,
4539,42,1120,札幌,0-0,A,札幌ド,屋内,ツエーゲン金沢,2016,kana,,7,4,0,446,7,8,0,4,24,12,23,30,2,1,1,0,24,7,108,6.5%,51.9%,(0.0%),(78.9%),(14.3%),(100.0%),(16.7%),(60.9%),5,0,0,456,17,13,1,4,24,15,16,18,0,0,2,0,33,7,111,4.5%,48.1%,(0.0%),(79.2%),(5.9%),(79.2%),(40.0%),(75.0%),,,,,,
4540,1,0226,愛媛,0-1,A,ニンスタ,晴,ツエーゲン金沢,2017,kana,,13,7,0,469,12,10,2,7,24,15,22,39,4,3,2,0,43,12,138,9.4%,50.9%,(7.7%),(72.5%),(8.3%),(62.5%),(40.0%),(86.4%),10,0,0,494,23,8,4,4,35,12,23,14,3,2,0,0,41,11,141,7.1%,49.1%,(0.0%),(68.0%),(17.4%),(65.7%),(58.3%),(60.9%),,,,,,
4541,2,0304,水戸,0-4,A,Ｋｓスタ,晴,ツエーゲン金沢,2017,kana,,15,8,0,325,6,16,1,3,30,9,15,29,5,3,3,0,41,12,151,9.9%,47.2%,(20.0%),(60.3%),(0.0%),(53.3%),(44.4%),(80.0%),14,2,0,469,13,9,3,6,31,9,21,21,10,1,1,0,33,10,147,9.5%,52.8%,(0.0%),(67.2%),(23.1%),(87.1%),(33.3%),(71.4%),,,,,,
4542,3,0312,湘南,0-0,H,石川西部,晴,ツエーゲン金沢,2017,kana,,7,2,0,322,23,12,1,11,24,6,21,27,1,1,1,0,40,21,135,5.2%,41.1%,(0.0%),(55.3%),(0.0%),(91.7%),(50.0%),(57.1%),11,5,0,518,8,13,1,2,34,8,11,29,4,1,2,0,48,16,136,8.1%,58.9%,(0.0%),(72.0%),(0.0%),(94.1%),(37.5%),(72.7%),,,,,,
4543,4,0318,長崎,1-2,A,トラスタ,雨,ツエーゲン金沢,2017,kana,,11,5,0,428,11,15,1,4,49,10,30,31,3,3,0,0,27,8,173,6.4%,54.1%,(18.2%),(62.1%),(0.0%),(73.5%),(40.0%),(80.0%),13,2,0,403,13,15,4,3,32,4,22,34,1,1,1,0,40,6,154,8.4%,45.9%,(7.7%),(62.3%),(0.0%),(78.1%),(25.0%),(81.8%),,,,,,
4544,5,0326,町田,2-2,H,石川西部,曇,ツエーゲン金沢,2017,kana,,13,6,0,351,24,11,2,2,40,20,34,23,1,7,0,0,35,16,154,8.4%,49.4%,(15.4%),(50.4%),(16.7%),(82.5%),(35.0%),(67.6%),15,8,0,347,19,12,7,2,31,14,27,35,5,2,3,0,39,13,155,9.7%,50.6%,(13.3%),(56.2%),(26.3%),(77.4%),(64.3%),(74.1%),,,,,,
4545,6,0402,群馬,2-0,H,石川西部,晴,ツエーゲン金沢,2017,kana,,18,2,0,307,21,9,1,3,22,13,32,22,4,1,2,0,56,13,122,14.8%,38.9%,(11.1%),(61.9%),(14.3%),(77.3%),(7.7%),(78.1%),10,5,0,506,14,21,1,6,32,13,19,24,0,1,2,0,29,14,148,6.8%,61.1%,(0.0%),(76.1%),(21.4%),(90.6%),(84.6%),(78.9%),,,,,,
4546,7,0408,岡山,1-0,A,Ｃスタ,曇,ツエーゲン金沢,2017,kana,,10,1,0,338,11,18,2,3,39,6,15,27,2,1,1,0,29,13,137,7.3%,51.4%,(0.0%),(61.5%),(27.3%),(64.1%),(100.0%),(80.0%),10,6,0,335,14,14,1,5,46,7,20,30,0,2,0,0,33,8,141,7.1%,48.6%,(10.0%),(61.5%),(14.3%),(71.7%),(42.9%),(75.0%),,,,,,
4547,8,0415,大分,0-1,A,大銀ド,晴のち曇,ツエーゲン金沢,2017,kana,,14,5,0,642,14,22,0,4,28,12,15,31,0,2,1,0,54,16,140,10.0%,65.6%,(7.1%),(79.8%),(7.1%),(96.4%),(50.0%),(73.3%),9,2,0,291,12,9,2,2,21,9,18,20,0,0,3,0,25,6,126,7.1%,34.4%,(0.0%),(58.4%),(16.7%),(76.2%),(33.3%),(77.8%),,,,,,
4548,9,0423,熊本,0-2,H,石川西部,晴,ツエーゲン金沢,2017,kana,,18,2,0,412,20,10,2,8,36,9,26,20,3,3,0,0,46,20,148,12.2%,50.1%,(0.0%),(63.1%),(40.0%),(72.2%),(55.6%),(73.1%),13,4,0,359,12,13,3,3,36,15,21,30,2,2,1,0,42,16,145,9.0%,49.9%,(15.4%),(60.7%),(16.7%),(88.9%),(26.7%),(66.7%),,,,,,
4549,10,0429,岐阜,0-1,A,長良川,晴,ツエーゲン金沢,2017,kana,,11,3,0,588,12,19,1,9,20,20,18,24,5,2,0,0,40,13,133,8.3%,62.1%,(9.1%),(79.9%),(25.0%),(75.0%),(50.0%),(77.8%),13,4,0,355,11,9,2,8,31,10,31,19,5,1,2,0,30,10,129,10.1%,37.9%,(0.0%),(63.9%),(27.3%),(87.1%),(30.0%),(64.5%),,,,,,
4550,11,0503,東京Ｖ,1-2,A,味フィ西,晴のち曇,ツエーゲン金沢,2017,kana,,12,4,0,525,20,17,2,8,32,18,22,23,6,0,1,0,45,13,148,8.1%,59.4%,(16.7%),(74.1%),(20.0%),(78.1%),(44.4%),(81.8%),6,1,0,368,15,10,0,4,24,9,26,27,6,2,1,0,30,5,134,4.5%,40.6%,(16.7%),(65.2%),(6.7%),(50.0%),(33.3%),(80.8%),,,,,,
4551,12,0507,千葉,2-1,H,石川西部,晴,ツエーゲン金沢,2017,kana,,13,5,0,173,7,9,0,1,15,4,21,40,5,3,0,1,19,10,114,11.4%,28.7%,(7.7%),(48.0%),(28.6%),(73.3%),(50.0%),(66.7%),27,4,0,678,29,8,3,9,30,22,11,9,0,0,1,1,81,37,131,20.6%,71.3%,(3.7%),(81.0%),(41.4%),(93.3%),(36.4%),(81.8%),,,,,,
4552,13,0513,山形,1-1,H,石川西部,曇のち雨,ツエーゲン金沢,2017,kana,,8,3,0,429,16,14,1,4,21,10,29,27,8,5,0,0,40,13,143,5.6%,41.9%,(12.5%),(67.4%),(12.5%),(95.2%),(50.0%),(72.4%),9,2,0,596,15,8,5,1,42,14,15,21,3,1,0,0,45,15,145,6.2%,58.1%,(11.1%),(76.3%),(20.0%),(71.4%),(42.9%),(73.3%),,,,,,
4553,14,0517,徳島,1-1,A,鳴門大塚,曇,ツエーゲン金沢,2017,kana,,33,5,0,602,23,13,1,11,34,38,18,8,2,2,1,0,59,29,144,22.9%,64.4%,(3.0%),(80.2%),(30.4%),(82.4%),(52.6%),(66.7%),9,1,0,283,8,10,2,2,20,9,30,32,1,1,0,0,28,9,126,7.1%,35.6%,(11.1%),(65.4%),(25.0%),(65.0%),(44.4%),(60.0%),,,,,,
4554,15,0521,福岡,0-5,H,石川西部,晴,ツエーゲン金沢,2017,kana,,8,1,0,539,15,6,1,0,20,9,21,34,2,1,1,0,40,4,108,7.4%,49.7%,(0.0%),(80.1%),(0.0%),(90.0%),(33.3%),(71.4%),21,12,0,503,27,11,1,10,25,12,19,16,3,1,0,0,48,25,129,16.3%,50.3%,(23.8%),(80.3%),(29.6%),(84.0%),(41.7%),(73.7%),,,,,,
4555,16,0528,松本,0-4,H,石川西部,晴,ツエーゲン金沢,2017,kana,,9,2,0,343,17,10,0,3,36,15,27,22,2,2,0,1,27,12,140,6.4%,41.7%,(0.0%),(58.9%),(11.8%),(77.8%),(53.3%),(77.8%),14,5,0,483,14,16,2,1,32,16,18,34,3,0,1,0,44,16,155,9.0%,58.3%,(28.6%),(70.8%),(50.0%),(81.3%),(62.5%),(83.3%),,,,,,
4556,17,0603,名古屋,3-2,A,豊田ス,晴,ツエーゲン金沢,2017,kana,,19,10,0,686,22,16,5,8,22,23,21,15,5,2,0,0,52,28,151,12.6%,64.2%,(10.5%),(82.5%),(22.7%),(95.5%),(56.5%),(85.7%),17,5,0,282,12,7,2,1,21,11,31,32,1,5,2,0,26,11,125,13.6%,35.8%,(17.6%),(59.6%),(33.3%),(90.5%),(54.5%),(58.1%),,,,,,
4557,18,0611,讃岐,0-1,A,ピカスタ,曇,ツエーゲン金沢,2017,kana,,14,4,0,324,23,18,1,6,29,16,24,21,2,1,1,0,35,17,135,10.4%,50.3%,(7.1%),(57.4%),(21.7%),(93.1%),(31.3%),(83.3%),12,2,0,416,10,14,1,3,32,10,32,22,1,1,2,0,37,13,132,9.1%,49.7%,(0.0%),(70.0%),(20.0%),(81.3%),(50.0%),(59.4%),,,,,,
4558,19,0617,山口,3-2,H,石川西部,晴,ツエーゲン金沢,2017,kana,,12,4,0,339,13,8,3,1,25,5,26,34,2,0,1,0,42,14,134,9.0%,36.9%,(16.7%),(69.3%),(15.4%),(68.0%),(60.0%),(73.1%),20,9,0,653,11,14,0,4,37,12,19,17,1,3,2,0,45,21,145,13.8%,63.1%,(10.0%),(82.4%),(54.5%),(83.8%),(58.3%),(89.5%),,,,,,
4559,20,0625,京都,3-1,A,西京極,雨,ツエーゲン金沢,2017,kana,,22,6,0,355,16,14,3,8,44,13,16,16,2,4,1,0,39,24,159,13.8%,50.9%,(4.5%),(60.6%),(31.3%),(63.6%),(30.8%),(62.5%),10,5,0,349,9,6,4,5,13,6,22,29,2,3,1,0,34,6,142,7.0%,49.1%,(30.0%),(62.2%),(33.3%),(61.5%),(16.7%),(81.8%),,,,,,
4560,21,0701,横浜FC,3-2,H,石川西部,曇,ツエーゲン金沢,2017,kana,,13,8,2,333,6,8,2,5,19,2,11,38,1,2,1,0,22,8,122,10.7%,48.1%,(23.1%),(68.2%),(16.7%),(78.9%),(50.0%),(72.7%),27,9,0,354,18,16,2,7,43,16,4,13,1,2,2,0,41,26,137,19.7%,51.9%,(7.4%),(69.2%),(27.8%),(79.1%),(81.3%),(100.0%),,,,,,
4561,22,0708,福岡,2-0,A,レベスタ,曇時々晴,ツエーゲン金沢,2017,kana,,25,5,0,483,22,17,1,7,34,18,18,13,1,1,1,0,56,18,140,17.9%,58.5%,(0.0%),(76.0%),(31.8%),(88.2%),(55.6%),(77.8%),12,6,0,332,7,12,1,3,15,7,30,34,2,1,1,0,28,15,114,10.5%,41.5%,(16.7%),(70.8%),(42.9%),(86.7%),(57.1%),(86.7%),,,,,,
