,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_ゴール期待値,H_ゴール期待値,A_スプリント,A_総走行距離,H_スプリント,H_総走行距離
288,12,0503,富山,3-1,H,ＮＤスタ,晴れ時々曇り,モンテディオ山形,2013,yama,,16,5,0,422,18,14,0,4,45,17,36,21,6,5,0,0,40,15,161,9.9%,51%,(18.8%),(63.3%),(0.0%),(91.1%),(47.1%),(75.0%),15,2,0,526,20,10,5,6,39,15,24,25,3,0,0,0,35,13,157,9.6%,49%,(6.7%),(70.0%),(10.0%),(87.2%),(40.0%),(75.0%),,,,,,
289,13,0506,岡山,3-4,A,カンスタ,晴れ,モンテディオ山形,2013,yama,,9,5,0,285,7,11,3,0,20,10,29,66,0,0,0,0,28,8,130,6.9%,40.5%,(44.4%),(65.3%),(28.6%),(85.0%),(50.0%),(79.3%),28,7,1,482,30,19,0,17,34,18,25,12,6,3,2,0,36,19,154,18.2%,59.5%,(10.7%),(72.8%),(23.3%),(79.4%),(38.9%),(64.0%),,,,,,
290,14,0512,札幌,0-1,H,ＮＤスタ,晴れ,モンテディオ山形,2013,yama,,15,2,0,518,24,9,2,6,42,25,15,9,2,1,0,0,44,12,156,9.6%,55.3%,(0.0%),(71.2%),(25.0%),(88.1%),(32.0%),(86.7%),13,3,0,385,4,10,2,4,22,4,35,33,6,2,1,0,20,7,140,9.3%,44.7%,(7.7%),(68.1%),(0.0%),(63.6%),(50.0%),(77.1%),,,,,,
291,15,0519,鳥取,6-0,A,とりスタ,雨,モンテディオ山形,2013,yama,,14,2,0,350,10,13,1,9,32,14,31,15,4,2,0,0,21,11,167,8.4%,46.8%,(0.0%),(54.3%),(0.0%),(93.8%),(42.9%),(87.1%),23,9,0,399,13,9,2,7,36,5,32,19,2,1,0,0,35,19,172,13.4%,53.2%,(26.1%),(62.4%),(46.2%),(63.9%),(40.0%),(78.1%),,,,,,
292,16,0526,京都,1-2,H,ＮＤスタ,晴れ,モンテディオ山形,2013,yama,,11,6,0,334,11,10,4,2,27,12,31,31,5,1,0,0,32,13,138,8.0%,44.8%,(9.1%),(57.8%),(18.2%),(48.1%),(25.0%),(74.2%),19,5,0,553,10,15,1,3,34,20,28,32,4,4,2,0,45,18,152,12.5%,55.2%,(10.5%),(77.6%),(40.0%),(82.4%),(20.0%),(60.7%),,,,,,
293,17,0601,千葉,3-1,A,フクアリ,曇り,モンテディオ山形,2013,yama,,12,2,0,458,20,17,3,4,24,13,22,21,5,3,2,0,34,12,133,9.0%,56.3%,(8.3%),(73.1%),(30.0%),(91.7%),(53.8%),(77.3%),24,12,1,294,13,20,3,7,20,12,18,27,4,3,2,0,39,17,141,17.0%,43.7%,(12.5%),(68.0%),(23.1%),(55.0%),(33.3%),(83.3%),,,,,,
294,18,0608,徳島,2-2,H,ＮＤスタ,晴れ,モンテディオ山形,2013,yama,,22,3,0,334,15,22,3,4,24,16,25,9,3,1,1,0,43,19,127,17.3%,47.9%,(9.1%),(67.7%),(26.7%),(54.2%),(37.5%),(72.0%),9,5,0,411,10,17,1,5,24,8,16,22,3,2,2,0,34,12,138,6.5%,52.1%,(22.2%),(69.3%),(40.0%),(83.3%),(0.0%),(75.0%),,,,,,
295,19,0615,群馬,2-2,A,正田スタ,雨,モンテディオ山形,2013,yama,,12,5,0,228,11,7,0,4,24,10,26,60,3,1,1,0,16,13,130,9.2%,43.7%,(16.7%),(54.4%),(18.2%),(66.7%),(20.0%),(73.1%),18,4,0,446,28,13,1,10,42,8,23,29,0,0,1,0,43,15,147,12.2%,56.3%,(11.1%),(70.6%),(32.1%),(71.4%),(25.0%),(69.6%),,,,,,
296,20,0622,松本,4-1,H,ＮＤスタ,晴れ,モンテディオ山形,2013,yama,,23,8,0,444,28,15,4,3,29,31,18,28,6,3,0,0,68,23,144,16.0%,57.6%,(17.4%),(72.5%),(17.9%),(55.2%),(54.8%),(77.8%),13,4,0,360,19,10,4,3,18,20,20,32,6,4,0,0,32,12,137,9.5%,42.4%,(7.7%),(61.1%),(10.5%),(88.9%),(60.0%),(80.0%),,,,,,
297,21,0629,水戸,3-1,A,Ｋｓスタ,曇り,モンテディオ山形,2013,yama,,7,3,0,203,5,18,0,2,28,15,28,30,8,2,1,2,24,10,130,5.4%,34.1%,(14.3%),(57.6%),(0.0%),(67.9%),(40.0%),(71.4%),28,8,1,626,36,17,1,6,19,26,20,14,0,0,2,0,88,31,122,23.0%,65.9%,(10.7%),(80.8%),(25.0%),(78.9%),(26.9%),(90.0%),,,,,,
298,22,0703,鳥取,2-3,H,ＮＤスタ,雨,モンテディオ山形,2013,yama,,17,6,0,471,28,10,3,9,42,15,30,18,2,4,1,0,54,13,148,11.5%,58.6%,(11.8%),(67.9%),(10.7%),(76.2%),(40.0%),(86.7%),11,5,0,260,10,7,4,4,34,18,23,59,1,3,1,0,27,9,142,7.7%,41.4%,(27.3%),(53.1%),(20.0%),(70.6%),(27.8%),(73.9%),,,,,,
