,グラフ,順位,チーム,勝点,試合,勝,分,敗,得点,失点,得失点差,直近試合の勝敗,Unnamed: 12,Unnamed: 13,year,カテゴリ,節,stage,年間勝点順位,総勝点,Unnamed: 14,Unnamed: 15
5,グラフ,6,柏レイソル,13,7,4,1,2,11,10,1,,,,2016,J1,7,2ｓｔ,7.0,37.0,,122.0
6,グラフ,7,サンフレッチェ広島,11,7,3,2,2,14,10,4,,,,2016,J1,7,2ｓｔ,4.0,40.0,,341.0
7,グラフ,8,ヴィッセル神戸,10,7,3,1,3,10,8,2,,,,2016,J1,7,2ｓｔ,12.0,30.0,,281.0
8,グラフ,9,ベガルタ仙台,10,7,3,1,3,6,9,-3,,,,2016,J1,7,2ｓｔ,9.0,33.0,,41.0
9,グラフ,10,大宮アルディージャ,9,7,2,3,2,6,6,0,,,,2016,J1,7,2ｓｔ,8.0,35.0,,112.0
10,グラフ,11,ＦＣ東京,9,7,3,0,4,8,9,-1,,,,2016,J1,7,2ｓｔ,10.0,32.0,,130.0
11,グラフ,12,鹿島アントラーズ,7,7,2,1,4,12,12,0,,,,2016,J1,7,2ｓｔ,3.0,46.0,,80.0
12,グラフ,13,アルビレックス新潟,6,7,2,0,5,6,9,-3,,,,2016,J1,7,2ｓｔ,14.0,24.0,,191.0
13,グラフ,14,アビスパ福岡,5,7,1,2,4,6,11,-5,,,,2016,J1,7,2ｓｔ,18.0,16.0,,401.0
14,グラフ,15,ヴァンフォーレ甲府,5,7,1,2,4,6,14,-8,,,,2016,J1,7,2ｓｔ,15.0,20.0,,151.0
15,グラフ,16,ジュビロ磐田,4,7,0,4,3,6,11,-5,,,,2016,J1,7,2ｓｔ,13.0,27.0,,222.0
16,グラフ,17,湘南ベルマーレ,3,7,1,0,6,4,15,-11,,,,2016,J1,7,2ｓｔ,17.0,19.0,,147.0
17,グラフ,18,名古屋グランパス,2,7,0,2,5,1,12,-11,,,,2016,J1,7,2ｓｔ,16.0,19.0,,231.0
0,グラフ,1,浦和レッズ,19,8,6,1,1,13,5,8,,,111.0,2016,J1,8,１ｓｔ,,,,
1,グラフ,2,川崎フロンターレ,17,8,5,2,1,18,10,8,,,142.0,2016,J1,8,１ｓｔ,,,,
2,グラフ,3,鹿島アントラーズ,16,8,5,1,2,12,5,7,,,80.0,2016,J1,8,１ｓｔ,,,,
3,グラフ,4,サンフレッチェ広島,14,8,4,2,2,15,10,5,,,341.0,2016,J1,8,１ｓｔ,,,,
4,グラフ,5,横浜Ｆ・マリノス,14,8,4,2,2,13,8,5,,,143.0,2016,J1,8,１ｓｔ,,,,
5,グラフ,6,大宮アルディージャ,14,8,4,2,2,10,10,0,,,112.0,2016,J1,8,１ｓｔ,,,,
6,グラフ,7,柏レイソル,12,8,3,3,2,10,9,1,,,122.0,2016,J1,8,１ｓｔ,,,,
7,グラフ,8,ガンバ大阪,12,8,4,0,4,9,8,1,,,271.0,2016,J1,8,１ｓｔ,,,,
8,グラフ,9,ジュビロ磐田,12,8,3,3,2,11,13,-2,,,222.0,2016,J1,8,１ｓｔ,,,,
9,グラフ,10,ヴィッセル神戸,11,7,3,2,2,12,10,2,,,281.0,2016,J1,8,１ｓｔ,,,,
10,グラフ,11,名古屋グランパス,10,7,3,1,3,11,11,0,,,231.0,2016,J1,8,１ｓｔ,,,,
11,グラフ,12,ＦＣ東京,10,8,3,1,4,9,12,-3,,,130.0,2016,J1,8,１ｓｔ,,,,
12,グラフ,13,ヴァンフォーレ甲府,9,8,2,3,3,9,11,-2,,,151.0,2016,J1,8,１ｓｔ,,,,
13,グラフ,14,アルビレックス新潟,7,8,2,1,5,11,16,-5,,,191.0,2016,J1,8,１ｓｔ,,,,
14,グラフ,15,ベガルタ仙台,7,8,2,1,5,8,15,-7,,,41.0,2016,J1,8,１ｓｔ,,,,
15,グラフ,16,サガン鳥栖,5,7,1,2,4,5,8,-3,,,412.0,2016,J1,8,１ｓｔ,,,,
16,グラフ,17,アビスパ福岡,3,7,0,3,4,4,9,-5,,,401.0,2016,J1,8,１ｓｔ,,,,
17,グラフ,18,湘南ベルマーレ,2,8,0,2,6,9,19,-10,,,147.0,2016,J1,8,１ｓｔ,,,,
0,グラフ,1,浦和レッズ,22,8,7,1,0,17,5,12,,,,2016,J1,8,2ｓｔ,2.0,55.0,,111.0
1,グラフ,2,川崎フロンターレ,19,8,6,1,1,18,6,12,,,,2016,J1,8,2ｓｔ,1.0,57.0,,142.0
2,グラフ,3,ガンバ大阪,17,8,5,2,1,13,6,7,,,,2016,J1,8,2ｓｔ,5.0,41.0,,271.0
3,グラフ,4,サガン鳥栖,17,8,5,2,1,13,8,5,,,,2016,J1,8,2ｓｔ,10.0,34.0,,412.0
4,グラフ,5,横浜Ｆ・マリノス,16,8,4,4,0,15,7,8,,,,2016,J1,8,2ｓｔ,6.0,38.0,,143.0
5,グラフ,6,サンフレッチェ広島,14,8,4,2,2,16,11,5,,,,2016,J1,8,2ｓｔ,4.0,43.0,,341.0
6,グラフ,7,ヴィッセル神戸,13,8,4,1,3,14,9,5,,,,2016,J1,8,2ｓｔ,11.0,33.0,,281.0
7,グラフ,8,柏レイソル,13,8,4,1,3,13,14,-1,,,,2016,J1,8,2ｓｔ,7.0,37.0,,122.0
8,グラフ,9,ベガルタ仙台,13,8,4,1,3,10,11,-1,,,,2016,J1,8,2ｓｔ,9.0,36.0,,41.0
9,グラフ,10,鹿島アントラーズ,10,8,3,1,4,14,13,1,,,,2016,J1,8,2ｓｔ,3.0,49.0,,80.0
10,グラフ,11,大宮アルディージャ,10,8,2,4,2,7,7,0,,,,2016,J1,8,2ｓｔ,8.0,36.0,,112.0
11,グラフ,12,ＦＣ東京,9,8,3,0,5,9,13,-4,,,,2016,J1,8,2ｓｔ,12.0,32.0,,130.0
12,グラフ,13,ヴァンフォーレ甲府,8,8,2,2,4,7,14,-7,,,,2016,J1,8,2ｓｔ,15.0,23.0,,151.0
13,グラフ,14,アルビレックス新潟,6,8,2,0,6,6,10,-4,,,,2016,J1,8,2ｓｔ,14.0,24.0,,191.0
14,グラフ,15,アビスパ福岡,5,8,1,2,5,7,13,-6,,,,2016,J1,8,2ｓｔ,18.0,16.0,,401.0
15,グラフ,16,ジュビロ磐田,4,8,0,4,4,6,13,-7,,,,2016,J1,8,2ｓｔ,13.0,27.0,,222.0
16,グラフ,17,湘南ベルマーレ,3,8,1,0,7,5,17,-12,,,,2016,J1,8,2ｓｔ,17.0,19.0,,147.0
17,グラフ,18,名古屋グランパス,2,8,0,2,6,1,14,-13,,,,2016,J1,8,2ｓｔ,16.0,19.0,,231.0
0,グラフ,1,浦和レッズ,22,9,7,1,1,17,6,11,,,111.0,2016,J1,9,１ｓｔ,,,,
1,グラフ,2,川崎フロンターレ,20,9,6,2,1,19,10,9,,,142.0,2016,J1,9,１ｓｔ,,,,
2,グラフ,3,鹿島アントラーズ,17,9,5,2,2,12,5,7,,,80.0,2016,J1,9,１ｓｔ,,,,
3,グラフ,4,柏レイソル,15,9,4,3,2,12,9,3,,,122.0,2016,J1,9,１ｓｔ,,,,
4,グラフ,5,大宮アルディージャ,15,9,4,3,2,10,10,0,,,112.0,2016,J1,9,１ｓｔ,,,,
5,グラフ,6,ジュビロ磐田,15,9,4,3,2,12,13,-1,,,222.0,2016,J1,9,１ｓｔ,,,,
6,グラフ,7,サンフレッチェ広島,14,9,4,2,3,15,11,4,,,341.0,2016,J1,9,１ｓｔ,,,,
7,グラフ,8,横浜Ｆ・マリノス,14,9,4,2,3,13,9,4,,,143.0,2016,J1,9,１ｓｔ,,,,
8,グラフ,9,ガンバ大阪,12,9,4,0,5,9,9,0,,,271.0,2016,J1,9,１ｓｔ,,,,
9,グラフ,10,ヴィッセル神戸,11,8,3,2,3,12,12,0,,,281.0,2016,J1,9,１ｓｔ,,,,
10,グラフ,11,ヴァンフォーレ甲府,10,9,2,4,3,11,13,-2,,,151.0,2016,J1,9,１ｓｔ,,,,
11,グラフ,12,名古屋グランパス,10,8,3,1,4,12,15,-3,,,231.0,2016,J1,9,１ｓｔ,,,,
12,グラフ,13,ＦＣ東京,10,9,3,1,5,9,13,-4,,,130.0,2016,J1,9,１ｓｔ,,,,
13,グラフ,14,サガン鳥栖,8,8,2,2,4,7,8,-1,,,412.0,2016,J1,9,１ｓｔ,,,,
14,グラフ,15,アルビレックス新潟,8,9,2,2,5,13,18,-5,,,191.0,2016,J1,9,１ｓｔ,,,,
15,グラフ,16,ベガルタ仙台,7,9,2,1,6,8,17,-9,,,41.0,2016,J1,9,１ｓｔ,,,,
16,グラフ,17,アビスパ福岡,6,8,1,3,4,5,9,-4,,,401.0,2016,J1,9,１ｓｔ,,,,
17,グラフ,18,湘南ベルマーレ,5,9,1,2,6,10,19,-9,,,147.0,2016,J1,9,１ｓｔ,,,,
0,グラフ,1,川崎フロンターレ,22,9,7,1,1,20,7,13,,,,2016,J1,9,2ｓｔ,1.0,60.0,,142.0
1,グラフ,2,浦和レッズ,22,9,7,1,1,18,7,11,,,,2016,J1,9,2ｓｔ,2.0,55.0,,111.0
2,グラフ,3,サガン鳥栖,18,9,5,3,1,14,9,5,,,,2016,J1,9,2ｓｔ,11.0,35.0,,412.0
3,グラフ,4,ガンバ大阪,17,9,5,2,2,13,7,6,,,,2016,J1,9,2ｓｔ,5.0,41.0,,271.0
4,グラフ,5,横浜Ｆ・マリノス,16,9,4,4,1,15,8,7,,,,2016,J1,9,2ｓｔ,8.0,38.0,,143.0
5,グラフ,6,ヴィッセル神戸,16,9,5,1,3,15,9,6,,,,2016,J1,9,2ｓｔ,9.0,36.0,,281.0
6,グラフ,7,柏レイソル,16,9,5,1,3,16,15,1,,,,2016,J1,9,2ｓｔ,6.0,40.0,,122.0
7,グラフ,8,サンフレッチェ広島,14,9,4,2,3,16,12,4,,,,2016,J1,9,2ｓｔ,4.0,43.0,,341.0
8,グラフ,9,鹿島アントラーズ,13,9,4,1,4,15,13,2,,,,2016,J1,9,2ｓｔ,3.0,52.0,,80.0
9,グラフ,10,大宮アルディージャ,13,9,3,4,2,9,8,1,,,,2016,J1,9,2ｓｔ,7.0,39.0,,112.0
10,グラフ,11,ベガルタ仙台,13,9,4,1,4,11,13,-2,,,,2016,J1,9,2ｓｔ,10.0,36.0,,41.0
11,グラフ,12,ＦＣ東京,12,9,4,0,5,10,13,-3,,,,2016,J1,9,2ｓｔ,12.0,35.0,,130.0
12,グラフ,13,ヴァンフォーレ甲府,11,9,3,2,4,8,14,-6,,,,2016,J1,9,2ｓｔ,15.0,26.0,,151.0
13,グラフ,14,アルビレックス新潟,9,9,3,0,6,9,10,-1,,,,2016,J1,9,2ｓｔ,14.0,27.0,,191.0
14,グラフ,15,ジュビロ磐田,5,9,0,5,4,7,14,-7,,,,2016,J1,9,2ｓｔ,13.0,28.0,,222.0
15,グラフ,16,アビスパ福岡,5,9,1,2,6,7,16,-9,,,,2016,J1,9,2ｓｔ,18.0,16.0,,401.0
16,グラフ,17,湘南ベルマーレ,3,9,1,0,8,5,18,-13,,,,2016,J1,9,2ｓｔ,17.0,19.0,,147.0
17,グラフ,18,名古屋グランパス,2,9,0,2,7,2,17,-15,,,,2016,J1,9,2ｓｔ,16.0,19.0,,231.0
0,グラフ,1,浦和レッズ,22,9,7,1,1,17,6,11,,,111.0,2016,J1,10,１ｓｔ,,,,
1,グラフ,2,川崎フロンターレ,21,10,6,3,1,20,11,9,,,142.0,2016,J1,10,１ｓｔ,,,,
2,グラフ,3,鹿島アントラーズ,20,10,6,2,2,14,6,8,,,80.0,2016,J1,10,１ｓｔ,,,,
3,グラフ,4,柏レイソル,18,10,5,3,2,14,9,5,,,122.0,2016,J1,10,１ｓｔ,,,,
4,グラフ,5,大宮アルディージャ,18,10,5,3,2,12,11,1,,,112.0,2016,J1,10,１ｓｔ,,,,
5,グラフ,6,ジュビロ磐田,15,10,4,3,3,13,17,-4,,,222.0,2016,J1,10,１ｓｔ,,,,
6,グラフ,7,サンフレッチェ広島,14,9,4,2,3,15,11,4,,,341.0,2016,J1,10,１ｓｔ,,,,
7,グラフ,8,ヴィッセル神戸,14,9,4,2,3,16,13,3,,,281.0,2016,J1,10,１ｓｔ,,,,
8,グラフ,9,横浜Ｆ・マリノス,14,10,4,2,4,14,12,2,,,143.0,2016,J1,10,１ｓｔ,,,,
9,グラフ,10,名古屋グランパス,13,9,4,1,4,15,16,-1,,,231.0,2016,J1,10,１ｓｔ,,,,
10,グラフ,11,ガンバ大阪,12,9,4,0,5,9,9,0,,,271.0,2016,J1,10,１ｓｔ,,,,
11,グラフ,12,ヴァンフォーレ甲府,10,10,2,4,4,11,15,-4,,,151.0,2016,J1,10,１ｓｔ,,,,
12,グラフ,13,ＦＣ東京,10,9,3,1,5,9,13,-4,,,130.0,2016,J1,10,１ｓｔ,,,,
13,グラフ,14,サガン鳥栖,8,9,2,2,5,7,9,-2,,,412.0,2016,J1,10,１ｓｔ,,,,
14,グラフ,15,アルビレックス新潟,8,10,2,2,6,14,20,-6,,,191.0,2016,J1,10,１ｓｔ,,,,
15,グラフ,16,湘南ベルマーレ,8,10,2,2,6,11,19,-8,,,147.0,2016,J1,10,１ｓｔ,,,,
16,グラフ,17,ベガルタ仙台,8,10,2,2,6,9,18,-9,,,41.0,2016,J1,10,１ｓｔ,,,,
17,グラフ,18,アビスパ福岡,6,9,1,3,5,6,11,-5,,,401.0,2016,J1,10,１ｓｔ,,,,
0,グラフ,1,川崎フロンターレ,22,10,7,1,2,22,12,10,,,,2016,J1,10,2ｓｔ,1.0,60.0,,142.0
1,グラフ,2,浦和レッズ,22,10,7,1,2,19,9,10,,,,2016,J1,10,2ｓｔ,2.0,55.0,,111.0
2,グラフ,3,サガン鳥栖,21,10,6,3,1,15,9,6,,,,2016,J1,10,2ｓｔ,10.0,38.0,,412.0
3,グラフ,4,ガンバ大阪,20,10,6,2,2,15,8,7,,,,2016,J1,10,2ｓｔ,5.0,44.0,,271.0
4,グラフ,5,ヴィッセル神戸,19,10,6,1,3,17,10,7,,,,2016,J1,10,2ｓｔ,9.0,39.0,,281.0
5,グラフ,6,柏レイソル,19,10,6,1,3,21,17,4,,,,2016,J1,10,2ｓｔ,6.0,43.0,,122.0
6,グラフ,7,横浜Ｆ・マリノス,17,10,4,5,1,17,10,7,,,,2016,J1,10,2ｓｔ,8.0,39.0,,143.0
7,グラフ,8,サンフレッチェ広島,17,10,5,2,3,18,12,6,,,,2016,J1,10,2ｓｔ,4.0,46.0,,341.0
8,グラフ,9,鹿島アントラーズ,14,10,4,2,4,17,15,2,,,,2016,J1,10,2ｓｔ,3.0,53.0,,80.0
9,グラフ,10,大宮アルディージャ,14,10,3,5,2,11,10,1,,,,2016,J1,10,2ｓｔ,7.0,40.0,,112.0
10,グラフ,11,ＦＣ東京,13,10,4,1,5,11,14,-3,,,,2016,J1,10,2ｓｔ,11.0,36.0,,130.0
11,グラフ,12,ベガルタ仙台,13,10,4,1,5,11,15,-4,,,,2016,J1,10,2ｓｔ,12.0,36.0,,41.0
12,グラフ,13,ヴァンフォーレ甲府,12,10,3,3,4,10,16,-6,,,,2016,J1,10,2ｓｔ,15.0,27.0,,151.0
13,グラフ,14,アルビレックス新潟,9,10,3,0,7,9,11,-2,,,,2016,J1,10,2ｓｔ,14.0,27.0,,191.0
14,グラフ,15,ジュビロ磐田,8,10,1,5,4,10,16,-6,,,,2016,J1,10,2ｓｔ,13.0,31.0,,222.0
15,グラフ,16,アビスパ福岡,5,10,1,2,7,9,19,-10,,,,2016,J1,10,2ｓｔ,18.0,16.0,,401.0
16,グラフ,17,湘南ベルマーレ,3,10,1,0,9,6,20,-14,,,,2016,J1,10,2ｓｔ,17.0,19.0,,147.0
17,グラフ,18,名古屋グランパス,3,10,0,3,7,3,18,-15,,,,2016,J1,10,2ｓｔ,16.0,20.0,,231.0
0,グラフ,1,浦和レッズ,25,10,8,1,1,18,6,12,,,111.0,2016,J1,11,１ｓｔ,,,,
1,グラフ,2,川崎フロンターレ,24,11,7,3,1,23,12,11,,,142.0,2016,J1,11,１ｓｔ,,,,
2,グラフ,3,鹿島アントラーズ,21,11,6,3,2,15,7,8,,,80.0,2016,J1,11,１ｓｔ,,,,
3,グラフ,4,柏レイソル,18,11,5,3,3,15,12,3,,,122.0,2016,J1,11,１ｓｔ,,,,
4,グラフ,5,大宮アルディージャ,18,11,5,3,3,12,12,0,,,112.0,2016,J1,11,１ｓｔ,,,,
5,グラフ,6,サンフレッチェ広島,17,10,5,2,3,18,11,7,,,341.0,2016,J1,11,１ｓｔ,,,,
6,グラフ,7,ヴィッセル神戸,17,10,5,2,3,17,13,4,,,281.0,2016,J1,11,１ｓｔ,,,,
7,グラフ,8,ジュビロ磐田,16,11,4,4,3,14,18,-4,,,222.0,2016,J1,11,１ｓｔ,,,,
8,グラフ,9,横浜Ｆ・マリノス,15,11,4,3,4,16,14,2,,,143.0,2016,J1,11,１ｓｔ,,,,
9,グラフ,10,ガンバ大阪,13,10,4,1,5,9,9,0,,,271.0,2016,J1,11,１ｓｔ,,,,
10,グラフ,11,名古屋グランパス,13,10,4,1,5,15,17,-2,,,231.0,2016,J1,11,１ｓｔ,,,,
11,グラフ,12,ＦＣ東京,13,10,4,1,5,10,13,-3,,,130.0,2016,J1,11,１ｓｔ,,,,
12,グラフ,13,ヴァンフォーレ甲府,11,11,2,5,4,13,17,-4,,,151.0,2016,J1,11,１ｓｔ,,,,
13,グラフ,14,ベガルタ仙台,11,11,3,2,6,11,18,-7,,,41.0,2016,J1,11,１ｓｔ,,,,
14,グラフ,15,アルビレックス新潟,9,11,2,3,6,14,20,-6,,,191.0,2016,J1,11,１ｓｔ,,,,
15,グラフ,16,サガン鳥栖,8,10,2,2,6,7,12,-5,,,412.0,2016,J1,11,１ｓｔ,,,,
16,グラフ,17,湘南ベルマーレ,8,11,2,2,7,11,20,-9,,,147.0,2016,J1,11,１ｓｔ,,,,
17,グラフ,18,アビスパ福岡,6,10,1,3,6,6,13,-7,,,401.0,2016,J1,11,１ｓｔ,,,,
0,グラフ,1,川崎フロンターレ,25,11,8,1,2,25,13,12,,,,2016,J1,11,2ｓｔ,1.0,63.0,,142.0
1,グラフ,2,浦和レッズ,25,11,8,1,2,21,9,12,,,,2016,J1,11,2ｓｔ,2.0,58.0,,111.0
2,グラフ,3,ガンバ大阪,23,11,7,2,2,17,9,8,,,,2016,J1,11,2ｓｔ,4.0,47.0,,271.0
3,グラフ,4,ヴィッセル神戸,22,11,7,1,3,21,13,8,,,,2016,J1,11,2ｓｔ,9.0,42.0,,281.0
4,グラフ,5,柏レイソル,22,11,7,1,3,23,17,6,,,,2016,J1,11,2ｓｔ,6.0,46.0,,122.0
5,グラフ,6,サガン鳥栖,21,11,6,3,2,15,11,4,,,,2016,J1,11,2ｓｔ,11.0,38.0,,412.0
6,グラフ,7,横浜Ｆ・マリノス,20,11,5,5,1,18,10,8,,,,2016,J1,11,2ｓｔ,8.0,42.0,,143.0
7,グラフ,8,サンフレッチェ広島,17,11,5,2,4,18,13,5,,,,2016,J1,11,2ｓｔ,5.0,46.0,,341.0
8,グラフ,9,大宮アルディージャ,17,11,4,5,2,12,10,2,,,,2016,J1,11,2ｓｔ,7.0,43.0,,112.0
9,グラフ,10,ＦＣ東京,16,11,5,1,5,14,14,0,,,,2016,J1,11,2ｓｔ,10.0,39.0,,130.0
10,グラフ,11,鹿島アントラーズ,14,11,4,2,5,17,17,0,,,,2016,J1,11,2ｓｔ,3.0,53.0,,80.0
11,グラフ,12,ベガルタ仙台,13,11,4,1,6,11,16,-5,,,,2016,J1,11,2ｓｔ,12.0,36.0,,41.0
12,グラフ,13,ヴァンフォーレ甲府,12,11,3,3,5,11,18,-7,,,,2016,J1,11,2ｓｔ,15.0,27.0,,151.0
13,グラフ,14,アルビレックス新潟,9,11,3,0,8,9,12,-3,,,,2016,J1,11,2ｓｔ,14.0,27.0,,191.0
14,グラフ,15,ジュビロ磐田,8,11,1,5,5,13,20,-7,,,,2016,J1,11,2ｓｔ,13.0,31.0,,222.0
15,グラフ,16,名古屋グランパス,6,11,1,3,7,4,18,-14,,,,2016,J1,11,2ｓｔ,16.0,23.0,,231.0
16,グラフ,17,アビスパ福岡,5,11,1,2,8,10,22,-12,,,,2016,J1,11,2ｓｔ,18.0,16.0,,401.0
17,グラフ,18,湘南ベルマーレ,3,11,1,0,10,6,23,-17,,,,2016,J1,11,2ｓｔ,17.0,19.0,,147.0
0,グラフ,1,川崎フロンターレ,27,12,8,3,1,26,13,13,,,142.0,2016,J1,12,１ｓｔ,,,,
1,グラフ,2,浦和レッズ,26,11,8,2,1,18,6,12,,,111.0,2016,J1,12,１ｓｔ,,,,
2,グラフ,3,鹿島アントラーズ,24,12,7,3,2,16,7,9,,,80.0,2016,J1,12,１ｓｔ,,,,
3,グラフ,4,大宮アルディージャ,21,12,6,3,3,13,12,1,,,112.0,2016,J1,12,１ｓｔ,,,,
4,グラフ,5,柏レイソル,19,12,5,4,3,15,12,3,,,122.0,2016,J1,12,１ｓｔ,,,,
5,グラフ,6,サンフレッチェ広島,18,11,5,3,3,18,11,7,,,341.0,2016,J1,12,１ｓｔ,,,,
6,グラフ,7,ヴィッセル神戸,17,11,5,2,4,18,16,2,,,281.0,2016,J1,12,１ｓｔ,,,,
7,グラフ,8,ガンバ大阪,16,11,5,1,5,11,10,1,,,271.0,2016,J1,12,１ｓｔ,,,,
8,グラフ,9,ジュビロ磐田,16,12,4,4,4,15,20,-5,,,222.0,2016,J1,12,１ｓｔ,,,,
9,グラフ,10,横浜Ｆ・マリノス,15,12,4,3,5,16,15,1,,,143.0,2016,J1,12,１ｓｔ,,,,
10,グラフ,11,名古屋グランパス,14,11,4,2,5,17,19,-2,,,231.0,2016,J1,12,１ｓｔ,,,,
11,グラフ,12,ＦＣ東京,14,11,4,2,5,10,13,-3,,,130.0,2016,J1,12,１ｓｔ,,,,
12,グラフ,13,ヴァンフォーレ甲府,12,12,2,6,4,15,19,-4,,,151.0,2016,J1,12,１ｓｔ,,,,
13,グラフ,14,ベガルタ仙台,11,12,3,2,7,11,19,-8,,,41.0,2016,J1,12,１ｓｔ,,,,
14,グラフ,15,アルビレックス新潟,10,12,2,4,6,14,20,-6,,,191.0,2016,J1,12,１ｓｔ,,,,
15,グラフ,16,サガン鳥栖,9,11,2,3,6,7,12,-5,,,412.0,2016,J1,12,１ｓｔ,,,,
16,グラフ,17,アビスパ福岡,9,11,2,3,6,7,13,-6,,,401.0,2016,J1,12,１ｓｔ,,,,
17,グラフ,18,湘南ベルマーレ,8,12,2,2,8,11,21,-10,,,147.0,2016,J1,12,１ｓｔ,,,,
0,グラフ,1,浦和レッズ,28,12,9,1,2,24,10,14,,,,2016,J1,12,2ｓｔ,2.0,61.0,,111.0
1,グラフ,2,ガンバ大阪,26,12,8,2,2,20,10,10,,,,2016,J1,12,2ｓｔ,4.0,50.0,,271.0
2,グラフ,3,川崎フロンターレ,25,12,8,1,3,27,16,11,,,,2016,J1,12,2ｓｔ,1.0,63.0,,142.0
3,グラフ,4,横浜Ｆ・マリノス,23,12,6,5,1,21,11,10,,,,2016,J1,12,2ｓｔ,8.0,45.0,,143.0
4,グラフ,5,ヴィッセル神戸,23,12,7,2,3,22,14,8,,,,2016,J1,12,2ｓｔ,9.0,43.0,,281.0
5,グラフ,6,柏レイソル,23,12,7,2,3,24,18,6,,,,2016,J1,12,2ｓｔ,6.0,47.0,,122.0
6,グラフ,7,サガン鳥栖,21,12,6,3,3,17,14,3,,,,2016,J1,12,2ｓｔ,11.0,38.0,,412.0
7,グラフ,8,サンフレッチェ広島,20,12,6,2,4,21,15,6,,,,2016,J1,12,2ｓｔ,5.0,49.0,,341.0
8,グラフ,9,大宮アルディージャ,20,12,5,5,2,15,12,3,,,,2016,J1,12,2ｓｔ,7.0,46.0,,112.0
9,グラフ,10,鹿島アントラーズ,17,12,5,2,5,20,17,3,,,,2016,J1,12,2ｓｔ,3.0,56.0,,80.0
10,グラフ,11,ＦＣ東京,16,12,5,1,6,15,17,-2,,,,2016,J1,12,2ｓｔ,10.0,39.0,,130.0
11,グラフ,12,ベガルタ仙台,14,12,4,2,6,12,17,-5,,,,2016,J1,12,2ｓｔ,12.0,37.0,,41.0
12,グラフ,13,ヴァンフォーレ甲府,13,12,3,4,5,12,19,-7,,,,2016,J1,12,2ｓｔ,14.0,28.0,,151.0
13,グラフ,14,アルビレックス新潟,9,12,3,0,9,10,15,-5,,,,2016,J1,12,2ｓｔ,15.0,27.0,,191.0
14,グラフ,15,ジュビロ磐田,8,12,1,5,6,13,23,-10,,,,2016,J1,12,2ｓｔ,13.0,31.0,,222.0
15,グラフ,16,アビスパ福岡,8,12,2,2,8,12,22,-10,,,,2016,J1,12,2ｓｔ,17.0,19.0,,401.0
16,グラフ,17,名古屋グランパス,6,12,1,3,8,5,21,-16,,,,2016,J1,12,2ｓｔ,16.0,23.0,,231.0
17,グラフ,18,湘南ベルマーレ,3,12,1,0,11,6,25,-19,,,,2016,J1,12,2ｓｔ,18.0,19.0,,147.0
0,グラフ,1,川崎フロンターレ,28,13,8,4,1,26,13,13,,,142.0,2016,J1,13,１ｓｔ,,,,
1,グラフ,2,鹿島アントラーズ,27,13,8,3,2,19,9,10,,,80.0,2016,J1,13,１ｓｔ,,,,
2,グラフ,3,浦和レッズ,26,11,8,2,1,18,6,12,,,111.0,2016,J1,13,１ｓｔ,,,,
3,グラフ,4,大宮アルディージャ,24,13,7,3,3,14,12,2,,,112.0,2016,J1,13,１ｓｔ,,,,
4,グラフ,5,柏レイソル,22,13,6,4,3,18,14,4,,,122.0,2016,J1,13,１ｓｔ,,,,
5,グラフ,6,ガンバ大阪,19,12,6,1,5,14,11,3,,,271.0,2016,J1,13,１ｓｔ,,,,
6,グラフ,7,ジュビロ磐田,19,13,5,4,4,18,21,-3,,,222.0,2016,J1,13,１ｓｔ,,,,
7,グラフ,8,サンフレッチェ広島,18,12,5,3,4,19,14,5,,,341.0,2016,J1,13,１ｓｔ,,,,
8,グラフ,9,横浜Ｆ・マリノス,18,13,5,3,5,17,15,2,,,143.0,2016,J1,13,１ｓｔ,,,,
9,グラフ,10,ヴィッセル神戸,17,12,5,2,5,18,17,1,,,281.0,2016,J1,13,１ｓｔ,,,,
10,グラフ,11,名古屋グランパス,14,12,4,2,6,19,22,-3,,,231.0,2016,J1,13,１ｓｔ,,,,
11,グラフ,12,ＦＣ東京,14,11,4,2,5,10,13,-3,,,130.0,2016,J1,13,１ｓｔ,,,,
12,グラフ,13,ベガルタ仙台,14,13,4,2,7,12,19,-7,,,41.0,2016,J1,13,１ｓｔ,,,,
13,グラフ,14,ヴァンフォーレ甲府,12,13,2,6,5,16,22,-6,,,151.0,2016,J1,13,１ｓｔ,,,,
14,グラフ,15,アルビレックス新潟,11,13,2,5,6,14,20,-6,,,191.0,2016,J1,13,１ｓｔ,,,,
15,グラフ,16,サガン鳥栖,9,12,2,3,7,7,13,-6,,,412.0,2016,J1,13,１ｓｔ,,,,
16,グラフ,17,アビスパ福岡,9,12,2,3,7,9,16,-7,,,401.0,2016,J1,13,１ｓｔ,,,,
17,グラフ,18,湘南ベルマーレ,8,13,2,2,9,11,22,-11,,,147.0,2016,J1,13,１ｓｔ,,,,
0,グラフ,1,浦和レッズ,31,13,10,1,2,27,10,17,,,,2016,J1,13,2ｓｔ,2.0,64.0,,111.0
1,グラフ,2,川崎フロンターレ,28,13,9,1,3,30,18,12,,,,2016,J1,13,2ｓｔ,1.0,66.0,,142.0
2,グラフ,3,ガンバ大阪,27,13,8,3,2,23,13,10,,,,2016,J1,13,2ｓｔ,4.0,51.0,,271.0
3,グラフ,4,ヴィッセル神戸,26,13,8,2,3,26,15,11,,,,2016,J1,13,2ｓｔ,8.0,46.0,,281.0
