,年月日,節,大会,H_Team,スコア,A_Team,スタジアム
11184,20030907,４,Ｊ１ ２ｎｄ,大分,0-0,Ｆ東京,大分ス
11185,20030914,0,サテライトリーグ Ａグループ,Ｆ東京,1-0,東京Ｖ,アミノ
11186,20030923,７,Ｊ１ ２ｎｄ,Ｆ東京,1-2,磐田,味スタ
11187,20030927,８,Ｊ１ ２ｎｄ,京都,1-1,Ｆ東京,西京極
11188,20031025,１１,Ｊ１ ２ｎｄ,清水,1-3,Ｆ東京,日本平
11189,20031109,１２,Ｊ１ ２ｎｄ,Ｆ東京,4-1,神戸,味スタ
11190,20031115,１３,Ｊ１ ２ｎｄ,Ｇ大阪,1-0,Ｆ東京,万博
11191,20031122,１４,Ｊ１ ２ｎｄ,Ｆ東京,1-1,東京Ｖ,味スタ
11192,20040313,１,Ｊ１ １ｓｔ,Ｆ東京,1-0,新潟,味スタ
11193,20040320,２,Ｊ１ １ｓｔ,大分,2-1,Ｆ東京,大分ス
11194,20040403,３,Ｊ１ １ｓｔ,Ｆ東京,3-2,東京Ｖ,味スタ
11195,20040411,４,Ｊ１ １ｓｔ,清水,0-0,Ｆ東京,日本平
11196,20040414,５,Ｊ１ １ｓｔ,Ｆ東京,1-1,Ｃ大阪,味スタ
11197,20040417,６,Ｊ１ １ｓｔ,磐田,2-0,Ｆ東京,ヤマハ
11198,20040502,７,Ｊ１ １ｓｔ,Ｆ東京,0-2,横浜FM,味スタ
11199,20040505,８,Ｊ１ １ｓｔ,神戸,1-2,Ｆ東京,神戸ユ
11200,20040516,１０,Ｊ１ １ｓｔ,Ｆ東京,1-1,広島,味スタ
11201,20040530,0,サテライトリーグ Ｂグループ,新潟,2-3,Ｆ東京,新潟陸
11202,20040605,４,ＹＮＣ 予選Ｄグループ,Ｆ東京,2-1,神戸,国立
11203,20040612,１２,Ｊ１ １ｓｔ,Ｆ東京,2-1,Ｇ大阪,味スタ
