,年月日,キックオフ時刻,スタジアム,入場者数,天候,気温,湿度,H_team,H_監督,A_team,A_監督,H_ポジション1,H_選手1,H_ポジション2,H_選手2,H_ポジション3,H_選手3,H_ポジション4,H_選手4,H_ポジション5,H_選手5,H_ポジション6,H_選手6,H_ポジション7,H_選手7,H_ポジション8,H_選手8,H_ポジション9,H_選手9,H_ポジション10,H_選手10,H_ポジション11,H_選手11,A_ポジション1,A_選手1,A_ポジション2,A_選手2,A_ポジション3,A_選手3,A_ポジション4,A_選手4,A_ポジション5,A_選手5,A_ポジション6,A_選手6,A_ポジション7,A_選手7,A_ポジション8,A_選手8,A_ポジション9,A_選手9,A_ポジション10,A_選手10,A_ポジション11,A_選手11,url
20961,20180831,19:03,トランスコスモススタジアム長崎,"11,557  人",晴,27.3,85,Ｖ・ファーレン長崎,高木　琢也,湘南ベルマーレ,曺　貴裁,GK,徳重　健太,DF,徳永　悠平,DF,髙杉　亮太,DF,田上　大地,MF,飯尾　竜太朗,MF,前田　悠佑,MF,島田　譲,MF,大本　祐槻,MF,鈴木　武蔵,MF,中村　慶太,FW,平松　宗,GK,秋元　陽太,DF,山根　視来,DF,坂　圭祐,DF,大野　和成,MF,岡本　拓也,MF,齊藤　未月,MF,秋野　央樹,MF,石原　広教,FW,小川　慶治朗,FW,山﨑　凌吾,FW,梅崎　司,https://data.j-league.or.jp/SFMS02/?match_card_id=20961
20962,20180901,14:04,札幌ドーム,"32,475  人",屋内,23.4,64,北海道コンサドーレ札幌,ペトロヴィッチ,ヴィッセル神戸,吉田　孝行,GK,ク　ソンユン,DF,進藤　亮佑,DF,キム　ミンテ,DF,福森　晃斗,MF,宮澤　裕樹,MF,深井　一希,MF,駒井　善成,FW,早坂　良太,FW,チャナティップ,FW,菅　大輝,FW,都倉　賢,GK,キム　スンギュ,DF,三原　雅俊,DF,大﨑　玲央,DF,渡部　博文,DF,アフメド　ヤセル,MF,三田　啓貴,MF,藤田　直之,MF,アンドレス　イニエスタ,FW,郷家　友太,FW,ルーカス　ポドルスキ,FW,長沢　駿,https://data.j-league.or.jp/SFMS02/?match_card_id=20962
20963,20180901,19:03,ユアテックスタジアム仙台,"14,293  人",曇,23.7,88,ベガルタ仙台,渡邉　晋,清水エスパルス,ヤン　ヨンソン,GK,シュミット　ダニエル,DF,平岡　康裕,DF,大岩　一貴,DF,椎橋　慧也,MF,富田　晋伍,MF,奥埜　博亮,MF,蜂須賀　孝治,MF,関口　訓充,FW,野津田　岳人,FW,阿部　拓馬,FW,石原　直樹,GK,六反　勇治,DF,飯田　貴敬,DF,ファン　ソッコ,DF,フレイレ,DF,松原　后,MF,白崎　凌兵,MF,河井　陽介,MF,金子　翔太,MF,ミッチェル　デューク,FW,長谷川　悠,FW,ドウグラス,https://data.j-league.or.jp/SFMS02/?match_card_id=20963
20964,20180901,19:30,埼玉スタジアム２００２,"27,337  人",雨一時雷,24.8,75,浦和レッズ,大槻　毅,セレッソ大阪,尹　晶煥,GK,西川　周作,DF,岩波　拓也,DF,マウリシオ,DF,槙野　智章,MF,橋岡　大樹,MF,柏木　陽介,MF,青木　拓矢,MF,宇賀神　友弥,MF,武藤　雄樹,FW,ファブリシオ,FW,興梠　慎三,GK,キム　ジンヒョン,DF,松田　陸,DF,木本　恭生,DF,片山　瑛一,DF,マテイ　ヨニッチ,DF,山下　達也,MF,清武　弘嗣,MF,ソウザ,MF,オスマル,FW,柿谷　曜一朗,FW,杉本　健勇,https://data.j-league.or.jp/SFMS02/?match_card_id=20964
20965,20180902,19:03,味の素スタジアム,"30,867  人",曇,24.2,84,ＦＣ東京,長谷川　健太,サガン鳥栖,マッシモ　フィッカデンティ,GK,林　彰洋,DF,室屋　成,DF,チャン　ヒョンス,DF,森重　真人,DF,太田　宏介,MF,東　慶悟,MF,橋本　拳人,MF,髙萩　洋次郎,MF,大森　晃太郎,FW,ディエゴ　オリヴェイラ,FW,永井　謙佑,GK,権田　修一,DF,藤田　優人,DF,高橋　祐治,DF,ジョアン　オマリ,DF,三丸　拡,MF,高橋　秀人,MF,高橋　義希,MF,福田　晃斗,FW,小野　裕二,FW,金崎　夢生,FW,フェルナンド　トーレス,https://data.j-league.or.jp/SFMS02/?match_card_id=20965
20966,20180901,18:33,日産スタジアム,"22,752  人",曇,26.5,70,横浜Ｆ・マリノス,アンジェ　ポステコグルー,柏レイソル,加藤　望,GK,飯倉　大樹,DF,チアゴ　マルチンス,DF,扇原　貴宏,DF,畠中　槙之輔,MF,松原　健,MF,喜田　拓也,MF,天野　純,MF,山中　亮輔,FW,仲川　輝人,FW,伊藤　翔,FW,オリヴィエ　ブマル,GK,桐畑　和繁,DF,小池　龍太,DF,ナタン　ヒベイロ,DF,パク　ジョンス,DF,高木　利弥,MF,小泉　慶,MF,手塚　康平,MF,瀬川　祐輔,FW,伊東　純也,FW,江坂　任,FW,クリスティアーノ,https://data.j-league.or.jp/SFMS02/?match_card_id=20966
20967,20180901,19:03,ヤマハスタジアム（磐田）,"13,647  人",晴,26.3,77,ジュビロ磐田,名波　浩,名古屋グランパス,風間　八宏,GK,カミンスキー,DF,大井　健太郎,DF,小川　大貴,DF,藤田　義明,DF,高橋　祥平,MF,田口　泰士,MF,松浦　拓弥,MF,松本　昌也,MF,山田　大記,FW,川又　堅碁,FW,大久保　嘉人,GK,ランゲラック,DF,宮原　和也,DF,中谷　進之介,DF,丸山　祐市,DF,金井　貢史,MF,前田　直輝,MF,小林　裕紀,MF,エドゥアルド　ネット,MF,玉田　圭司,FW,ジョー,FW,ガブリエル　シャビエル,https://data.j-league.or.jp/SFMS02/?match_card_id=20967
20968,20180901,19:03,パナソニック スタジアム 吹田,"19,683  人",曇,25.7,57,ガンバ大阪,宮本　恒靖,川崎フロンターレ,鬼木　達,GK,東口　順昭,DF,ファビオ,DF,藤春　廣輝,DF,三浦　弦太,DF,菅沼　駿哉,DF,オ　ジェソク,MF,遠藤　保仁,MF,倉田　秋,MF,今野　泰幸,MF,小野瀬　康介,FW,渡邉　千真,GK,チョン　ソンリョン,DF,エウシーニョ,DF,谷口　彰悟,DF,車屋　紳太郎,DF,登里　享平,MF,守田　英正,MF,大島　僚太,MF,中村　憲剛,MF,家長　昭博,MF,阿部　浩之,FW,小林　悠,https://data.j-league.or.jp/SFMS02/?match_card_id=20968
20969,20180901,19:03,エディオンスタジアム広島,"13,107  人",曇,24.9,85,サンフレッチェ広島,城福　浩,鹿島アントラーズ,大岩　剛,GK,林　卓人,DF,和田　拓也,DF,野上　結貴,DF,水本　裕貴,DF,佐々木　翔,MF,柴﨑　晃誠,MF,青山　敏弘,MF,稲垣　祥,MF,柏　好文,FW,パトリック,FW,渡　大生,GK,クォン　スンテ,DF,西　大伍,DF,チョン　スンヒョン,DF,犬飼　智也,DF,山本　脩斗,MF,三竿　健斗,MF,レオ　シルバ,MF,遠藤　康,MF,安西　幸輝,FW,セルジーニョ,FW,鈴木　優磨,https://data.j-league.or.jp/SFMS02/?match_card_id=20969
20970,20180914,19:03,キンチョウスタジアム,"13,112  人",曇時々雨,24.3,85,セレッソ大阪,尹　晶煥,ジュビロ磐田,名波　浩,GK,キム　ジンヒョン,DF,松田　陸,DF,丸橋　祐介,DF,木本　恭生,DF,マテイ　ヨニッチ,MF,山口　蛍,MF,ソウザ,MF,山村　和也,MF,オスマル,FW,柿谷　曜一朗,FW,高木　俊幸,GK,カミンスキー,DF,大井　健太郎,DF,櫻内　渚,DF,森下　俊,DF,高橋　祥平,MF,田口　泰士,MF,中村　俊輔,MF,宮崎　智彦,MF,山田　大記,FW,小川　航基,FW,大久保　嘉人,https://data.j-league.or.jp/SFMS02/?match_card_id=20970
20971,20180915,14:04,ユアテックスタジアム仙台,"17,887  人",曇のち晴,25.5,63,ベガルタ仙台,渡邉　晋,ＦＣ東京,長谷川　健太,GK,シュミット　ダニエル,DF,平岡　康裕,DF,大岩　一貴,DF,板倉　滉,MF,富田　晋伍,MF,奥埜　博亮,MF,蜂須賀　孝治,MF,関口　訓充,FW,野津田　岳人,FW,阿部　拓馬,FW,石原　直樹,GK,林　彰洋,DF,室屋　成,DF,チャン　ヒョンス,DF,森重　真人,DF,太田　宏介,MF,大森　晃太郎,MF,髙萩　洋次郎,MF,橋本　拳人,MF,東　慶悟,FW,ディエゴ　オリヴェイラ,FW,永井　謙佑,https://data.j-league.or.jp/SFMS02/?match_card_id=20971
20972,20180916,16:03,日産スタジアム,"41,686  人",晴,24.9,69,横浜Ｆ・マリノス,アンジェ　ポステコグルー,浦和レッズ,大槻　毅,GK,飯倉　大樹,DF,イッペイ　シノヅカ,DF,チアゴ　マルチンス,DF,ドゥシャン,DF,山中　亮輔,MF,扇原　貴宏,MF,大津　祐樹,MF,天野　純,FW,仲川　輝人,FW,伊藤　翔,FW,遠藤　渓太,GK,西川　周作,DF,岩波　拓也,DF,マウリシオ,DF,槙野　智章,MF,橋岡　大樹,MF,長澤　和輝,MF,青木　拓矢,MF,宇賀神　友弥,MF,武藤　雄樹,MF,マルティノス,FW,興梠　慎三,https://data.j-league.or.jp/SFMS02/?match_card_id=20972
20973,20180915,18:04,パロマ瑞穂スタジアム,"18,477  人",曇時々雨,24.1,83,名古屋グランパス,風間　八宏,Ｖ・ファーレン長崎,高木　琢也,GK,ランゲラック,DF,宮原　和也,DF,中谷　進之介,DF,丸山　祐市,DF,金井　貢史,MF,玉田　圭司,MF,小林　裕紀,MF,エドゥアルド　ネット,MF,児玉　駿斗,FW,ジョー,FW,前田　直輝,GK,徳重　健太,DF,徳永　悠平,DF,髙杉　亮太,DF,田上　大地,MF,黒木　聖仁,MF,島田　譲,MF,飯尾　竜太朗,MF,翁長　聖,MF,中村　慶太,MF,澤田　崇,FW,鈴木　武蔵,https://data.j-league.or.jp/SFMS02/?match_card_id=20973
20974,20180915,19:03,ノエビアスタジアム神戸,"25,485  人",曇,26.0,79,ヴィッセル神戸,吉田　孝行,ガンバ大阪,宮本　恒靖,GK,キム　スンギュ,DF,藤谷　壮,DF,大﨑　玲央,DF,アフメド　ヤセル,DF,ティーラトン,MF,藤田　直之,MF,三田　啓貴,MF,アンドレス　イニエスタ,FW,大槻　周平,FW,ウェリントン,FW,古橋　亨梧,GK,東口　順昭,DF,ファビオ,DF,藤春　廣輝,DF,三浦　弦太,MF,遠藤　保仁,MF,倉田　秋,MF,今野　泰幸,MF,髙江　麗央,MF,小野瀬　康介,FW,ファン　ウィジョ,FW,渡邉　千真,https://data.j-league.or.jp/SFMS02/?match_card_id=20974
20975,20180915,17:03,ベストアメニティスタジアム,"15,899  人",晴,28.7,72,サガン鳥栖,マッシモ　フィッカデンティ,サンフレッチェ広島,城福　浩,GK,権田　修一,DF,藤田　優人,DF,高橋　祐治,DF,ジョアン　オマリ,DF,三丸　拡,MF,高橋　秀人,MF,原川　力,MF,福田　晃斗,MF,高橋　義希,FW,フェルナンド　トーレス,FW,金崎　夢生,GK,林　卓人,DF,和田　拓也,DF,野上　結貴,DF,水本　裕貴,DF,佐々木　翔,MF,柴﨑　晃誠,MF,青山　敏弘,MF,稲垣　祥,MF,柏　好文,FW,パトリック,FW,渡　大生,https://data.j-league.or.jp/SFMS02/?match_card_id=20975
20976,20180914,19:03,県立カシマサッカースタジアム,"10,728  人",曇,22.5,85,鹿島アントラーズ,大岩　剛,湘南ベルマーレ,曺　貴裁,GK,クォン　スンテ,DF,西　大伍,DF,チョン　スンヒョン,DF,町田　浩樹,DF,安西　幸輝,MF,三竿　健斗,MF,永木　亮太,MF,遠藤　康,MF,安部　裕葵,FW,土居　聖真,FW,セルジーニョ,GK,秋元　陽太,DF,山根　視来,DF,坂　圭祐,DF,大野　和成,MF,岡本　拓也,MF,金子　大毅,MF,石川　俊輝,MF,石原　広教,FW,松田　天馬,FW,鈴木　国友,FW,小川　慶治朗,https://data.j-league.or.jp/SFMS02/?match_card_id=20976
20977,20180915,19:03,三協フロンテア柏スタジアム,"11,105  人",雨のち曇,22.3,82,柏レイソル,加藤　望,清水エスパルス,ヤン　ヨンソン,GK,桐畑　和繁,DF,亀川　諒史,DF,鈴木　大輔,DF,中川　創,DF,高木　利弥,MF,伊東　純也,MF,小泉　慶,MF,手塚　康平,MF,中川　寛斗,FW,クリスティアーノ,FW,瀬川　祐輔,GK,六反　勇治,DF,立田　悠悟,DF,フレイレ,DF,角田　誠,DF,松原　后,MF,竹内　涼,MF,河井　陽介,MF,金子　翔太,MF,白崎　凌兵,FW,クリスラン,FW,北川　航也,https://data.j-league.or.jp/SFMS02/?match_card_id=20977
20978,20180915,19:03,等々力陸上競技場,"22,522  人",曇,23.5,86,川崎フロンターレ,鬼木　達,北海道コンサドーレ札幌,ペトロヴィッチ,GK,チョン　ソンリョン,DF,エウシーニョ,DF,奈良　竜樹,DF,谷口　彰悟,DF,車屋　紳太郎,MF,下田　北斗,MF,大島　僚太,MF,中村　憲剛,MF,家長　昭博,MF,阿部　浩之,FW,小林　悠,GK,ク　ソンユン,DF,進藤　亮佑,DF,キム　ミンテ,DF,福森　晃斗,MF,早坂　良太,MF,宮澤　裕樹,MF,深井　一希,MF,菅　大輝,MF,荒野　拓馬,MF,チャナティップ,FW,都倉　賢,https://data.j-league.or.jp/SFMS02/?match_card_id=20978
20979,20180921,19:33,ＩＡＩスタジアム日本平,"14,790  人",晴,22.0,81,清水エスパルス,ヤン　ヨンソン,ガンバ大阪,宮本　恒靖,GK,六反　勇治,DF,立田　悠悟,DF,フレイレ,DF,角田　誠,DF,松原　后,MF,竹内　涼,MF,河井　陽介,MF,金子　翔太,MF,白崎　凌兵,FW,北川　航也,FW,ドウグラス,GK,東口　順昭,DF,ファビオ,DF,藤春　廣輝,DF,三浦　弦太,DF,オ　ジェソク,MF,遠藤　保仁,MF,倉田　秋,MF,今野　泰幸,MF,小野瀬　康介,FW,ファン　ウィジョ,FW,渡邉　千真,https://data.j-league.or.jp/SFMS02/?match_card_id=20979
20980,20180923,19:03,札幌ドーム,"21,074  人",屋内,25.4,54,北海道コンサドーレ札幌,ペトロヴィッチ,鹿島アントラーズ,大岩　剛,GK,ク　ソンユン,DF,進藤　亮佑,DF,石川　直樹,DF,福森　晃斗,MF,白井　康介,MF,宮澤　裕樹,MF,深井　一希,MF,菅　大輝,MF,都倉　賢,MF,チャナティップ,FW,ジェイ,GK,クォン　スンテ,DF,西　大伍,DF,チョン　スンヒョン,DF,犬飼　智也,DF,山本　脩斗,MF,永木　亮太,MF,レオ　シルバ,MF,遠藤　康,MF,安西　幸輝,FW,土居　聖真,FW,鈴木　優磨,https://data.j-league.or.jp/SFMS02/?match_card_id=20980
20981,20180923,18:04,埼玉スタジアム２００２,"55,689  人",晴,25.2,58,浦和レッズ,オズワルド　オリヴェイラ,ヴィッセル神戸,林　健太郎,GK,西川　周作,DF,岩波　拓也,DF,マウリシオ,DF,槙野　智章,MF,橋岡　大樹,MF,長澤　和輝,MF,青木　拓矢,MF,宇賀神　友弥,MF,柏木　陽介,MF,武藤　雄樹,FW,興梠　慎三,GK,キム　スンギュ,DF,高橋　峻希,DF,大﨑　玲央,DF,渡部　博文,DF,橋本　和,MF,藤田　直之,MF,三田　啓貴,MF,ルーカス　ポドルスキ,FW,郷家　友太,FW,ウェリントン,FW,長沢　駿,https://data.j-league.or.jp/SFMS02/?match_card_id=20981
20982,20180922,15:03,三協フロンテア柏スタジアム,"12,922  人",曇のち晴,27.8,56,柏レイソル,加藤　望,サガン鳥栖,マッシモ　フィッカデンティ,GK,桐畑　和繁,DF,小池　龍太,DF,鈴木　大輔,DF,パク　ジョンス,DF,高木　利弥,MF,伊東　純也,MF,小泉　慶,MF,大谷　秀和,FW,クリスティアーノ,FW,瀬川　祐輔,FW,オルンガ,GK,権田　修一,DF,藤田　優人,DF,高橋　祐治,DF,ジョアン　オマリ,DF,三丸　拡,MF,高橋　秀人,MF,高橋　義希,MF,福田　晃斗,FW,小野　裕二,FW,フェルナンド　トーレス,FW,金崎　夢生,https://data.j-league.or.jp/SFMS02/?match_card_id=20982
20983,20180922,19:03,等々力陸上競技場,"23,790  人",晴,24.5,84,川崎フロンターレ,鬼木　達,名古屋グランパス,風間　八宏,GK,チョン　ソンリョン,DF,エウシーニョ,DF,奈良　竜樹,DF,谷口　彰悟,DF,車屋　紳太郎,MF,下田　北斗,MF,大島　僚太,MF,中村　憲剛,MF,家長　昭博,MF,阿部　浩之,FW,小林　悠,GK,ランゲラック,DF,宮原　和也,DF,中谷　進之介,DF,丸山　祐市,DF,金井　貢史,MF,前田　直輝,MF,小林　裕紀,MF,エドゥアルド　ネット,MF,和泉　竜司,FW,ジョー,FW,玉田　圭司,https://data.j-league.or.jp/SFMS02/?match_card_id=20983
20984,20180922,19:03,Ｓｈｏｎａｎ ＢＭＷ スタジアム平塚,"12,173  人",晴,24.3,90,湘南ベルマーレ,曺　貴裁,セレッソ大阪,尹　晶煥,GK,秋元　陽太,DF,山根　視来,DF,坂　圭祐,DF,大野　和成,MF,岡本　拓也,MF,齊藤　未月,MF,秋野　央樹,MF,杉岡　大暉,FW,小川　慶治朗,FW,イ　ジョンヒョプ,FW,梅崎　司,GK,キム　ジンヒョン,DF,松田　陸,DF,丸橋　祐介,DF,木本　恭生,DF,マテイ　ヨニッチ,MF,山口　蛍,MF,清武　弘嗣,MF,ソウザ,MF,山村　和也,MF,オスマル,FW,杉本　健勇,https://data.j-league.or.jp/SFMS02/?match_card_id=20984
20985,20180922,16:03,ヤマハスタジアム（磐田）,"13,451  人",晴,29.1,53,ジュビロ磐田,名波　浩,横浜Ｆ・マリノス,アンジェ　ポステコグルー,GK,カミンスキー,DF,大井　健太郎,DF,櫻内　渚,DF,森下　俊,DF,高橋　祥平,MF,田口　泰士,MF,中村　俊輔,MF,宮崎　智彦,MF,山田　大記,FW,小川　航基,FW,大久保　嘉人,GK,飯倉　大樹,DF,松原　健,DF,ドゥシャン,DF,チアゴ　マルチンス,DF,山中　亮輔,MF,扇原　貴宏,MF,大津　祐樹,MF,天野　純,FW,仲川　輝人,FW,伊藤　翔,FW,遠藤　渓太,https://data.j-league.or.jp/SFMS02/?match_card_id=20985
20986,20180922,19:03,エディオンスタジアム広島,"19,031  人",晴,23.9,78,サンフレッチェ広島,城福　浩,ＦＣ東京,長谷川　健太,GK,林　卓人,DF,和田　拓也,DF,野上　結貴,DF,水本　裕貴,DF,佐々木　翔,MF,柴﨑　晃誠,MF,青山　敏弘,MF,稲垣　祥,MF,柏　好文,FW,パトリック,FW,工藤　壮人,GK,林　彰洋,DF,小川　諒也,DF,チャン　ヒョンス,DF,森重　真人,DF,太田　宏介,MF,東　慶悟,MF,橋本　拳人,MF,髙萩　洋次郎,MF,田邉　草民,FW,ディエゴ　オリヴェイラ,FW,リンス,https://data.j-league.or.jp/SFMS02/?match_card_id=20986
20987,20180922,18:03,トランスコスモススタジアム長崎,"9,990  人",晴,26.4,76,Ｖ・ファーレン長崎,高木　琢也,ベガルタ仙台,渡邉　晋,GK,徳重　健太,DF,田上　大地,DF,ヨルディ　バイス,DF,髙杉　亮太,MF,黒木　聖仁,MF,島田　譲,MF,飯尾　竜太朗,MF,翁長　聖,MF,澤田　崇,MF,中村　慶太,FW,鈴木　武蔵,GK,シュミット　ダニエル,DF,平岡　康裕,DF,大岩　一貴,DF,板倉　滉,MF,富田　晋伍,MF,奥埜　博亮,MF,蜂須賀　孝治,MF,関口　訓充,FW,野津田　岳人,FW,阿部　拓馬,FW,石原　直樹,https://data.j-league.or.jp/SFMS02/?match_card_id=20987
20988,20180929,13:03,札幌ドーム,"16,195  人",屋内,24.4,47,北海道コンサドーレ札幌,ペトロヴィッチ,サガン鳥栖,マッシモ　フィッカデンティ,GK,ク　ソンユン,DF,進藤　亮佑,DF,宮澤　裕樹,DF,福森　晃斗,MF,早坂　良太,MF,荒野　拓馬,MF,深井　一希,MF,菅　大輝,MF,三好　康児,MF,駒井　善成,FW,ジェイ,GK,権田　修一,DF,藤田　優人,DF,高橋　祐治,DF,ジョアン　オマリ,DF,吉田　豊,DF,安在　和樹,MF,高橋　秀人,MF,高橋　義希,FW,小野　裕二,FW,フェルナンド　トーレス,FW,金崎　夢生,https://data.j-league.or.jp/SFMS02/?match_card_id=20988
20989,20180930,14:04,埼玉スタジアム２００２,"26,431  人",曇のち雨,22.0,78,浦和レッズ,オズワルド　オリヴェイラ,柏レイソル,加藤　望,GK,西川　周作,DF,岩波　拓也,DF,マウリシオ,DF,槙野　智章,MF,橋岡　大樹,MF,青木　拓矢,MF,長澤　和輝,MF,柏木　陽介,MF,宇賀神　友弥,FW,武藤　雄樹,FW,興梠　慎三,GK,桐畑　和繁,DF,亀川　諒史,DF,鈴木　大輔,DF,パク　ジョンス,DF,高木　利弥,MF,江坂　任,MF,小泉　慶,MF,大谷　秀和,FW,クリスティアーノ,FW,瀬川　祐輔,FW,オルンガ,https://data.j-league.or.jp/SFMS02/?match_card_id=20989
20990,20180929,17:05,味の素スタジアム,"33,789  人",雨,19.7,90,ＦＣ東京,長谷川　健太,清水エスパルス,ヤン　ヨンソン,GK,林　彰洋,DF,室屋　成,DF,チャン　ヒョンス,DF,森重　真人,DF,太田　宏介,MF,東　慶悟,MF,橋本　拳人,MF,髙萩　洋次郎,MF,田邉　草民,FW,ディエゴ　オリヴェイラ,FW,リンス,GK,六反　勇治,DF,立田　悠悟,DF,ファン　ソッコ,DF,フレイレ,DF,松原　后,MF,竹内　涼,MF,河井　陽介,MF,金子　翔太,MF,白崎　凌兵,FW,北川　航也,FW,ドウグラス,https://data.j-league.or.jp/SFMS02/?match_card_id=20990
20991,20180929,14:03,ニッパツ三ツ沢球技場,"8,688  人",雨,20.4,90,横浜Ｆ・マリノス,アンジェ　ポステコグルー,ベガルタ仙台,渡邉　晋,GK,飯倉　大樹,DF,松原　健,DF,畠中　槙之輔,DF,チアゴ　マルチンス,DF,山中　亮輔,MF,扇原　貴宏,MF,大津　祐樹,MF,天野　純,FW,仲川　輝人,FW,ウーゴ　ヴィエイラ,FW,遠藤　渓太,GK,シュミット　ダニエル,DF,平岡　康裕,DF,大岩　一貴,DF,板倉　滉,MF,富田　晋伍,MF,奥埜　博亮,MF,蜂須賀　孝治,MF,関口　訓充,FW,野津田　岳人,FW,阿部　拓馬,FW,石原　直樹,https://data.j-league.or.jp/SFMS02/?match_card_id=20991
20992,20181030,19:03,ヤマハスタジアム（磐田）,"9,026  人",晴,17.4,39,ジュビロ磐田,名波　浩,湘南ベルマーレ,曺　貴裁,GK,カミンスキー,DF,大井　健太郎,DF,エレン,DF,小川　大貴,DF,高橋　祥平,MF,田口　泰士,MF,松浦　拓弥,MF,山田　大記,MF,上原　力也,FW,川又　堅碁,FW,大久保　嘉人,GK,秋元　陽太,DF,山根　視来,DF,坂　圭祐,DF,大野　和成,MF,岡本　拓也,MF,金子　大毅,MF,秋野　央樹,MF,杉岡　大暉,FW,石川　俊輝,FW,山﨑　凌吾,FW,梅崎　司,https://data.j-league.or.jp/SFMS02/?match_card_id=20992
20993,20180929,16:05,パナソニック スタジアム 吹田,"34,660  人",曇一時雨,20.5,60,ガンバ大阪,宮本　恒靖,サンフレッチェ広島,城福　浩,GK,東口　順昭,DF,ファビオ,DF,藤春　廣輝,DF,三浦　弦太,DF,オ　ジェソク,MF,遠藤　保仁,MF,倉田　秋,MF,今野　泰幸,MF,小野瀬　康介,FW,ファン　ウィジョ,FW,渡邉　千真,GK,林　卓人,DF,和田　拓也,DF,野上　結貴,DF,水本　裕貴,DF,佐々木　翔,MF,柴﨑　晃誠,MF,青山　敏弘,MF,稲垣　祥,MF,柏　好文,FW,パトリック,FW,ティーラシン,https://data.j-league.or.jp/SFMS02/?match_card_id=20993
20994,20181106,19:03,キンチョウスタジアム,"12,027  人",晴,18.0,60,セレッソ大阪,尹　晶煥,名古屋グランパス,風間　八宏,GK,キム　ジンヒョン,DF,田中　裕介,DF,丸橋　祐介,DF,マテイ　ヨニッチ,DF,山下　達也,MF,山口　蛍,MF,水沼　宏太,MF,ソウザ,FW,柿谷　曜一朗,FW,杉本　健勇,FW,高木　俊幸,GK,ランゲラック,DF,中谷　進之介,DF,丸山　祐市,DF,和泉　竜司,DF,秋山　陽介,MF,青木　亮太,MF,小林　裕紀,MF,エドゥアルド　ネット,FW,前田　直輝,FW,ジョー,FW,相馬　勇紀,https://data.j-league.or.jp/SFMS02/?match_card_id=20994
20995,20180929,16:03,ノエビアスタジアム神戸,"23,774  人",屋内,21.9,75,ヴィッセル神戸,林　健太郎,鹿島アントラーズ,大岩　剛,GK,キム　スンギュ,DF,大﨑　玲央,DF,渡部　博文,DF,ティーラトン,DF,三原　雅俊,MF,藤谷　壮,MF,三田　啓貴,MF,藤田　直之,MF,古橋　亨梧,FW,ルーカス　ポドルスキ,FW,ウェリントン,GK,クォン　スンテ,DF,西　大伍,DF,犬飼　智也,DF,町田　浩樹,DF,安西　幸輝,MF,永木　亮太,MF,レオ　シルバ,MF,中村　充孝,MF,安部　裕葵,FW,土居　聖真,FW,鈴木　優磨,https://data.j-league.or.jp/SFMS02/?match_card_id=20995
20996,20180929,19:03,トランスコスモススタジアム長崎,"12,430  人",雨のち曇,21.7,90,Ｖ・ファーレン長崎,高木　琢也,川崎フロンターレ,鬼木　達,GK,徳重　健太,DF,田上　大地,DF,ヨルディ　バイス,DF,髙杉　亮太,MF,黒木　聖仁,MF,島田　譲,MF,飯尾　竜太朗,MF,翁長　聖,MF,澤田　崇,MF,中村　慶太,FW,鈴木　武蔵,GK,チョン　ソンリョン,DF,エウシーニョ,DF,奈良　竜樹,DF,谷口　彰悟,DF,車屋　紳太郎,MF,大島　僚太,MF,中村　憲剛,MF,家長　昭博,MF,登里　享平,FW,知念　慶,FW,小林　悠,https://data.j-league.or.jp/SFMS02/?match_card_id=20996
20997,20181005,19:35,日産スタジアム,"19,124  人",雨,19.2,90,横浜Ｆ・マリノス,アンジェ　ポステコグルー,北海道コンサドーレ札幌,ペトロヴィッチ,GK,飯倉　大樹,DF,松原　健,DF,畠中　槙之輔,DF,チアゴ　マルチンス,DF,山中　亮輔,MF,扇原　貴宏,MF,大津　祐樹,MF,天野　純,FW,仲川　輝人,FW,ウーゴ　ヴィエイラ,FW,遠藤　渓太,GK,ク　ソンユン,DF,早坂　良太,DF,進藤　亮佑,DF,キム　ミンテ,MF,駒井　善成,MF,荒野　拓馬,MF,深井　一希,MF,菅　大輝,MF,三好　康児,MF,チャナティップ,FW,ジェイ,https://data.j-league.or.jp/SFMS02/?match_card_id=20997
20998,20181007,13:10,ユアテックスタジアム仙台,"18,276  人",晴,26.4,50,ベガルタ仙台,渡邉　晋,浦和レッズ,オズワルド　オリヴェイラ,GK,シュミット　ダニエル,DF,平岡　康裕,DF,大岩　一貴,DF,板倉　滉,MF,椎橋　慧也,MF,梁　勇基,MF,蜂須賀　孝治,MF,関口　訓充,FW,野津田　岳人,FW,阿部　拓馬,FW,石原　直樹,GK,西川　周作,DF,岩波　拓也,DF,マウリシオ,DF,槙野　智章,MF,橋岡　大樹,MF,青木　拓矢,MF,宇賀神　友弥,MF,柏木　陽介,MF,長澤　和輝,FW,武藤　雄樹,FW,興梠　慎三,https://data.j-league.or.jp/SFMS02/?match_card_id=20998
