ポジション1,選手1,チーム1,監督1,ポジション2,選手2,チーム2,監督2,日付,試合情報
FW,佐藤　寿人,サンフレッチェ広島,森保　一,FW,佐藤　寿人,大宮アルディージャ,ベルデニック,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
GK,楢﨑　正剛,名古屋グランパス,ストイコビッチ,GK,楢﨑　正剛,ジュビロ磐田,森下　仁志,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
DF,田中　隼磨,名古屋グランパス,ストイコビッチ,DF,田中　隼磨,ジュビロ磐田,森下　仁志,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
DF,ダニエル,名古屋グランパス,ストイコビッチ,DF,ダニエル,ジュビロ磐田,森下　仁志,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
DF,田中　マルクス闘莉王,名古屋グランパス,ストイコビッチ,DF,田中　マルクス闘莉王,ジュビロ磐田,森下　仁志,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
DF,阿部　翔平,名古屋グランパス,ストイコビッチ,DF,阿部　翔平,ジュビロ磐田,森下　仁志,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
MF,小川　佳純,名古屋グランパス,ストイコビッチ,MF,小川　佳純,ジュビロ磐田,森下　仁志,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
MF,田口　泰士,名古屋グランパス,ストイコビッチ,MF,田口　泰士,ジュビロ磐田,森下　仁志,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
MF,松岡　亮輔,モンテディオ山形,石﨑　信弘,MF,松岡　亮輔,大分トリニータ,田坂　和昭,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
FW,秋葉　勝,モンテディオ山形,石﨑　信弘,FW,秋葉　勝,大分トリニータ,田坂　和昭,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
FW,ディエゴ,モンテディオ山形,石﨑　信弘,FW,ディエゴ,大分トリニータ,田坂　和昭,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
FW,伊東　俊,モンテディオ山形,石﨑　信弘,FW,伊東　俊,大分トリニータ,田坂　和昭,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
MF,藤本　淳吾,名古屋グランパス,ストイコビッチ,MF,藤本　淳吾,ジュビロ磐田,森下　仁志,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
FW,永井　謙佑,名古屋グランパス,ストイコビッチ,FW,永井　謙佑,ジュビロ磐田,森下　仁志,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
FW,ケネディ,名古屋グランパス,ストイコビッチ,FW,ケネディ,ジュビロ磐田,森下　仁志,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
FW,金崎　夢生,名古屋グランパス,ストイコビッチ,FW,金崎　夢生,ジュビロ磐田,森下　仁志,2012/06/23,"２０１２Ｊリーグ　ディビジョン１
								 第１５節第１日"
FW,パク　ソンホ,横浜ＦＣ,山口　素弘,FW,パク　ソンホ,カターレ富山,安間　貴義,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
GK,児玉　剛,愛媛ＦＣ,石丸　清隆,GK,児玉　剛,アビスパ福岡,マリヤン　プシュニク,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
DF,三原　向平,愛媛ＦＣ,石丸　清隆,DF,三原　向平,アビスパ福岡,マリヤン　プシュニク,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
DF,村上　佑介,愛媛ＦＣ,石丸　清隆,DF,村上　佑介,アビスパ福岡,マリヤン　プシュニク,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
DF,ハン　ヒフン,愛媛ＦＣ,石丸　清隆,DF,ハン　ヒフン,アビスパ福岡,マリヤン　プシュニク,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
DF,代　健司,愛媛ＦＣ,石丸　清隆,DF,代　健司,アビスパ福岡,マリヤン　プシュニク,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
DF,キム　ミンジェ,愛媛ＦＣ,石丸　清隆,DF,キム　ミンジェ,アビスパ福岡,マリヤン　プシュニク,2014/08/03,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日"
