ポジション1,選手1,チーム1,監督1,ポジション2,選手2,チーム2,監督2,日付,試合情報
FW,桒田　慎一朗,ファジアーノ岡山,影山　雅永,FW,桒田　慎一朗,ロアッソ熊本,吉田　靖,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
GK,水谷　雄一,アビスパ福岡,マリヤン　プシュニク,GK,水谷　雄一,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,宮本　卓也,アビスパ福岡,マリヤン　プシュニク,DF,宮本　卓也,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,パク　ゴン,アビスパ福岡,マリヤン　プシュニク,DF,パク　ゴン,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,堤　俊輔,アビスパ福岡,マリヤン　プシュニク,DF,堤　俊輔,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,尾亦　弘友希,アビスパ福岡,マリヤン　プシュニク,DF,尾亦　弘友希,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,船山　祐二,アビスパ福岡,マリヤン　プシュニク,MF,船山　祐二,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,中原　秀人,アビスパ福岡,マリヤン　プシュニク,MF,中原　秀人,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,石津　大介,アビスパ福岡,マリヤン　プシュニク,MF,石津　大介,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
FW,坂田　大輔,アビスパ福岡,マリヤン　プシュニク,FW,坂田　大輔,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
FW,押谷　祐樹,ファジアーノ岡山,影山　雅永,FW,押谷　祐樹,ロアッソ熊本,吉田　靖,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
FW,荒田　智之,ファジアーノ岡山,影山　雅永,FW,荒田　智之,ロアッソ熊本,吉田　靖,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
FW,金森　健志,アビスパ福岡,マリヤン　プシュニク,FW,金森　健志,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
FW,城後　寿,アビスパ福岡,マリヤン　プシュニク,FW,城後　寿,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
GK,山本　海人,ヴィッセル神戸,安達　亮,GK,山本　海人,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,奥井　諒,ヴィッセル神戸,安達　亮,DF,奥井　諒,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,イ　グァンソン,ヴィッセル神戸,安達　亮,DF,イ　グァンソン,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,岩波　拓也,ヴィッセル神戸,安達　亮,DF,岩波　拓也,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,大屋　翼,ヴィッセル神戸,安達　亮,DF,大屋　翼,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,エステバン,ヴィッセル神戸,安達　亮,MF,エステバン,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,田中　英雄,ヴィッセル神戸,安達　亮,MF,田中　英雄,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,マジーニョ,ヴィッセル神戸,安達　亮,MF,マジーニョ,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,赤井　秀一,愛媛ＦＣ,石丸　清隆,MF,赤井　秀一,ガンバ大阪,長谷川　健太,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,河原　和寿,愛媛ＦＣ,石丸　清隆,MF,河原　和寿,ガンバ大阪,長谷川　健太,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,加藤　大,愛媛ＦＣ,石丸　清隆,MF,加藤　大,ガンバ大阪,長谷川　健太,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
FW,石井　謙伍,愛媛ＦＣ,石丸　清隆,FW,石井　謙伍,ガンバ大阪,長谷川　健太,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
FW,小川　慶治朗,ヴィッセル神戸,安達　亮,FW,小川　慶治朗,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
FW,ポポ,ヴィッセル神戸,安達　亮,FW,ポポ,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
FW,田代　有三,ヴィッセル神戸,安達　亮,FW,田代　有三,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
GK,秋元　陽太,愛媛ＦＣ,石丸　清隆,GK,秋元　陽太,ガンバ大阪,長谷川　健太,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,代　健司,愛媛ＦＣ,石丸　清隆,DF,代　健司,ガンバ大阪,長谷川　健太,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,小原　章吾,愛媛ＦＣ,石丸　清隆,DF,小原　章吾,ガンバ大阪,長谷川　健太,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,浦田　延尚,愛媛ＦＣ,石丸　清隆,DF,浦田　延尚,ガンバ大阪,長谷川　健太,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,三原　向平,愛媛ＦＣ,石丸　清隆,DF,三原　向平,ガンバ大阪,長谷川　健太,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,村上　巧,愛媛ＦＣ,石丸　清隆,MF,村上　巧,ガンバ大阪,長谷川　健太,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,吉村　圭司,愛媛ＦＣ,石丸　清隆,MF,吉村　圭司,ガンバ大阪,長谷川　健太,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
FW,ウェリントン,湘南ベルマーレ,曺　貴裁,FW,ウェリントン,カマタマーレ讃岐,北野　誠,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
FW,武富　孝介,湘南ベルマーレ,曺　貴裁,FW,武富　孝介,カマタマーレ讃岐,北野　誠,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
GK,村山　智彦,松本山雅ＦＣ,反町　康治,GK,村山　智彦,ギラヴァンツ北九州,柱谷　幸一,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
DF,犬飼　智也,松本山雅ＦＣ,反町　康治,DF,犬飼　智也,ギラヴァンツ北九州,柱谷　幸一,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
DF,大久保　裕樹,松本山雅ＦＣ,反町　康治,DF,大久保　裕樹,ギラヴァンツ北九州,柱谷　幸一,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
DF,飯田　真輝,松本山雅ＦＣ,反町　康治,DF,飯田　真輝,ギラヴァンツ北九州,柱谷　幸一,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
DF,田中　隼磨,松本山雅ＦＣ,反町　康治,DF,田中　隼磨,ギラヴァンツ北九州,柱谷　幸一,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
MF,ユン　ソンヨル,松本山雅ＦＣ,反町　康治,MF,ユン　ソンヨル,ギラヴァンツ北九州,柱谷　幸一,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
MF,喜山　康平,松本山雅ＦＣ,反町　康治,MF,喜山　康平,ギラヴァンツ北九州,柱谷　幸一,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
MF,岩沼　俊介,松本山雅ＦＣ,反町　康治,MF,岩沼　俊介,ギラヴァンツ北九州,柱谷　幸一,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
GK,大久保　択生,Ｖ・ファーレン長崎,高木　琢也,GK,大久保　択生,モンテディオ山形,石﨑　信弘,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
DF,下田　光平,Ｖ・ファーレン長崎,高木　琢也,DF,下田　光平,モンテディオ山形,石﨑　信弘,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
DF,山口　貴弘,Ｖ・ファーレン長崎,高木　琢也,DF,山口　貴弘,モンテディオ山形,石﨑　信弘,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
DF,髙杉　亮太,Ｖ・ファーレン長崎,高木　琢也,DF,髙杉　亮太,モンテディオ山形,石﨑　信弘,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
MF,金久保　彩,Ｖ・ファーレン長崎,高木　琢也,MF,金久保　彩,モンテディオ山形,石﨑　信弘,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
MF,奥埜　博亮,Ｖ・ファーレン長崎,高木　琢也,MF,奥埜　博亮,モンテディオ山形,石﨑　信弘,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
MF,前田　悠佑,Ｖ・ファーレン長崎,高木　琢也,MF,前田　悠佑,モンテディオ山形,石﨑　信弘,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
MF,神崎　大輔,Ｖ・ファーレン長崎,高木　琢也,MF,神崎　大輔,モンテディオ山形,石﨑　信弘,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
MF,東　浩史,Ｖ・ファーレン長崎,高木　琢也,MF,東　浩史,モンテディオ山形,石﨑　信弘,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
MF,佐藤　洸一,Ｖ・ファーレン長崎,高木　琢也,MF,佐藤　洸一,モンテディオ山形,石﨑　信弘,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
MF,舩津　徹也,カターレ富山,安間　貴義,MF,舩津　徹也,徳島ヴォルティス,小林　伸二,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
MF,木村　勝太,カターレ富山,安間　貴義,MF,木村　勝太,徳島ヴォルティス,小林　伸二,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
FW,木本　敬介,カターレ富山,安間　貴義,FW,木本　敬介,徳島ヴォルティス,小林　伸二,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
FW,苔口　卓也,カターレ富山,安間　貴義,FW,苔口　卓也,徳島ヴォルティス,小林　伸二,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
FW,イ　デホン,Ｖ・ファーレン長崎,高木　琢也,FW,イ　デホン,モンテディオ山形,石﨑　信弘,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
GK,秋元　陽太,湘南ベルマーレ,曺　貴裁,GK,秋元　陽太,カマタマーレ讃岐,北野　誠,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
DF,遠藤　航,湘南ベルマーレ,曺　貴裁,DF,遠藤　航,カマタマーレ讃岐,北野　誠,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
DF,丸山　祐市,湘南ベルマーレ,曺　貴裁,DF,丸山　祐市,カマタマーレ讃岐,北野　誠,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
DF,三竿　雄斗,湘南ベルマーレ,曺　貴裁,DF,三竿　雄斗,カマタマーレ讃岐,北野　誠,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
MF,亀川　諒史,湘南ベルマーレ,曺　貴裁,MF,亀川　諒史,カマタマーレ讃岐,北野　誠,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
MF,菊地　俊介,湘南ベルマーレ,曺　貴裁,MF,菊地　俊介,カマタマーレ讃岐,北野　誠,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
MF,永木　亮太,湘南ベルマーレ,曺　貴裁,MF,永木　亮太,カマタマーレ讃岐,北野　誠,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
MF,菊池　大介,湘南ベルマーレ,曺　貴裁,MF,菊池　大介,カマタマーレ讃岐,北野　誠,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
FW,岡田　翔平,湘南ベルマーレ,曺　貴裁,FW,岡田　翔平,カマタマーレ讃岐,北野　誠,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
MF,橋本　晃司,水戸ホーリーホック,柱谷　哲二,MF,橋本　晃司,ヴィッセル神戸,安達　亮,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
FW,三島　康平,水戸ホーリーホック,柱谷　哲二,FW,三島　康平,ヴィッセル神戸,安達　亮,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
FW,山村　佑樹,水戸ホーリーホック,柱谷　哲二,FW,山村　佑樹,ヴィッセル神戸,安達　亮,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
GK,守田　達弥,カターレ富山,安間　貴義,GK,守田　達弥,徳島ヴォルティス,小林　伸二,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
DF,吉井　直人,カターレ富山,安間　貴義,DF,吉井　直人,徳島ヴォルティス,小林　伸二,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
DF,御厨　貴文,カターレ富山,安間　貴義,DF,御厨　貴文,徳島ヴォルティス,小林　伸二,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
DF,平出　涼,カターレ富山,安間　貴義,DF,平出　涼,徳島ヴォルティス,小林　伸二,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
MF,大西　容平,カターレ富山,安間　貴義,MF,大西　容平,徳島ヴォルティス,小林　伸二,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
MF,國吉　貴博,カターレ富山,安間　貴義,MF,國吉　貴博,徳島ヴォルティス,小林　伸二,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
MF,朝日　大輔,カターレ富山,安間　貴義,MF,朝日　大輔,徳島ヴォルティス,小林　伸二,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
FW,佐藤　寿人,サンフレッチェ広島,森保　一,FW,佐藤　寿人,柏レイソル,ネルシーニョ,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
GK,加藤　順大,浦和レッズ,ペトロヴィッチ,GK,加藤　順大,ベガルタ仙台,手倉森　誠,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
DF,森脇　良太,浦和レッズ,ペトロヴィッチ,DF,森脇　良太,ベガルタ仙台,手倉森　誠,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
DF,那須　大亮,浦和レッズ,ペトロヴィッチ,DF,那須　大亮,ベガルタ仙台,手倉森　誠,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
DF,槙野　智章,浦和レッズ,ペトロヴィッチ,DF,槙野　智章,ベガルタ仙台,手倉森　誠,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
MF,関口　訓充,浦和レッズ,ペトロヴィッチ,MF,関口　訓充,ベガルタ仙台,手倉森　誠,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
MF,阿部　勇樹,浦和レッズ,ペトロヴィッチ,MF,阿部　勇樹,ベガルタ仙台,手倉森　誠,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
MF,鈴木　啓太,浦和レッズ,ペトロヴィッチ,MF,鈴木　啓太,ベガルタ仙台,手倉森　誠,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
MF,梅崎　司,浦和レッズ,ペトロヴィッチ,MF,梅崎　司,ベガルタ仙台,手倉森　誠,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
MF,柏木　陽介,浦和レッズ,ペトロヴィッチ,MF,柏木　陽介,ベガルタ仙台,手倉森　誠,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
GK,阿部　伸行,湘南ベルマーレ,曺　貴裁,GK,阿部　伸行,ヴァンフォーレ甲府,城福　浩,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
DF,鎌田　翔雅,湘南ベルマーレ,曺　貴裁,DF,鎌田　翔雅,ヴァンフォーレ甲府,城福　浩,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
DF,遠藤　航,湘南ベルマーレ,曺　貴裁,DF,遠藤　航,ヴァンフォーレ甲府,城福　浩,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
DF,大野　和成,湘南ベルマーレ,曺　貴裁,DF,大野　和成,ヴァンフォーレ甲府,城福　浩,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
MF,古林　将太,湘南ベルマーレ,曺　貴裁,MF,古林　将太,ヴァンフォーレ甲府,城福　浩,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
MF,ハン　グギョン,湘南ベルマーレ,曺　貴裁,MF,ハン　グギョン,ヴァンフォーレ甲府,城福　浩,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
MF,永木　亮太,湘南ベルマーレ,曺　貴裁,MF,永木　亮太,ヴァンフォーレ甲府,城福　浩,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
MF,高山　薫,湘南ベルマーレ,曺　貴裁,MF,高山　薫,ヴァンフォーレ甲府,城福　浩,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
FW,菊池　大介,湘南ベルマーレ,曺　貴裁,FW,菊池　大介,ヴァンフォーレ甲府,城福　浩,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
FW,古橋　達弥,湘南ベルマーレ,曺　貴裁,FW,古橋　達弥,ヴァンフォーレ甲府,城福　浩,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
MF,中村　俊輔,横浜Ｆ・マリノス,樋口　靖洋,MF,中村　俊輔,コンサドーレ札幌,石崎　信弘,2012/05/06,"２０１２Ｊリーグ　ディビジョン１
								 第１０節第１日"
MF,齋藤　学,横浜Ｆ・マリノス,樋口　靖洋,MF,齋藤　学,コンサドーレ札幌,石崎　信弘,2012/05/06,"２０１２Ｊリーグ　ディビジョン１
								 第１０節第１日"
FW,小野　裕二,横浜Ｆ・マリノス,樋口　靖洋,FW,小野　裕二,コンサドーレ札幌,石崎　信弘,2012/05/06,"２０１２Ｊリーグ　ディビジョン１
								 第１０節第１日"
FW,大黒　将志,横浜Ｆ・マリノス,樋口　靖洋,FW,大黒　将志,コンサドーレ札幌,石崎　信弘,2012/05/06,"２０１２Ｊリーグ　ディビジョン１
								 第１０節第１日"
GK,西川　周作,サンフレッチェ広島,森保　一,GK,西川　周作,柏レイソル,ネルシーニョ,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
DF,塩谷　司,サンフレッチェ広島,森保　一,DF,塩谷　司,柏レイソル,ネルシーニョ,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
DF,千葉　和彦,サンフレッチェ広島,森保　一,DF,千葉　和彦,柏レイソル,ネルシーニョ,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
DF,水本　裕貴,サンフレッチェ広島,森保　一,DF,水本　裕貴,柏レイソル,ネルシーニョ,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
MF,ミキッチ,サンフレッチェ広島,森保　一,MF,ミキッチ,柏レイソル,ネルシーニョ,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
MF,青山　敏弘,サンフレッチェ広島,森保　一,MF,青山　敏弘,柏レイソル,ネルシーニョ,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
MF,森﨑　和幸,サンフレッチェ広島,森保　一,MF,森﨑　和幸,柏レイソル,ネルシーニョ,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
MF,パク　ヒョンジン,サンフレッチェ広島,森保　一,MF,パク　ヒョンジン,柏レイソル,ネルシーニョ,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
MF,石原　直樹,サンフレッチェ広島,森保　一,MF,石原　直樹,柏レイソル,ネルシーニョ,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
MF,髙萩　洋次郎,サンフレッチェ広島,森保　一,MF,髙萩　洋次郎,柏レイソル,ネルシーニョ,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
MF,岩上　祐三,松本山雅ＦＣ,反町　康治,MF,岩上　祐三,ギラヴァンツ北九州,柱谷　幸一,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
FW,サビア,松本山雅ＦＣ,反町　康治,FW,サビア,ギラヴァンツ北九州,柱谷　幸一,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
FW,船山　貴之,松本山雅ＦＣ,反町　康治,FW,船山　貴之,ギラヴァンツ北九州,柱谷　幸一,2014/06/14,"２０１４Ｊリーグ　ディビジョン２
								 第１８節第１日"
FW,馬場　賢治,湘南ベルマーレ,曺　貴裁,FW,馬場　賢治,ヴァンフォーレ甲府,城福　浩,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
GK,修行　智仁,ＦＣ町田ゼルビア,オズワルド　アルディレス,GK,修行　智仁,ギラヴァンツ北九州,三浦　泰年,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
DF,三鬼　海,ＦＣ町田ゼルビア,オズワルド　アルディレス,DF,三鬼　海,ギラヴァンツ北九州,三浦　泰年,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
DF,太田　康介,ＦＣ町田ゼルビア,オズワルド　アルディレス,DF,太田　康介,ギラヴァンツ北九州,三浦　泰年,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
DF,津田　和樹,ＦＣ町田ゼルビア,オズワルド　アルディレス,DF,津田　和樹,ギラヴァンツ北九州,三浦　泰年,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
DF,藤田　泰成,ＦＣ町田ゼルビア,オズワルド　アルディレス,DF,藤田　泰成,ギラヴァンツ北九州,三浦　泰年,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
MF,庄司　悦大,ＦＣ町田ゼルビア,オズワルド　アルディレス,MF,庄司　悦大,ギラヴァンツ北九州,三浦　泰年,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
MF,コリン　マーシャル,ＦＣ町田ゼルビア,オズワルド　アルディレス,MF,コリン　マーシャル,ギラヴァンツ北九州,三浦　泰年,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
MF,下田　光平,ＦＣ町田ゼルビア,オズワルド　アルディレス,MF,下田　光平,ギラヴァンツ北九州,三浦　泰年,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
MF,鈴木　崇文,ＦＣ町田ゼルビア,オズワルド　アルディレス,MF,鈴木　崇文,ギラヴァンツ北九州,三浦　泰年,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
MF,原口　元気,浦和レッズ,ペトロヴィッチ,MF,原口　元気,ベガルタ仙台,手倉森　誠,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
FW,興梠　慎三,浦和レッズ,ペトロヴィッチ,FW,興梠　慎三,ベガルタ仙台,手倉森　誠,2013/05/29,"２０１３Ｊリーグ　ディビジョン１
								 第９節第２日"
GK,笠原　昂史,水戸ホーリーホック,柱谷　哲二,GK,笠原　昂史,ヴィッセル神戸,安達　亮,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
DF,石神　幸征,水戸ホーリーホック,柱谷　哲二,DF,石神　幸征,ヴィッセル神戸,安達　亮,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
DF,細川　淳矢,水戸ホーリーホック,柱谷　哲二,DF,細川　淳矢,ヴィッセル神戸,安達　亮,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
DF,冨田　大介,水戸ホーリーホック,柱谷　哲二,DF,冨田　大介,ヴィッセル神戸,安達　亮,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
DF,輪湖　直樹,水戸ホーリーホック,柱谷　哲二,DF,輪湖　直樹,ヴィッセル神戸,安達　亮,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
MF,西岡　謙太,水戸ホーリーホック,柱谷　哲二,MF,西岡　謙太,ヴィッセル神戸,安達　亮,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
MF,鈴木　雄斗,水戸ホーリーホック,柱谷　哲二,MF,鈴木　雄斗,ヴィッセル神戸,安達　亮,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
MF,小澤　司,水戸ホーリーホック,柱谷　哲二,MF,小澤　司,ヴィッセル神戸,安達　亮,2013/06/01,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日"
FW,平本　一樹,ＦＣ町田ゼルビア,オズワルド　アルディレス,FW,平本　一樹,ギラヴァンツ北九州,三浦　泰年,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
FW,鈴木　孝司,ＦＣ町田ゼルビア,オズワルド　アルディレス,FW,鈴木　孝司,ギラヴァンツ北九州,三浦　泰年,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
GK,多田　大介,ＦＣ岐阜,行徳　浩二,GK,多田　大介,水戸ホーリーホック,柱谷　哲二,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
DF,野田　明弘,ＦＣ岐阜,行徳　浩二,DF,野田　明弘,水戸ホーリーホック,柱谷　哲二,2012/05/03,"２０１２Ｊリーグ　ディビジョン２
								 第１２節第１日"
