ポジション,選手,監督,日付,気温,湿度,主審,試合情報,チーム名
DF,安川　有,田坂　和昭,2013/09/14,25.0,90%,佐藤　隆治,"２０１３Ｊリーグ　ディビジョン１
								 第２５節第２日",大分トリニータ
MF,為田　大貴,田坂　和昭,2013/09/14,25.0,90%,佐藤　隆治,"２０１３Ｊリーグ　ディビジョン１
								 第２５節第２日",大分トリニータ
MF,ロドリゴ　マンシャ,田坂　和昭,2013/09/14,25.0,90%,佐藤　隆治,"２０１３Ｊリーグ　ディビジョン１
								 第２５節第２日",大分トリニータ
MF,梶山　陽平,田坂　和昭,2013/09/14,25.0,90%,佐藤　隆治,"２０１３Ｊリーグ　ディビジョン１
								 第２５節第２日",大分トリニータ
MF,チェ　ジョンハン,田坂　和昭,2013/09/14,25.0,90%,佐藤　隆治,"２０１３Ｊリーグ　ディビジョン１
								 第２５節第２日",大分トリニータ
MF,木村　祐志,田坂　和昭,2013/09/14,25.0,90%,佐藤　隆治,"２０１３Ｊリーグ　ディビジョン１
								 第２５節第２日",大分トリニータ
MF,西　弘則,田坂　和昭,2013/09/14,25.0,90%,佐藤　隆治,"２０１３Ｊリーグ　ディビジョン１
								 第２５節第２日",大分トリニータ
FW,宮崎　泰右,秋葉　忠宏,2014/08/03,28.9,77%,前田　拓哉,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日",ザスパクサツ群馬
GK,キローラン　菜入,三浦　泰年,2014/08/03,25.7,91%,福島　孝一郎,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日",東京ヴェルディ
DF,田村　直也,三浦　泰年,2014/08/03,25.7,91%,福島　孝一郎,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日",東京ヴェルディ
DF,金　鐘必,三浦　泰年,2014/08/03,25.7,91%,福島　孝一郎,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日",東京ヴェルディ
DF,井林　章,三浦　泰年,2014/08/03,25.7,91%,福島　孝一郎,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日",東京ヴェルディ
DF,安在　和樹,三浦　泰年,2014/08/03,25.7,91%,福島　孝一郎,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日",東京ヴェルディ
MF,ニウド,三浦　泰年,2014/08/03,25.7,91%,福島　孝一郎,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日",東京ヴェルディ
MF,鈴木　惇,三浦　泰年,2014/08/03,25.7,91%,福島　孝一郎,"２０１４Ｊリーグ　ディビジョン２
								 第２５節第１日",東京ヴェルディ
